Position in x [m],Voltage [V]
-0.0696577,0.247812
-0.0696577,0.252999
-0.069657,0.252568
-0.069657,0.253359
-0.0696565,0.250266
-0.069656,0.247659
-0.0696556,0.248963
-0.0696546,0.2553
-0.0696541,0.248963
-0.0696536,0.246508
-0.0696526,0.248963
-0.0696519,0.256091
-0.0696511,0.25494
-0.0696499,0.259336
-0.069649,0.251848
-0.0696479,0.253359
-0.0696465,0.248809
-0.0696458,0.248963
-0.0696446,0.248963
-0.0696432,0.254149
-0.0696425,0.247381
-0.0696411,0.248963
-0.0696401,0.251848
-0.0696387,0.248963
-0.0696373,0.251417
-0.069636,0.250113
-0.0696348,0.252846
-0.0696334,0.249753
-0.0696322,0.248963
-0.069631,0.25494
-0.0696296,0.254149
-0.0696284,0.25494
-0.069627,0.252999
-0.069626,0.248963
-0.0696249,0.248963
-0.0696235,0.249753
-0.0696222,0.256604
-0.0696212,0.254149
-0.0696198,0.254149
-0.0696186,0.245717
-0.0696172,0.248172
-0.0696162,0.2553
-0.0696148,0.252208
-0.0696134,0.254149
-0.0696121,0.256604
-0.0696107,0.259336
-0.0696095,0.256882
-0.0696083,0.256244
-0.0696069,0.2553
-0.0696055,0.254149
-0.0696043,0.251695
-0.0696031,0.252846
-0.0696018,0.254149
-0.0696004,0.254149
-0.0695992,0.256604
-0.069598,0.256604
-0.0695966,0.256882
-0.0695949,0.25494
-0.0695936,0.248963
-0.0695922,0.250113
-0.069591,0.248963
-0.0695898,0.254149
-0.0695884,0.250266
-0.0695865,0.253359
-0.0695851,0.256604
-0.0695834,0.252208
-0.0695811,0.259336
-0.0695792,0.257754
-0.0695775,0.251695
-0.0695757,0.254149
-0.0695738,0.254149
-0.0695716,0.253359
-0.0695698,0.251695
-0.0695678,0.248963
-0.0695661,0.252846
-0.0695641,0.258545
-0.0695622,0.253636
-0.0695602,0.248963
-0.0695584,0.256882
-0.069557,0.256604
-0.069555,0.259336
-0.0695526,0.256604
-0.0695503,0.259336
-0.0695482,0.259336
-0.0695457,0.256604
-0.069543,0.2553
-0.0695406,0.250904
-0.0695381,0.254149
-0.0695357,0.256882
-0.0695329,0.258185
-0.0695298,0.263732
-0.0695266,0.265314
-0.0695235,0.259336
-0.0695203,0.264523
-0.069517,0.259336
-0.0695133,0.258545
-0.0695102,0.254149
-0.0695067,0.254149
-0.0695031,0.258185
-0.0694996,0.257754
-0.0694961,0.254149
-0.0694903,0.258545
-0.069483,0.254149
-0.0694779,0.254149
-0.0694731,0.251695
-0.0694684,0.254149
-0.0694638,0.2553
-0.0694591,0.250113
-0.0694541,0.25494
-0.0694483,0.252208
-0.0694433,0.254149
-0.0694384,0.248963
-0.0694336,0.254149
-0.0694288,0.250113
-0.0694241,0.252999
-0.0694191,0.255453
-0.0694143,0.259336
-0.0694085,0.259336
-0.0694025,0.256882
-0.0693966,0.257395
-0.0693907,0.254149
-0.0693845,0.252999
-0.0693784,0.259336
-0.0693714,0.259336
-0.0693654,0.251848
-0.0693591,0.254149
-0.0693525,0.258032
-0.069346,0.260487
-0.0693392,0.260487
-0.0693318,0.277504
-0.0693246,0.292038
-0.0693176,0.36228
-0.0693098,0.446058
-0.0693018,0.549793
-0.0692944,0.683066
-0.0692874,0.793568
-0.0692811,0.901339
-0.0692757,0.990664
-0.0692693,1.09959
-0.069263,1.21809
-0.069257,1.34494
-0.0692502,1.48859
-0.0692441,1.68338
-0.0692374,1.8557
-0.0692303,1.99689
-0.0692226,2.16935
-0.0692155,2.33842
-0.0692088,2.50634
-0.0692023,2.65121
-0.0691957,2.7705
-0.0691894,2.90254
-0.0691829,3.01349
-0.0691765,3.108
-0.0691699,3.20021
-0.0691628,3.32988
-0.0691562,3.47301
-0.069149,3.5944
-0.0691418,3.6722
-0.0691338,3.70736
-0.0691268,3.75325
-0.0691201,3.77154
-0.0691132,3.73004
-0.069107,3.71773
-0.0691008,3.76556
-0.0690937,3.77672
-0.0690867,3.80979
-0.0690794,3.87694
-0.0690724,3.93038
-0.0690658,3.95668
-0.0690592,3.91598
-0.0690522,3.97303
-0.0690455,3.99132
-0.0690386,3.91986
-0.0690322,3.90754
-0.0690255,3.93233
-0.0690191,3.90691
-0.0690124,3.93672
-0.0690062,4.00934
-0.0689997,4.0612
-0.0689928,4.08116
-0.0689841,4.19087
-0.0689728,4.64406
-0.0689631,4.63095
-0.0689557,4.50402
-0.068949,4.49819
-0.068943,4.38278
-0.0689366,4.26349
-0.0689304,4.21969
-0.0689242,4.18374
-0.068918,4.10385
-0.0689114,4.03202
-0.0689055,4.00415
-0.0688988,3.99378
-0.0688921,3.93672
-0.0688853,3.98859
-0.0688778,4.0808
-0.0688697,4.16818
-0.068862,4.26982
-0.0688544,4.32976
-0.0688466,4.35685
-0.0688389,4.30498
-0.0688315,4.23834
-0.068824,4.22718
-0.0688163,4.19994
-0.0688094,4.16573
-0.0688026,4.19606
-0.068795,4.16221
-0.0687884,4.15781
-0.0687815,4.11307
-0.0687746,4.05602
-0.068768,4.04564
-0.0687614,4.03008
-0.0687546,4.04564
-0.0687482,4.03008
-0.068742,4.00415
-0.0687356,3.94955
-0.0687292,3.92556
-0.068723,3.88327
-0.068716,3.8881
-0.0687094,3.85762
-0.0687023,3.89083
-0.0686954,3.93074
-0.068688,3.90121
-0.0686802,3.91677
-0.068673,3.91324
-0.068665,3.96511
-0.0686575,4.00934
-0.0686495,4.04406
-0.0686422,4.10788
-0.0686346,4.11905
-0.0686273,4.139
-0.0686203,4.11941
