Position in x [m],Voltage [V]
-0.0699276,0.254149
-0.0699274,0.251695
-0.0699263,0.249753
-0.0699244,0.249753
-0.0699208,0.251695
-0.0699166,0.243776
-0.0699115,0.248963
-0.0699057,0.250266
-0.0698997,0.250113
-0.0698932,0.247659
-0.0698864,0.248963
-0.0698794,0.245871
-0.0698728,0.248963
-0.0698665,0.2553
-0.0698599,0.250113
-0.0698531,0.254149
-0.0698476,0.252055
-0.0698423,0.241321
-0.069836,0.244927
-0.0698291,0.254149
-0.069821,0.250266
-0.0698123,0.248963
-0.0698029,0.248963
-0.0697926,0.250904
-0.0697829,0.250266
-0.0697727,0.248963
-0.0697619,0.248963
-0.0697516,0.244567
-0.0697421,0.247812
-0.0697341,0.244927
-0.0697257,0.247021
-0.0697172,0.252999
-0.0697088,0.252208
-0.0697007,0.243776
-0.0696923,0.245358
-0.0696836,0.24623
-0.0696755,0.248963
-0.0696679,0.248963
-0.06966,0.248963
-0.0696516,0.252999
-0.0696439,0.254149
-0.0696358,0.248963
-0.0696276,0.243776
-0.0696188,0.242472
-0.0696102,0.248963
-0.0696014,0.24845
-0.0695914,0.243776
-0.0695797,0.247812
-0.069569,0.248963
-0.0695573,0.248963
-0.0695452,0.249753
-0.0695336,0.254149
-0.0695224,0.28527
-0.0695118,0.322881
-0.0695018,0.313658
-0.069492,0.298888
-0.0694823,0.28527
-0.0694733,0.273592
-0.0694635,0.2705
-0.0694543,0.259336
-0.0694452,0.259336
-0.0694362,0.261791
-0.0694274,0.263219
-0.0694188,0.250904
-0.0694095,0.259336
-0.0694011,0.250904
-0.0693932,0.252846
-0.0693846,0.254149
-0.0693763,0.256604
-0.0693676,0.253359
-0.0693588,0.252846
-0.0693489,0.250904
-0.0693388,0.252208
-0.0693288,0.24845
-0.0693191,0.252999
-0.0693099,0.250113
-0.0692998,0.248963
-0.0692896,0.254149
-0.0692799,0.260127
-0.069271,0.260127
-0.069262,0.274896
-0.0692533,0.291607
-0.0692446,0.337137
-0.0692357,0.389795
-0.0692268,0.461618
-0.0692181,0.530349
-0.0692077,0.60166
-0.0691974,0.705394
-0.0691869,0.804733
-0.0691768,0.910768
-0.0691664,1.02697
-0.0691556,1.15549
-0.0691446,1.27593
-0.0691349,1.42116
-0.0691255,1.53527
-0.069116,1.66933
-0.0691067,1.79381
-0.0690975,1.89561
-0.0690883,2.00726
-0.0690789,2.08831
-0.0690695,2.17324
-0.0690601,2.247
-0.0690502,2.29562
-0.0690414,2.34194
-0.0690322,2.39872
-0.0690228,2.43697
-0.0690132,2.47177
-0.0690034,2.50958
-0.0689932,2.54149
-0.0689834,2.59221
-0.0689731,2.63485
-0.0689633,2.72822
-0.0689531,2.8344
-0.0689422,2.8344
-0.0689303,2.83908
-0.0689188,2.86192
-0.0689081,2.87978
-0.0688978,2.87784
-0.068887,2.889
-0.068876,2.87265
-0.0688654,2.86826
-0.0688531,2.98886
-0.0688399,3.00196
-0.0688283,2.96162
-0.068818,2.94412
-0.0688083,2.92531
-0.0687992,2.85788
-0.0687916,2.81199
-0.0687842,2.77007
-0.0687768,2.78008
-0.0687697,2.7749
-0.068762,2.78008
-0.068754,2.78008
-0.0687453,2.79161
-0.0687366,2.80083
-0.0687276,2.8076
-0.0687189,2.82324
-0.0687091,2.81445
-0.0686988,2.82316
-0.068689,2.89146
-0.0686797,2.92012
-0.0686702,2.87344
-0.0686611,2.82352
-0.0686517,2.77331
-0.0686422,2.72822
-0.0686319,2.66079
-0.0686222,2.60892
-0.0686135,2.53191
-0.0686053,2.47292
-0.068597,2.41701
-0.0685879,2.37955
-0.0685783,2.35881
-0.0685679,2.36515
-0.0685584,2.36745
-0.0685495,2.35635
-0.06854,2.32365
-0.0685304,2.3029
-0.0685215,2.28734
-0.0685111,2.29411
-0.068502,2.31767
-0.0684929,2.30781
-0.0684838,2.29174
-0.0684746,2.28929
-0.0684649,2.29383
-0.0684547,2.32365
-0.0684453,2.36515
-0.0684354,2.38993
-0.0684258,2.44683
-0.068416,2.49481
-0.0684071,2.5461
-0.068398,2.5778
-0.0683887,2.601
-0.0683792,2.61007
-0.068369,2.64004
-0.0683586,2.6556
-0.0683479,2.68751
-0.0683379,2.71863
-0.0683282,2.76452
-0.068318,2.76337
-0.0683081,2.78166
-0.0682985,2.81884
-0.0682881,2.86307
-0.0682769,2.84232
-0.0682662,2.82043
-0.0682564,2.82431
-0.0682465,2.80602
-0.0682363,2.7749
-0.0682257,2.75415
-0.0682163,2.72382
-0.0682073,2.70422
-0.0681994,2.69033
-0.0681908,2.68593
-0.0681813,2.694
-0.0681718,2.73261
-0.0681619,2.75819
-0.0681522,2.77295
-0.0681425,2.77101
-0.0681326,2.80083
-0.068122,2.8156
-0.068111,2.84751
-0.0681014,2.87344
-0.0680928,2.88303
-0.068085,2.91379
-0.0680786,2.95528
-0.0680716,2.92531
-0.0680636,2.85464
-0.0680552,2.81848
-0.0680463,2.81041
-0.0680369,2.81524
-0.0680272,2.79564
-0.0680167,2.80198
-0.0680072,2.8112
-0.0679974,2.81639
-0.0679881,2.81394
-0.0679796,2.80602
-0.0679703,2.81235
-0.0679609,2.82209
-0.0679517,2.82106
-0.0679418,2.84232
-0.067932,2.889
-0.0679225,2.91415
-0.0679129,2.90587
-0.0679024,2.92012
-0.0678922,2.913
-0.0678816,2.90714
-0.0678713,2.91169
-0.0678603,2.91494
-0.0678495,2.91494
-0.0678388,2.93699
-0.0678286,2.95643
-0.0678176,2.96407
-0.0678066,2.95722
-0.0677952,2.97848
-0.067784,2.95009
-0.0677721,2.92646
-0.0677605,2.92416
-0.0677495,2.92531
-0.0677396,2.89665
-0.0677298,2.88303
-0.0677201,2.8527
-0.0677107,2.84751
-0.0677013,2.82431
-0.0676915,2.81754
-0.0676817,2.81394
-0.0676713,2.8112
-0.0676617,2.81964
-0.0676519,2.83195
-0.0676416,2.84751
-0.067631,2.84074
-0.0676184,2.87863
-0.0676109,2.86113
-0.0676009,2.83635
-0.0675915,2.83037
-0.0675815,2.86826
-0.0675719,2.8854
-0.0675619,2.88785
-0.0675514,2.93684
-0.0675407,2.94087
-0.06753,2.92646
-0.0675193,2.93165
-0.0675073,2.92207
-0.0674954,2.90745
-0.067484,2.89419
-0.0674737,2.85428
-0.0674641,2.80523
-0.0674537,2.74536
-0.0674437,2.68803
-0.0674339,2.62448
-0.0674237,2.58026
-0.0674134,2.53112
-0.0674017,2.51037
-0.0673882,2.52075
-0.0673743,2.51635
-0.0673622,2.5044
-0.0673515,2.47977
-0.067338,2.41911
-0.0673235,2.36594
-0.0673116,2.3117
-0.0672996,2.26141
-0.0672891,2.19138
-0.0672789,2.11373
-0.0672693,2.04357
-0.0672592,2.00207
-0.0672487,1.97887
-0.0672374,1.96937
-0.0672283,2.04163
-0.0672195,2.03759
-0.0672108,2.08506
-0.0672015,2.02282
-0.0671918,1.97772
-0.0671817,1.9917
-0.0671718,1.95864
-0.0671619,1.88084
-0.0671519,1.86203
-0.0671411,1.8397
-0.0671309,1.85685
-0.0671208,1.85166
-0.0671108,1.81975
-0.0671002,1.75038
-0.0670895,1.70124
-0.0670795,1.71954
-0.0670698,1.70449
-0.0670607,1.72963
-0.0670506,1.71926
-0.0670409,1.70873
-0.0670313,1.71811
-0.0670206,1.70124
-0.0670094,1.72718
-0.066999,1.73316
-0.0669886,1.76464
-0.0669779,1.74325
-0.0669676,1.72084
-0.0669575,1.69879
-0.066947,1.70643
-0.066937,1.70204
-0.066927,1.74598
