Position in z [a.u],Voltage [V]
0.0274283,0.191909
0.0274283,0.186722
0.0274283,0.191909
0.0274287,0.186722
0.0274409,0.191909
0.027468,0.181535
0.0275024,0.191909
0.0275284,0.197095
0.0275444,0.176349
0.0275537,0.191909
0.0275552,0.186722
0.0275563,0.191909
0.0275571,0.191909
0.0275571,0.186722
0.0275578,0.186722
0.0275636,0.186722
0.0275877,0.191909
0.0276103,0.191909
0.0276371,0.191909
0.0276628,0.186722
0.0276801,0.186722
0.0276941,0.186722
0.0276987,0.191909
0.0277011,0.191909
0.0277011,0.191909
0.0277018,0.191909
0.0277018,0.186722
0.027703,0.186722
0.027703,0.181535
0.0277053,0.186722
0.0277152,0.191909
0.0277353,0.191909
0.0277514,0.186722
0.0277699,0.197095
0.0277938,0.186722
0.0278204,0.186722
0.0278358,0.191909
0.027847,0.191909
0.027856,0.191909
0.0278619,0.191909
0.0278642,0.186722
0.027865,0.186722
0.0278654,0.197095
0.0278661,0.186722
0.0278666,0.191909
0.0278762,0.197095
0.0279022,0.191909
0.0279256,0.191909
0.0279422,0.197095
0.0279535,0.191909
0.0279644,0.186722
0.0279857,0.191909
0.0280044,0.186722
0.0280172,0.191909
0.0280218,0.181535
0.0280234,0.197095
0.0280242,0.186722
0.0280242,0.191909
0.0280253,0.186722
0.0280281,0.186722
0.0280637,0.181535
0.0281047,0.181535
0.0281367,0.186722
0.028165,0.181535
0.0281965,0.181535
0.0282025,0.181535
0.0282045,0.176349
0.028205,0.181535
0.0282054,0.186722
0.0282065,0.181535
0.0282277,0.181535
0.0282567,0.181535
0.0282898,0.186722
0.0283255,0.176349
0.0283609,0.181535
0.0283664,0.181535
0.028368,0.181535
0.0283696,0.181535
0.0283997,0.171162
0.0284477,0.181535
0.0284857,0.176349
0.0285295,0.186722
0.0285363,0.176349
0.0285379,0.176349
0.028539,0.176349
0.0285895,0.181535
0.0286437,0.191909
0.0286828,1.05809
0.0286948,2.08506
0.0286979,1.0166
0.028699,0.855809
0.0286994,0.96473
0.0287002,0.855809
0.0287002,0.819502
0.0287009,0.612033
0.0287009,0.689834
0.0287013,0.684647
0.0287013,0.96473
0.0287013,1.18257
0.0287021,1.02697
0.0287021,1.19813
0.0287021,1.05809
0.0287021,1.02697
0.0287021,1.00622
0.0287025,0.803942
0.0287025,0.720954
0.0287025,0.710581
0.0287025,0.695021
0.0287021,0.700207
0.0286986,0.658714
0.0286932,0.622407
0.0286851,0.700207
0.0286777,0.669087
0.0286681,0.440871
0.0286575,0.26971
0.0286482,0.228216
0.0286432,0.207469
0.0286386,0.191909
0.0286361,0.197095
0.0286361,0.191909
0.0286354,0.202282
0.0286354,0.197095
0.0286354,0.202282
0.0286257,0.186722
0.0286102,0.176349
0.0285932,0.181535
0.0285751,0.176349
0.028562,0.186722
0.0285582,0.181535
0.0285575,0.176349
0.0285594,0.176349
0.0285688,0.176349
0.0285805,0.186722
0.0285906,0.186722
0.0285976,0.186722
0.0286042,0.181535
0.0286107,0.186722
0.0286146,0.186722
0.0286192,0.186722
0.0286204,0.191909
0.0286211,0.191909
0.0286215,0.186722
0.0286215,0.191909
0.0286215,0.186722
0.0286215,0.186722
0.0286215,0.191909
0.0286243,0.197095
0.0286308,0.197095
0.028637,0.191909
0.0286444,0.197095
0.0286525,0.223029
0.0286591,0.259336
0.0286653,0.321577
0.0286718,0.554979
0.0286817,1.17739
0.028689,2.59855
0.0286954,1.89315
0.0287027,1.10477
0.0287096,1.67012
0.0287161,3.22095
0.028721,5.3112
0.0287234,4.59544
0.0287241,2.99793
0.0287241,2.83714
0.0287252,3.01349
0.0287257,3.01349
0.0287257,2.87344
0.0287287,2.21473
0.028738,1.34336
0.0287504,0.866183
0.0287663,0.643154
0.0287808,0.606846
0.0287956,0.570539
0.0288101,0.523859
0.028825,0.497925
0.028846,0.508299
0.0288695,0.487552
0.0288836,0.503112
0.0288864,0.513485
0.0288871,0.560166
0.0288879,0.63278
0.0288887,0.575726
0.0288891,0.591286
0.028898,0.497925
0.0289207,0.503112
0.0289385,0.482365
0.0289608,0.513485
0.0289775,0.539419
0.0289993,0.539419
0.0290173,0.565353
0.0290306,0.534232
0.0290365,0.653527
0.0290392,0.731328
0.02904,0.814315
0.0290408,0.798755
0.0290439,0.767635
0.0290604,0.627593
0.0290781,0.824689
0.0290921,0.94917
0.0291057,1.16701
0.0291174,2.34959
0.0291292,2.20954
0.0291419,2.21992
0.0291544,3.12241
0.0291661,3.5166
0.0291779,3.66183
0.0291877,2.87863
0.0291979,3.16909
0.0292033,4.08714
0.0292045,5.31639
0.0292061,5.31639
0.0292068,5.31639
0.0292068,5.3112
0.0292091,5.3112
0.0292142,5.31639
0.0292249,2.92531
0.0292442,1.97095
0.0292681,1.21369
0.0292995,0.658714
0.0293265,0.523859
0.0293491,0.871369
0.0293675,0.912863
0.0293753,0.778008
0.0293773,1.01141
0.0293789,0.943983
0.0293797,1.0166
0.0293797,1.00104
0.0293905,0.783195
0.0294213,1.13071
0.0294571,0.451245
0.0294961,0.202282
0.0295286,0.191909
0.0295531,0.181535
0.0295585,0.181535
0.0295609,0.176349
0.0295616,0.186722
0.029562,0.186722
0.0295632,0.181535
0.0295825,0.186722
0.029649,0.181535
0.029706,0.176349
0.0297175,0.186722
0.0297195,0.186722
0.0297206,0.186722
