Position in z [a.u.],Voltage [V]
0.0394746,0.228216
0.0394753,0.231821
0.0394769,0.233402
0.0394786,0.231461
0.0394802,0.228216
0.0394817,0.233402
0.0394837,0.228216
0.0394853,0.228216
0.0394875,0.233402
0.0394891,0.232099
0.0394908,0.233402
0.0394927,0.229007
0.0394946,0.228216
0.0394969,0.229366
0.0394988,0.232612
0.0395011,0.228216
0.039503,0.226634
0.0395053,0.227065
0.0395072,0.228216
0.0395095,0.233402
0.0395116,0.23031
0.0395139,0.228216
0.0395162,0.228216
0.0395188,0.233402
0.0395214,0.232612
0.0395237,0.233402
0.0395265,0.232252
0.0395297,0.236495
0.0395321,0.22952
0.0395348,0.228216
0.0395374,0.23067
0.0395404,0.233402
0.0395436,0.237798
0.0395469,0.236648
0.0395501,0.233402
0.0395534,0.233402
0.0395573,0.233402
0.0395606,0.233402
0.0395638,0.226274
0.0395671,0.231821
0.0395706,0.235857
0.0395745,0.234553
0.0395781,0.233402
0.0395816,0.228216
0.0395854,0.23067
0.0395896,0.229007
0.0395934,0.229366
0.0395978,0.233402
0.0396023,0.233402
0.0396064,0.229797
0.0396108,0.235344
0.0396153,0.234706
0.0396202,0.238589
0.0396257,0.225484
0.0396312,0.233402
0.0396373,0.232252
0.0396432,0.235857
0.0396497,0.234193
0.0396558,0.233402
0.0396616,0.229366
0.0396673,0.237798
0.0396738,0.228216
0.0396803,0.232252
0.0396864,0.228216
0.0396932,0.230948
0.0397,0.238589
0.0397063,0.238589
0.0397122,0.237798
0.0397181,0.234193
0.0397242,0.239893
0.0397305,0.233402
0.0397365,0.233402
0.0397422,0.228216
0.0397483,0.237439
0.0397543,0.233402
0.0397604,0.228216
0.0397665,0.234553
0.0397719,0.228216
0.039778,0.232252
0.0397841,0.230157
0.0397904,0.228216
0.0397973,0.233402
0.0398041,0.238589
0.0398111,0.237798
0.0398182,0.229366
0.0398243,0.229007
0.039831,0.228216
0.0398371,0.231308
0.0398435,0.236648
0.0398508,0.235857
0.0398581,0.233402
0.0398654,0.233402
0.0398727,0.238589
0.0398804,0.233402
0.0398883,0.232612
0.0398946,0.228216
0.0398999,0.22418
0.0399063,0.223029
0.039913,0.228216
0.0399201,0.228216
0.0399262,0.238589
0.0399332,0.23067
0.0399396,0.233402
0.0399466,0.227065
0.0399536,0.228216
0.03996,0.233402
0.039967,0.234193
0.039974,0.235857
0.0399813,0.238589
0.0399878,0.243776
0.0399942,0.238589
0.0400012,0.233402
0.0400077,0.228216
0.0400147,0.236288
0.040022,0.238589
0.0400288,0.236288
0.0400356,0.238589
0.0400415,0.237439
0.0400484,0.233402
0.0400547,0.238589
0.0400616,0.238589
0.0400687,0.238589
0.0400758,0.238589
