Position in z [a.u.],Voltage [V]
0.0633916,0.230948
0.063392,0.233402
0.0633924,0.233402
0.0633931,0.228216
0.0633939,0.22497
0.063395,0.22497
0.0633958,0.223029
0.0633969,0.228216
0.0633979,0.223029
0.0633992,0.228216
0.0634006,0.228216
0.0634019,0.228216
0.063403,0.228216
0.0634046,0.230948
0.0634053,0.228216
0.0634069,0.229007
0.063408,0.228216
0.0634095,0.229366
0.0634109,0.228216
0.0634122,0.229007
0.0634138,0.223029
0.0634147,0.233402
0.0634161,0.232099
0.0634174,0.228216
0.0634187,0.237798
0.06342,0.229007
0.0634216,0.232252
0.0634231,0.228216
0.0634243,0.233402
0.0634258,0.232099
0.0634273,0.229366
0.0634289,0.229366
0.06343,0.233762
0.0634315,0.225761
0.0634331,0.225761
0.0634346,0.230157
0.0634362,0.235344
0.0634375,0.238589
0.0634394,0.228216
0.063441,0.23067
0.0634425,0.228216
0.0634441,0.23031
0.0634456,0.223029
0.0634471,0.226121
0.063449,0.227065
0.0634506,0.228216
0.0634521,0.227425
0.0634537,0.231308
0.0634558,0.227065
0.0634573,0.226121
0.0634592,0.228216
0.0634613,0.222238
0.0634634,0.226121
0.0634659,0.222238
0.0634678,0.223029
0.0634701,0.217842
0.0634726,0.232612
0.0634749,0.229007
0.0634773,0.227065
0.0634802,0.226912
0.0634827,0.229797
0.0634856,0.224333
0.0634882,0.22382
0.0634911,0.229366
0.0634944,0.222238
0.0634973,0.229366
0.0635007,0.233402
0.0635039,0.22418
0.0635072,0.232099
0.0635106,0.229366
0.063514,0.228216
0.0635173,0.227065
0.0635213,0.228216
0.0635268,0.228216
0.0635308,0.223029
0.0635347,0.223029
0.0635391,0.229366
0.0635439,0.232252
0.0635483,0.227425
0.0635535,0.22418
0.0635589,0.224333
0.0635638,0.226274
0.0635691,0.228216
0.0635741,0.226912
0.0635791,0.232099
0.0635837,0.225915
0.0635882,0.217842
0.0635928,0.225484
0.0635978,0.229366
0.0636023,0.229366
0.0636076,0.225761
0.0636124,0.225484
0.0636166,0.229007
0.0636215,0.225484
0.0636265,0.230157
0.0636309,0.227065
0.0636361,0.228216
0.0636411,0.235497
0.0636462,0.219784
0.0636508,0.224333
0.0636556,0.224333
0.0636608,0.221447
0.0636655,0.22382
0.0636701,0.22952
0.0636753,0.228216
0.0636809,0.228216
0.0636858,0.227425
0.0636907,0.228216
0.0636962,0.231308
0.0637015,0.23067
0.0637072,0.22382
0.063713,0.227065
0.0637193,0.22497
0.0637255,0.224333
0.0637314,0.220297
0.0637371,0.22382
0.0637427,0.223029
0.0637481,0.232099
0.0637545,0.229007
0.0637598,0.233402
0.0637661,0.223029
0.063773,0.225915
0.0637791,0.225915
0.0637849,0.232612
0.0637908,0.22497
0.0637955,0.226274
0.0638013,0.229007
0.063807,0.22497
0.0638128,0.229366
0.0638193,0.228216
0.0638259,0.234553
0.0638324,0.228216
0.0638393,0.226912
0.0638464,0.227065
0.0638526,0.225484
0.0638589,0.228216
0.0638647,0.228216
0.063871,0.22952
0.0638773,0.226274
0.0638839,0.22497
0.0638914,0.228216
0.0638978,0.225124
0.0639039,0.226274
0.0639108,0.223029
0.0639177,0.223029
0.0639251,0.223029
0.063932,0.223029
0.0639387,0.225761
0.0639454,0.223029
0.0639521,0.22382
0.063959,0.227703
0.0639665,0.229007
0.0639739,0.228216
0.063981,0.223029
0.0639877,0.22497
0.0639939,0.227065
0.0640003,0.228216
0.0640072,0.232099
0.0640141,0.233402
0.0640216,0.233402
0.0640291,0.229007
0.0640371,0.228216
0.0640446,0.22497
0.064052,0.229366
0.0640595,0.224333
0.0640661,0.228216
0.0640727,0.226634
0.0640792,0.223029
0.0640853,0.226634
0.0640928,0.225761
0.0640997,0.228216
0.0641065,0.223029
0.0641142,0.228216
0.0641211,0.223029
0.0641279,0.223029
0.0641353,0.228216
0.0641425,0.228216
0.0641497,0.223029
0.0641572,0.224333
0.0641652,0.220575
0.0641739,0.226912
0.0641824,0.232099
0.0641914,0.228216
0.0642004,0.228216
0.0642088,0.226274
0.0642168,0.228216
0.0642248,0.230157
0.0642315,0.227065
0.0642375,0.232252
0.064243,0.228216
0.0642485,0.231461
0.0642549,0.228216
0.0642631,0.228216
0.0642717,0.229007
0.0642805,0.228216
0.0642908,0.218633
0.0643,0.224333
0.0643077,0.219784
0.0643148,0.22952
0.0643222,0.225484
0.0643299,0.223029
0.0643367,0.221878
0.0643444,0.223029
0.0643517,0.223029
0.0643593,0.228216
0.0643666,0.227425
0.0643741,0.228216
0.0643825,0.231308
0.0643911,0.221447
0.0643994,0.223029
0.0644076,0.229366
0.0644158,0.228216
0.0644236,0.223029
0.0644317,0.228216
0.0644391,0.225124
0.0644469,0.223029
0.0644539,0.217842
0.0644611,0.226274
0.0644688,0.228216
0.0644761,0.227425
0.0644838,0.229366
0.064492,0.22382
0.0645006,0.222238
0.0645097,0.224611
0.0645181,0.218993
0.0645257,0.230157
0.0645325,0.228216
0.06454,0.229366
0.0645479,0.228216
0.0645561,0.225761
0.0645642,0.227065
0.0645723,0.228216
0.0645805,0.230948
0.0645889,0.234706
0.0645978,0.227856
0.0646064,0.226912
0.0646154,0.227425
0.0646241,0.226634
0.0646333,0.227425
0.0646417,0.223029
0.0646504,0.223029
0.064659,0.228216
0.0646681,0.228216
0.0646782,0.228216
0.0646893,0.228216
0.0647003,0.226274
0.0647101,0.230948
0.0647186,0.226634
0.0647273,0.228216
0.0647346,0.232612
0.0647421,0.225484
0.0647486,0.228216
0.0647555,0.215901
0.0647639,0.226274
0.064772,0.221878
0.064783,0.226634
0.0647965,0.22497
0.0648089,0.22952
0.0648205,0.230948
0.0648303,0.229366
0.0648385,0.232099
0.0648475,0.228216
0.0648578,0.227425
0.0648674,0.228216
0.0648759,0.228216
0.064885,0.229007
0.0648956,0.223029
0.0649059,0.227425
0.0649167,0.22952
0.0649274,0.228216
0.0649377,0.228216
0.0649475,0.226912
0.064958,0.225761
0.0649696,0.228216
0.0649823,0.220575
0.0649951,0.223029
0.0650061,0.225484
0.0650162,0.225761
0.0650248,0.228216
0.065034,0.234553
0.0650428,0.232252
0.0650514,0.22952
0.06506,0.229007
0.0650694,0.233402
0.0650792,0.226274
0.0650879,0.228216
0.0650964,0.233402
0.0651057,0.226274
0.0651138,0.223029
0.065123,0.226274
0.0651334,0.228216
0.0651437,0.22497
0.0651537,0.224333
0.0651641,0.223029
0.0651743,0.229366
0.0651836,0.232252
0.0651907,0.233402
0.0651988,0.233402
0.0652062,0.228216
0.0652133,0.230948
0.0652206,0.225761
0.0652279,0.220297
0.0652355,0.228216
0.0652433,0.226634
0.0652502,0.228216
0.0652583,0.22952
0.0652669,0.233402
0.0652767,0.232889
0.0652867,0.230948
0.065296,0.230948
0.0653057,0.22382
0.0653156,0.225484
0.0653258,0.227425
0.0653357,0.227065
0.0653452,0.233402
0.065355,0.232612
0.0653651,0.223029
0.0653745,0.228216
0.0653841,0.228216
0.0653943,0.235857
0.065405,0.228216
0.0654156,0.233402
0.0654233,0.233402
0.0654311,0.229797
0.0654402,0.229366
0.065448,0.23067
0.0654567,0.232099
0.0654657,0.232099
0.065475,0.233402
0.065484,0.228216
0.0654926,0.223029
0.0654992,0.226912
0.0655067,0.223029
0.0655148,0.233402
0.0655233,0.228216
0.0655323,0.221088
0.0655404,0.227065
0.0655494,0.228216
0.0655587,0.229366
0.0655684,0.226274
0.065579,0.226634
0.06559,0.228216
0.0656015,0.228216
0.0656126,0.22497
0.0656236,0.233402
0.0656336,0.230948
0.0656426,0.233916
0.0656523,0.231461
0.065662,0.228216
0.0656721,0.228216
0.065682,0.226274
0.0656923,0.228216
0.065703,0.229007
0.0657138,0.231101
0.0657243,0.227065
0.0657343,0.232612
0.0657438,0.228216
0.0657533,0.228216
0.065763,0.229366
0.0657736,0.229007
0.0657852,0.226912
0.0657958,0.230157
0.0658059,0.233402
0.0658162,0.232612
0.0658297,0.23067
0.0658434,0.232612
0.0658575,0.228216
0.0658714,0.224333
0.0658831,0.23067
0.0658941,0.223029
0.0659061,0.228216
0.0659173,0.232252
0.0659295,0.228216
0.0659411,0.22497
0.0659513,0.226274
0.0659612,0.223542
0.0659712,0.221878
0.0659807,0.225761
0.0659907,0.232612
0.066001,0.222238
0.0660114,0.218993
0.0660213,0.227065
0.066031,0.223029
0.0660407,0.228216
0.066051,0.22418
0.0660614,0.226912
0.0660716,0.228216
0.0660802,0.225761
0.0660896,0.223029
0.0660993,0.223029
0.0661072,0.229366
0.0661159,0.233402
0.0661243,0.227425
0.0661325,0.228216
0.0661414,0.228216
0.0661498,0.22952
0.0661582,0.233402
0.0661673,0.227425
0.0661759,0.233916
0.066185,0.225484
0.0661951,0.229007
0.0662053,0.227065
0.0662165,0.22952
0.0662277,0.233402
0.0662388,0.227065
0.0662494,0.229797
0.0662591,0.227703
0.0662679,0.229366
0.0662768,0.223029
0.0662857,0.223029
0.0662946,0.227425
0.0663038,0.232612
0.0663136,0.237008
0.0663229,0.228216
0.0663318,0.229366
0.0663407,0.233402
0.0663501,0.231461
0.0663585,0.219784
0.0663664,0.217842
0.0663742,0.217842
0.0663823,0.22497
0.0663905,0.233402
0.0663994,0.235344
0.0664075,0.235857
0.066416,0.232252
0.0664249,0.228216
0.0664338,0.229797
0.0664432,0.228216
0.0664525,0.221878
0.0664612,0.229797
0.0664699,0.227065
0.0664787,0.232612
0.0664885,0.227065
0.0664986,0.232252
0.0665098,0.23031
0.0665214,0.223029
0.0665342,0.228216
0.066546,0.227065
0.0665545,0.227065
0.066562,0.226634
0.0665701,0.228216
0.0665808,0.228216
0.066592,0.228216
0.0666046,0.226274
0.0666171,0.225761
0.0666286,0.223029
0.0666398,0.228216
0.0666506,0.223029
0.0666611,0.231101
0.0666723,0.232099
0.0666836,0.227425
0.0666943,0.228216
0.066705,0.228216
0.0667167,0.223029
0.0667284,0.228216
0.06674,0.229007
0.0667514,0.228216
0.0667633,0.228216
0.0667753,0.229366
0.0667871,0.228216
0.0667995,0.230948
0.0668109,0.233402
0.0668216,0.228216
0.0668317,0.229007
0.0668416,0.23031
0.0668521,0.229797
0.0668633,0.233402
0.0668743,0.228216
0.0668853,0.234706
0.0668956,0.228216
0.0669059,0.23067
0.0669162,0.227425
0.0669266,0.23974
0.0669363,0.235857
0.0669468,0.234193
0.0669574,0.229797
0.0669675,0.228216
0.0669778,0.233402
0.0669878,0.229797
0.0669983,0.233762
0.0670096,0.233402
0.0670204,0.234193
0.0670308,0.233402
0.0670399,0.234706
0.0670477,0.238589
0.0670557,0.234984
0.0670672,0.237798
0.0670808,0.230157
0.0670924,0.233402
0.0671031,0.238949
0.0671128,0.230948
0.0671222,0.235344
0.0671312,0.237798
0.067139,0.238589
0.067147,0.236648
0.0671553,0.237439
0.0671634,0.238589
0.0671717,0.238589
0.0671802,0.237285
0.067188,0.244927
0.0671959,0.243776
0.0672038,0.248963
0.0672124,0.250904
0.0672214,0.256091
0.0672298,0.256091
0.0672388,0.252846
0.0672473,0.264523
0.0672559,0.272164
0.0672649,0.290456
0.0672739,0.295643
0.0672829,0.304713
0.0672916,0.321577
0.0673004,0.329218
0.0673077,0.337137
0.067315,0.337137
0.0673223,0.343627
0.0673301,0.337137
0.0673381,0.34672
0.0673464,0.34672
0.067355,0.343627
0.0673633,0.342324
0.0673713,0.34751
0.0673801,0.342324
0.0673896,0.337137
0.0673989,0.343474
0.0674088,0.352697
0.0674185,0.366316
0.0674288,0.384608
0.0674384,0.396799
0.0674472,0.404564
0.0674561,0.402983
0.0674651,0.40781
0.067474,0.409751
0.0674835,0.398074
0.0674932,0.402263
0.0675022,0.3991
0.0675123,0.404564
0.0675223,0.418974
0.0675323,0.414938
0.067543,0.409751
0.0675547,0.412996
0.0675666,0.428916
0.0675787,0.443326
0.0675909,0.462409
0.0676029,0.473142
0.0676147,0.494042
0.0676256,0.512335
0.0676361,0.536965
0.0676472,0.549793
0.0676588,0.565353
0.0676708,0.578818
0.0676831,0.5861
0.0676959,0.595682
0.0677077,0.595682
0.0677158,0.593741
0.0677254,0.55577
0.0677354,0.529046
0.0677455,0.492739
0.0677569,0.467596
0.067768,0.452395
0.0677778,0.438417
0.0677866,0.417392
0.0677966,0.385121
0.0678066,0.372293
0.0678174,0.357884
0.0678278,0.365012
0.0678391,0.35658
0.0678519,0.372293
0.0678659,0.414938
0.067881,0.476028
0.0678956,0.525163
0.0679098,0.596473
0.0679221,0.654678
0.0679333,0.706545
0.0679445,0.762448
0.0679556,0.788382
0.0679671,0.803151
0.0679785,0.818711
0.0679907,0.805883
0.0680027,0.788382
0.0680131,0.778008
0.0680236,0.757539
0.068034,0.747679
0.0680445,0.762448
0.0680541,0.735724
0.0680646,0.708126
0.0680757,0.679461
0.068086,0.650282
0.0680961,0.63278
0.0681067,0.627593
0.0681192,0.61722
0.0681322,0.606846
0.0681447,0.626012
0.0681559,0.618011
0.0681657,0.610092
0.0681743,0.613615
0.0681829,0.611242
0.0681916,0.604905
0.0682002,0.607997
0.0682084,0.600509
0.0682167,0.594378
0.0682251,0.596473
0.0682337,0.596473
0.0682425,0.608788
0.0682502,0.607637
0.068259,0.605696
0.0682678,0.599718
0.0682778,0.610883
0.0682884,0.624348
0.0683,0.657563
0.0683122,0.695021
0.0683248,0.788382
0.0683362,0.835062
0.0683473,0.906886
0.0683574,0.950321
0.0683667,0.969917
0.0683749,0.987932
0.0683803,1.00507
0.0683864,0.989513
0.0683923,0.990664
0.0683986,0.995573
0.0684051,0.99843
0.0684123,1.00622
0.0684197,1.01933
0.0684292,1.0529
0.0684397,1.06846
0.0684498,1.04253
0.0684598,1.02618
0.0684702,1.01581
0.0684815,1.0145
0.0684926,1.01739
0.0685035,1.0166
0.0685149,1.02697
0.0685262,1.00349
0.0685379,0.973162
0.0685495,0.96473
0.0685599,0.96473
0.0685701,0.928423
0.0685796,0.91805
0.0685899,0.905735
0.0686006,0.90249
0.0686118,0.972649
0.0686233,0.960694
0.0686358,0.922086
0.0686484,0.907676
0.0686616,0.898454
0.0686745,0.904071
0.0686861,0.90249
0.0686972,0.862937
0.0687076,0.866183
0.0687179,0.892907
0.0687284,1.04578
0.0687409,1.12552
0.0687535,1.09282
0.0687628,0.989082
0.0687703,0.922446
0.068777,0.882534
0.0687863,0.888871
0.0687972,0.936702
0.0688092,0.943983
0.0688194,0.92454
0.0688291,0.9192
0.0688375,0.90249
0.0688455,0.860996
0.0688531,0.819502
0.0688609,0.800059
0.0688686,0.784346
0.0688766,0.762448
0.0688839,0.753656
0.0688917,0.747679
0.0688999,0.778008
0.068909,0.901339
0.068919,0.968613
0.0689299,0.929214
0.0689419,0.875252
0.0689536,0.849319
0.0689637,0.822234
0.0689734,0.789686
0.0689833,0.763599
0.0689924,0.750924
0.0690002,0.73406
0.0690085,0.741701
0.0690166,0.767635
0.0690248,0.829876
0.0690324,1.02178
0.0690398,0.96358
0.069046,0.939587
0.0690525,0.91805
0.0690588,0.881743
0.0690655,0.892907
0.0690722,0.90249
0.0690793,0.897303
0.0690865,0.887442
0.0690938,0.8623
0.0691014,0.850622
0.0691094,0.842703
0.0691176,0.813012
0.0691256,0.806243
0.0691337,0.794719
0.0691424,0.805883
0.0691518,0.820293
0.0691619,0.815106
0.0691728,0.809129
0.0691838,0.803151
0.0691952,0.803942
0.0692073,0.825839
