Position in z [a.u.],Voltage [V]
0.0612203,0.223029
0.0612203,0.228216
0.0612211,0.227425
0.061222,0.228216
0.0612228,0.225484
0.0612239,0.22418
0.0612247,0.223029
0.0612261,0.225484
0.0612277,0.228216
0.0612288,0.228216
0.0612304,0.223029
0.0612315,0.218993
0.0612331,0.22418
0.0612344,0.228216
0.0612359,0.223029
0.0612375,0.222238
0.0612385,0.228216
0.0612401,0.227425
0.0612414,0.226274
0.0612432,0.223029
0.0612444,0.223029
0.0612463,0.230948
0.0612474,0.230157
0.0612493,0.227065
0.0612509,0.225124
0.0612525,0.229366
0.0612539,0.228216
0.0612555,0.226634
0.0612571,0.228216
0.0612586,0.226912
0.0612602,0.227065
0.0612618,0.228216
0.0612634,0.233402
0.061265,0.233402
0.0612672,0.23067
0.0612686,0.23067
0.0612702,0.228216
0.0612717,0.225915
0.0612737,0.227425
0.0612753,0.231461
0.0612769,0.233402
0.0612788,0.224611
0.0612804,0.223542
0.0612822,0.228216
0.0612842,0.227425
0.0612857,0.223029
0.0612873,0.227425
0.0612893,0.228216
0.0612917,0.230157
0.0612936,0.228216
0.0612958,0.227065
0.0612977,0.227425
0.0612996,0.223029
0.0613024,0.229007
0.0613046,0.226912
0.0613075,0.22418
0.0613103,0.227065
0.0613124,0.228216
0.0613155,0.228216
0.0613183,0.228216
0.0613212,0.228216
0.0613243,0.22497
0.0613273,0.223029
0.0613308,0.229007
0.0613336,0.228216
0.0613365,0.229366
0.0613399,0.223029
0.0613436,0.225915
0.0613472,0.221088
0.061351,0.223029
0.0613546,0.226274
0.061359,0.225484
0.0613639,0.228216
0.061369,0.223029
0.0613741,0.223029
0.0613796,0.23031
0.0613849,0.233402
0.0613899,0.231461
0.0613953,0.233402
0.0614005,0.227065
0.0614053,0.229007
0.0614098,0.225761
0.0614151,0.220575
0.0614202,0.227703
0.0614255,0.232612
0.0614309,0.235344
0.0614364,0.230157
0.0614423,0.223029
0.0614473,0.225761
0.0614535,0.231308
0.0614596,0.226274
0.0614652,0.233402
0.0614713,0.227425
0.0614774,0.227065
0.061483,0.226274
0.0614889,0.226121
0.0614936,0.233402
0.0614988,0.228216
0.0615039,0.221725
0.0615086,0.226912
0.0615137,0.22497
0.0615182,0.223029
0.0615235,0.228216
0.0615292,0.228216
0.0615351,0.228216
0.0615406,0.223029
0.0615465,0.228216
0.061552,0.228216
0.0615578,0.227065
