Position in z [a.u.],Voltage [V]
0.0567687,0.229007
0.0567687,0.228216
0.0567689,0.233402
0.0567697,0.22952
0.0567706,0.229366
0.0567718,0.224333
0.0567728,0.229007
0.0567743,0.233402
0.0567755,0.232099
0.0567768,0.233402
0.0567782,0.233402
0.0567797,0.231461
0.0567813,0.233402
0.0567825,0.228216
0.0567842,0.225484
0.0567859,0.233402
0.0567869,0.230948
0.0567884,0.230948
0.05679,0.228216
0.0567917,0.228216
0.0567934,0.228216
0.0567948,0.230157
0.0567962,0.231461
0.0567985,0.233402
0.0567996,0.223029
0.0568012,0.223029
0.0568029,0.233402
0.0568047,0.233402
0.0568066,0.23067
0.056808,0.228216
0.0568097,0.232099
0.0568114,0.231461
0.056813,0.23067
0.0568147,0.228216
0.0568167,0.223029
0.0568184,0.228216
0.0568198,0.227425
0.0568217,0.228216
0.0568232,0.227425
0.0568251,0.228216
0.0568269,0.228216
0.0568285,0.228216
0.0568302,0.229366
0.0568319,0.228216
0.0568339,0.225484
0.0568356,0.235857
0.0568372,0.227425
0.0568395,0.227065
0.0568412,0.227425
0.0568432,0.226634
0.0568455,0.228216
0.0568481,0.228216
0.0568504,0.228216
0.056853,0.233402
0.0568559,0.231821
0.0568588,0.227065
0.0568614,0.228216
0.0568645,0.233402
0.0568672,0.232252
0.0568703,0.233402
0.0568735,0.233402
0.0568766,0.232612
0.0568797,0.228216
0.0568832,0.228216
0.0568867,0.223029
0.0568898,0.236135
0.0568938,0.233402
0.0568975,0.228216
0.0569015,0.232612
0.0569054,0.233402
0.0569097,0.233402
0.0569136,0.228216
0.0569179,0.228216
0.0569219,0.228216
0.0569264,0.234706
0.0569309,0.233402
0.0569355,0.234193
0.0569405,0.227065
0.0569456,0.22418
0.0569505,0.228216
0.0569553,0.232099
0.0569602,0.223029
0.0569647,0.223029
0.0569698,0.223029
0.0569752,0.229366
0.0569802,0.222238
0.0569853,0.225484
0.0569915,0.233402
0.0569975,0.225484
0.0570027,0.227065
0.0570084,0.228216
0.0570138,0.223029
0.0570188,0.228216
0.0570245,0.228216
0.0570297,0.228216
0.0570351,0.233402
0.0570404,0.227065
0.0570458,0.228216
0.0570512,0.23067
0.0570562,0.229366
0.0570616,0.227065
0.0570662,0.223029
0.0570718,0.230157
0.0570762,0.228216
0.0570807,0.228216
0.057086,0.227065
0.057091,0.228216
0.0570964,0.228216
0.0571026,0.227425
0.0571078,0.23031
0.0571142,0.228216
0.05712,0.228216
0.0571264,0.228216
0.0571322,0.227065
0.057138,0.223029
0.0571442,0.232252
0.0571504,0.233402
0.0571568,0.233402
0.057163,0.229007
0.057169,0.231821
0.0571752,0.228216
0.0571822,0.233402
0.0571891,0.234553
0.0571968,0.229007
0.0572045,0.233402
0.0572119,0.23067
