Position in x [m],Voltage [V]
-0.0719772,0.247812
-0.0719767,0.245717
-0.0719764,0.248963
-0.0719757,0.244927
-0.0719749,0.245717
-0.0719744,0.248172
-0.071974,0.243776
-0.0719732,0.247812
-0.0719727,0.250266
-0.0719717,0.243776
-0.0719712,0.243776
-0.0719707,0.243776
-0.0719699,0.248963
-0.0719693,0.252999
-0.0719681,0.243776
-0.0719671,0.24623
-0.0719658,0.244927
-0.0719651,0.244567
-0.0719639,0.24508
-0.0719628,0.248963
-0.0719616,0.250904
-0.0719604,0.250113
-0.0719596,0.247812
-0.0719584,0.248963
-0.071957,0.247021
-0.0719557,0.250113
-0.0719547,0.247381
-0.0719535,0.250113
-0.0719525,0.249753
-0.0719515,0.242472
-0.0719502,0.248963
-0.071949,0.248172
-0.0719482,0.240684
-0.071947,0.248963
-0.0719456,0.244927
-0.0719445,0.243776
-0.0719433,0.241834
-0.071942,0.238589
-0.0719411,0.241321
-0.07194,0.24623
-0.0719386,0.251695
-0.0719376,0.246508
-0.0719363,0.252568
-0.0719351,0.245717
-0.0719338,0.243776
-0.0719326,0.247381
-0.0719314,0.248172
-0.0719301,0.244927
-0.0719287,0.243776
-0.0719276,0.251417
-0.0719264,0.251695
-0.0719251,0.247381
-0.0719237,0.23974
-0.0719229,0.243776
-0.0719217,0.241321
-0.0719207,0.25379
-0.0719197,0.247812
-0.0719182,0.248963
-0.071917,0.249476
-0.0719152,0.242625
-0.0719135,0.250266
-0.0719119,0.245358
-0.0719101,0.249753
-0.0719081,0.248963
-0.0719064,0.248963
-0.0719043,0.248963
-0.0719022,0.254149
-0.0719006,0.248963
-0.0718984,0.248172
-0.0718964,0.251417
-0.0718941,0.243263
-0.071892,0.241321
-0.0718896,0.240531
-0.0718873,0.243776
-0.071885,0.245717
-0.0718827,0.247812
-0.0718801,0.24508
-0.0718778,0.243776
-0.0718755,0.253359
-0.0718725,0.250113
-0.07187,0.244567
-0.0718675,0.242472
-0.0718643,0.24508
-0.0718613,0.243776
-0.0718579,0.242985
-0.0718543,0.243776
-0.0718504,0.251057
-0.0718464,0.245717
-0.0718422,0.244567
-0.0718379,0.242985
-0.0718332,0.243776
-0.0718267,0.244567
-0.0718222,0.245717
-0.0718176,0.247659
-0.0718136,0.248963
-0.0718091,0.248963
-0.071805,0.246508
-0.0718007,0.247812
-0.0717962,0.248963
-0.0717918,0.248963
-0.0717876,0.248172
-0.0717835,0.248963
-0.0717791,0.254149
-0.0717753,0.245717
-0.0717712,0.246508
-0.071767,0.243776
-0.0717628,0.248963
-0.0717588,0.242625
-0.0717548,0.243776
-0.0717507,0.243776
-0.0717463,0.248963
-0.0717416,0.249753
-0.0717376,0.248172
-0.0717337,0.248963
-0.0717301,0.247021
-0.0717259,0.247659
-0.0717217,0.240531
-0.0717171,0.243776
-0.0717127,0.246508
-0.0717082,0.243776
-0.0717033,0.245717
-0.0716984,0.248172
-0.0716932,0.248963
-0.071689,0.246508
-0.0716845,0.248963
-0.0716801,0.243776
-0.0716754,0.247021
-0.0716705,0.244927
-0.0716659,0.246868
-0.0716609,0.242625
-0.0716558,0.249753
-0.0716513,0.248963
-0.0716467,0.247021
-0.0716422,0.248963
-0.0716381,0.243776
-0.0716341,0.243776
-0.0716294,0.241321
-0.0716246,0.243776
-0.0716194,0.247021
-0.071614,0.243776
-0.0716084,0.243776
-0.0716026,0.244927
-0.0715968,0.243776
-0.071591,0.251057
-0.0715849,0.247659
-0.0715792,0.243776
-0.0715734,0.248963
-0.0715678,0.243776
-0.0715624,0.24623
-0.0715566,0.24623
-0.0715499,0.245871
-0.0715436,0.250904
-0.0715384,0.250113
-0.0715331,0.248963
-0.0715275,0.248963
-0.0715223,0.251417
-0.0715167,0.243776
-0.0715116,0.252999
-0.0715065,0.248963
-0.0715011,0.245717
-0.0714963,0.244927
-0.0714904,0.248963
-0.071485,0.248963
-0.0714787,0.251417
-0.0714721,0.243776
-0.0714657,0.245717
-0.0714593,0.243776
-0.0714531,0.242472
-0.0714465,0.241834
-0.0714403,0.241321
-0.0714336,0.246508
-0.0714267,0.248172
-0.0714199,0.243776
-0.0714116,0.252999
-0.0714018,0.247021
-0.0713932,0.243776
-0.0713856,0.250113
-0.0713775,0.250544
-0.0713701,0.251417
-0.0713628,0.243776
-0.071356,0.243776
-0.0713489,0.248172
-0.0713419,0.247381
-0.0713346,0.254149
-0.0713276,0.252999
-0.0713211,0.247812
-0.0713145,0.246508
-0.0713076,0.250113
-0.0712996,0.248963
-0.0712889,0.250266
-0.071279,0.248172
-0.0712706,0.24508
-0.0712613,0.244927
-0.0712526,0.241321
-0.0712439,0.245871
-0.0712356,0.244927
-0.0712268,0.250544
-0.071218,0.248963
-0.0712097,0.250113
-0.0712012,0.248963
-0.0711934,0.248963
-0.0711854,0.242625
-0.0711775,0.249753
-0.0711703,0.247812
-0.0711633,0.250113
-0.0711567,0.249753
-0.0711495,0.248963
-0.0711419,0.248963
-0.0711345,0.248172
-0.071126,0.248963
-0.0711175,0.23974
-0.0711086,0.243776
-0.0710993,0.248963
-0.0710902,0.24845
-0.0710814,0.243776
-0.0710728,0.243776
-0.071064,0.245717
-0.0710539,0.243776
-0.0710422,0.244567
-0.0710296,0.244927
-0.0710185,0.243776
-0.0710103,0.246077
-0.0710032,0.248172
-0.0709974,0.247812
-0.0709912,0.243776
-0.0709854,0.245717
-0.0709799,0.246508
-0.070974,0.243776
-0.0709682,0.251417
-0.0709621,0.243776
-0.0709554,0.248963
-0.0709477,0.251695
-0.0709402,0.243776
-0.0709322,0.247021
-0.0709238,0.248963
-0.070916,0.250266
-0.0709069,0.245358
-0.0708986,0.248963
-0.0708903,0.254149
-0.0708815,0.248963
-0.0708729,0.248963
-0.0708634,0.250904
-0.0708545,0.254149
-0.0708461,0.254149
-0.0708367,0.254149
-0.070827,0.252999
-0.0708169,0.254149
-0.0708081,0.254149
-0.0707992,0.254149
-0.0707911,0.254149
-0.0707832,0.253359
-0.0707754,0.248963
-0.0707682,0.247659
-0.0707616,0.250904
-0.0707551,0.248963
-0.070748,0.250266
-0.0707409,0.251417
-0.0707337,0.254149
-0.0707265,0.252999
-0.070719,0.250266
-0.0707108,0.24508
-0.0707028,0.250113
-0.0706945,0.245358
-0.0706863,0.248963
-0.070678,0.249753
-0.0706701,0.24508
-0.0706623,0.243776
-0.0706544,0.238589
-0.0706468,0.250266
-0.0706387,0.249753
-0.0706315,0.241834
-0.0706246,0.242625
-0.0706174,0.248963
-0.0706101,0.248963
-0.0706028,0.241834
-0.0705949,0.245717
-0.0705866,0.248963
-0.0705773,0.24845
-0.0705671,0.247381
-0.0705571,0.243776
-0.0705478,0.243776
-0.0705398,0.245717
-0.0705336,0.243776
-0.0705274,0.248963
-0.070522,0.242985
-0.0705169,0.24508
-0.0705112,0.24089
-0.0705046,0.242985
-0.0704972,0.240531
-0.0704901,0.240531
-0.0704825,0.242985
-0.0704742,0.243776
-0.070466,0.236135
-0.0704574,0.240171
-0.0704493,0.235857
-0.0704415,0.237285
-0.070433,0.242625
-0.070424,0.247021
-0.0704153,0.241044
-0.0704077,0.243776
-0.0703996,0.241321
-0.0703902,0.242625
-0.0703807,0.248963
-0.0703715,0.244567
-0.0703614,0.237285
-0.0703517,0.243776
-0.0703423,0.242985
-0.070333,0.243776
-0.070324,0.238589
-0.0703157,0.242472
-0.0703072,0.243776
-0.0702971,0.245358
-0.0702868,0.241321
-0.0702754,0.243776
-0.0702621,0.235857
-0.0702482,0.238589
-0.0702355,0.23974
-0.0702246,0.247812
-0.0702133,0.245717
-0.0702036,0.248685
-0.0701943,0.248963
-0.0701853,0.24623
-0.0701756,0.248963
-0.0701655,0.249753
-0.0701551,0.247021
-0.0701438,0.247021
-0.0701313,0.244567
-0.0701189,0.242194
-0.0701058,0.240531
