Position in z [a.u.],Voltage [V]
0.0113065,0.108921
0.0113086,0.108921
0.0113115,0.105829
0.0113148,0.104525
0.0113186,0.110863
0.0113223,0.107771
0.0113257,0.109712
0.0113307,0.108921
0.0113357,0.108921
0.0113394,0.108921
0.0113444,0.114108
0.0113494,0.110863
0.0113544,0.110225
0.011359,0.117353
0.0113631,0.10813
0.0113701,0.104525
0.011376,0.115259
0.0113802,0.103734
0.0113868,0.103734
0.0113935,0.104885
0.011399,0.111653
0.0114052,0.103734
0.0114111,0.112804
0.0114169,0.103734
0.0114236,0.103734
0.0114278,0.101002
0.0114336,0.109712
0.0114403,0.107617
0.011447,0.110072
0.0114524,0.108921
0.0114608,0.104525
0.0114662,0.101793
0.0114725,0.107771
0.0114796,0.106827
0.0114867,0.108921
0.0114959,0.108921
0.0115018,0.106189
0.0115089,0.105676
0.011516,0.103734
0.0115261,0.10813
0.011532,0.112166
0.0115399,0.115259
0.0115484,0.106467
0.0115555,0.106467
0.0115639,0.103734
0.0115727,0.110863
0.0115794,0.10813
0.0115865,0.10813
0.0115953,0.103734
0.011605,0.113317
0.0116134,0.10813
0.011621,0.107617
0.0116294,0.108921
0.0116373,0.10813
0.0116453,0.110225
0.0116529,0.109712
0.0116604,0.109712
0.0116688,0.110072
0.0116764,0.105829
0.0116847,0.104525
0.0116927,0.114108
0.0117015,0.108921
0.0117078,0.113317
0.0117149,0.110225
0.0117233,0.107771
0.0117312,0.105316
0.0117396,0.103734
0.0117463,0.103734
0.0117559,0.103734
0.0117656,0.108921
0.0117735,0.103734
0.011782,0.103221
0.0117908,0.106189
0.0118012,0.105038
0.0118104,0.110863
0.0118163,0.109712
0.0118234,0.10813
0.0118322,0.106467
0.0118397,0.102944
0.0118456,0.102944
0.0118552,0.110863
0.0118635,0.108921
0.0118727,0.107617
0.011881,0.108921
0.0118894,0.113317
0.0118986,0.110225
0.0119069,0.103734
0.0119161,0.109712
0.0119245,0.103734
0.0119337,0.114108
0.0119421,0.110072
0.0119505,0.0998516
0.0119597,0.103221
0.0119676,0.114108
0.0119764,0.108921
0.0119855,0.104525
0.0119943,0.102944
0.0120018,0.108921
0.0120126,0.108921
0.0120205,0.113317
0.0120302,0.114108
0.012038,0.115259
0.0120472,0.112957
0.0120584,0.10813
0.0120676,0.114108
0.0120734,0.107771
0.0120817,0.108921
0.0120909,0.10698
0.0121,0.108921
0.0121116,0.108921
0.0121174,0.108921
0.0121275,0.103734
0.0121349,0.108921
0.0121433,0.111016
0.0121532,0.108921
0.0121636,0.108921
0.0121711,0.104885
0.0121806,0.103734
0.0121877,0.108921
0.0121969,0.108921
0.0122068,0.114108
0.0122152,0.108921
0.0122243,0.114108
0.0122343,0.10698
0.0122427,0.114899
0.0122535,0.105038
0.0122626,0.110863
0.0122693,0.110072
0.0122768,0.112957
0.0122859,0.110072
0.0122967,0.10662
0.0123058,0.105038
0.0123157,0.108921
0.012326,0.115412
0.0123335,0.118504
0.0123439,0.108921
0.012353,0.10813
0.0123609,0.108921
0.01237,0.10813
0.0123799,0.103734
0.0123882,0.108921
0.0123973,0.112804
0.0124051,0.10813
0.0124151,0.101793
0.012425,0.108921
0.0124333,0.103734
0.0124415,0.108921
0.0124522,0.114108
0.0124617,0.107771
0.0124704,0.106467
0.0124807,0.108921
0.0124894,0.10813
0.0124997,0.108921
0.0125076,0.114108
0.0125176,0.110072
0.0125284,0.112957
0.0125371,0.107771
0.0125438,0.108921
0.0125525,0.110225
0.0125612,0.114108
0.0125712,0.11684
0.012579,0.10698
0.0125873,0.108921
0.0125972,0.111376
0.0126059,0.105316
0.0126141,0.10734
0.0126252,0.108921
0.0126346,0.10813
0.0126437,0.108921
0.0126536,0.108921
0.0126631,0.108921
0.0126731,0.108921
0.012681,0.103734
0.0126905,0.103734
0.0126992,0.110863
0.0127075,0.107771
0.0127165,0.110072
0.0127299,0.114108
0.0127378,0.110072
0.0127469,0.114108
0.0127561,0.114108
0.0127656,0.110072
0.012776,0.108921
0.0127847,0.108921
0.0127947,0.107771
0.0128055,0.114108
0.0128138,0.108921
0.0128259,0.108921
0.0128346,0.109712
0.0128425,0.102944
0.0128533,0.108921
0.0128624,0.108921
0.0128732,0.114108
0.0128798,0.112804
0.0128898,0.110072
0.0128989,0.108921
0.0129075,0.108921
0.0129191,0.0993385
0.0129301,0.108921
0.01294,0.103734
0.0129491,0.113317
0.0129586,0.107771
0.0129677,0.110503
0.0129768,0.107617
0.0129872,0.114108
0.0129963,0.10662
0.0130095,0.108921
0.013017,0.108921
0.0130277,0.108921
0.0130369,0.108921
0.0130473,0.110072
0.013056,0.108921
0.0130656,0.115412
0.0130747,0.112957
0.013083,0.108921
0.0130929,0.108921
0.0131021,0.114108
0.0131108,0.105676
0.0131203,0.107771
0.0131298,0.110863
0.0131401,0.103734
0.0131517,0.109712
0.0131596,0.108921
0.0131687,0.107617
0.0131791,0.107771
0.013189,0.108921
0.0131981,0.0985477
0.0132068,0.104885
0.0132143,0.105676
0.013223,0.108921
0.0132321,0.108921
0.013242,0.103734
0.0132515,0.108921
0.0132622,0.10698
0.0132708,0.107771
0.0132811,0.108921
0.0132901,0.107617
0.0132996,0.102944
0.0133095,0.103734
0.0133194,0.110072
0.0133305,0.114108
0.0133404,0.0985477
0.0133487,0.107771
0.0133602,0.105829
0.0133697,0.102944
0.0133792,0.102944
0.0133867,0.101002
0.0133975,0.103734
0.0134066,0.102431
0.013417,0.104885
0.0134265,0.103734
0.0134356,0.103734
0.0134463,0.110072
0.0134554,0.110503
0.0134629,0.110072
0.0134753,0.107771
0.0134856,0.105038
0.0134946,0.108921
0.0135054,0.103734
0.0135141,0.103734
0.0135232,0.104525
0.0135315,0.105038
0.0135411,0.107617
0.0135502,0.108921
0.0135625,0.109434
0.0135729,0.108921
0.0135811,0.103734
0.0135902,0.106189
0.0135994,0.108921
0.0136105,0.108921
0.0136188,0.105829
0.01363,0.109712
0.0136399,0.106189
0.0136494,0.109712
0.0136592,0.103734
0.0136687,0.103734
0.013679,0.107771
0.0136901,0.112526
0.0136991,0.0985477
0.0137086,0.107771
0.0137222,0.110225
0.0137296,0.10813
0.0137408,0.108921
0.0137482,0.108921
0.0137574,0.104885
0.0137685,0.111653
0.0137776,0.103734
0.0137867,0.103734
0.0137995,0.108921
0.0138069,0.104885
0.0138172,0.105038
0.013825,0.0993385
0.013835,0.108921
0.0138441,0.104885
0.0138536,0.104525
0.0138623,0.108921
0.0138722,0.10734
0.0138805,0.108921
0.0138925,0.109712
0.0139012,0.103734
0.0139103,0.102944
0.0139195,0.0958155
0.0139286,0.102584
0.0139402,0.103734
0.0139493,0.105676
0.0139579,0.108921
0.0139679,0.113317
0.0139791,0.108921
0.0139902,0.103734
0.0139994,0.105676
0.0140076,0.103734
0.0140188,0.10128
0.0140275,0.108921
0.0140386,0.102944
0.0140472,0.104885
0.0140563,0.102431
0.0140661,0.0993385
0.014076,0.102944
0.0140862,0.104885
0.0140972,0.107617
0.0141083,0.108921
0.0141161,0.110072
0.0141292,0.10813
0.0141362,0.110863
0.0141477,0.107771
0.0141567,0.107771
0.0141646,0.105676
0.0141757,0.102584
0.0141823,0.108921
0.0141918,0.108921
0.0142025,0.103734
0.0142112,0.114108
0.0142211,0.10698
0.0142314,0.108921
0.0142409,0.0993385
0.0142524,0.101793
0.0142623,0.10698
0.0142722,0.108921
0.0142804,0.114108
0.0142899,0.114108
0.0142985,0.111376
0.0143104,0.106467
0.0143186,0.104525
0.0143285,0.108921
0.0143368,0.108921
0.0143455,0.0993385
0.0143575,0.104525
0.0143663,0.103734
0.0143746,0.104885
0.0143833,0.110863
0.0143932,0.103734
0.0144039,0.106467
0.0144122,0.103734
0.0144212,0.117713
0.0144277,0.112804
0.0144384,0.113317
0.014449,0.112804
0.0144604,0.115259
0.0144687,0.108921
0.0144752,0.105676
0.0144864,0.108921
0.0144941,0.110072
0.014504,0.100642
0.0145129,0.103734
0.0145239,0.108921
0.0145353,0.103734
0.014545,0.108921
0.0145544,0.108921
0.0145637,0.110503
0.0145744,0.111376
0.0145838,0.100489
0.0145933,0.0993385
0.0146019,0.102944
0.0146102,0.106189
0.0146196,0.10813
0.0146291,0.102584
0.0146378,0.103734
0.0146522,0.108921
0.0146591,0.104525
0.0146702,0.103734
0.0146784,0.102431
0.0146882,0.104525
0.0146973,0.10813
0.0147063,0.103734
0.0147173,0.108921
0.0147319,0.102584
0.0147432,0.102944
0.0147538,0.103734
0.0147635,0.10698
0.0147729,0.108921
0.014783,0.105038
0.0147924,0.103734
0.0147994,0.111653
0.0148118,0.114108
0.0148205,0.107771
0.0148321,0.108921
0.0148404,0.103734
0.0148486,0.108921
0.0148585,0.108921
0.0148677,0.103734
0.01488,0.103734
0.0148862,0.10813
0.0148969,0.106189
0.014906,0.104885
0.0149159,0.102584
0.0149266,0.103734
0.0149373,0.102431
0.0149469,0.103734
0.0149544,0.106467
0.0149635,0.106189
0.0149789,0.103734
0.0149931,0.108921
0.0150019,0.10698
0.0150131,0.108921
0.0150227,0.104525
0.0150311,0.108921
0.0150415,0.103734
0.0150518,0.112166
0.0150629,0.102944
0.0150724,0.108921
0.0150823,0.103734
0.0150919,0.0985477
0.015101,0.112804
0.0151084,0.106189
0.0151171,0.106467
0.0151245,0.104525
0.0151328,0.100489
0.0151443,0.10698
0.0151529,0.104525
0.015168,0.108921
0.0151738,0.102944
0.0151836,0.102584
0.0151964,0.106189
0.0152038,0.10128
0.0152137,0.0985477
0.0152277,0.103734
0.0152368,0.108921
0.0152467,0.104885
0.015255,0.102584
0.0152653,0.103734
0.0152759,0.113317
0.0152845,0.107771
0.0152968,0.104885
0.0153029,0.103734
0.0153128,0.114108
0.0153202,0.108921
0.015331,0.107617
0.0153409,0.10698
0.0153512,0.111376
0.0153602,0.108921
0.0153713,0.10813
0.0153812,0.103734
0.0153902,0.10813
0.0154,0.103734
0.0154107,0.108921
0.0154192,0.108921
0.015429,0.108921
0.0154396,0.103734
0.0154499,0.103734
