Position in z [a.u.],Voltage [V]
0.0147789,0.228216
0.014781,0.228216
0.0147848,0.227065
0.0147882,0.228216
0.0147921,0.233402
0.0147963,0.233402
0.014801,0.233402
0.0148057,0.233402
0.0148108,0.229007
0.014815,0.231821
0.014821,0.238589
0.0148273,0.23938
0.0148328,0.243776
0.0148396,0.233402
0.0148469,0.233402
0.0148541,0.229007
0.0148613,0.232252
0.0148685,0.228216
0.0148753,0.232252
0.0148829,0.23031
0.0148897,0.229366
0.0148965,0.232612
0.0149046,0.234553
0.0149118,0.233402
0.0149198,0.231821
0.0149275,0.233402
0.0149355,0.233402
0.0149436,0.228216
0.0149516,0.22533
0.0149601,0.227425
0.0149673,0.228216
0.014975,0.229007
0.0149822,0.22952
0.0149898,0.233402
0.0149962,0.23031
0.0150038,0.228216
0.0150115,0.230157
0.0150187,0.228216
0.0150263,0.228216
0.0150356,0.228216
0.015045,0.233402
0.0150539,0.233402
0.0150632,0.228216
0.0150725,0.228216
0.0150827,0.228216
0.0150933,0.231461
0.0151022,0.233402
0.0151124,0.229366
0.0151205,0.229007
0.0151298,0.233402
0.0151383,0.227065
0.0151472,0.228216
0.0151552,0.225761
0.0151637,0.233402
0.0151739,0.228216
0.0151836,0.233402
0.015193,0.231461
0.015201,0.228216
0.0152095,0.230948
0.0152184,0.228216
0.0152277,0.228216
0.0152358,0.228216
0.0152447,0.233402
0.015254,0.233402
0.0152629,0.237798
0.0152714,0.228216
0.0152799,0.228216
0.0152884,0.230517
0.0152964,0.223029
0.0153058,0.234193
0.0153142,0.233402
0.0153227,0.228216
0.0153325,0.227065
0.0153405,0.228216
0.0153499,0.229007
0.0153592,0.228216
0.0153677,0.228216
0.015377,0.229366
0.0153863,0.228216
0.0153957,0.230157
0.015405,0.232252
0.0154152,0.238589
0.0154249,0.233402
0.0154347,0.231308
0.015444,0.23067
0.0154525,0.228216
0.0154618,0.233402
0.0154711,0.231308
0.01548,0.230948
0.0154902,0.22382
0.0154995,0.238589
0.0155093,0.227065
0.0155182,0.228216
0.0155275,0.228216
0.015536,0.233402
0.0155449,0.233402
0.0155542,0.233402
0.0155635,0.228216
0.0155728,0.230948
0.0155805,0.233402
0.0155894,0.229007
0.0155979,0.233402
0.0156072,0.228216
0.0156165,0.233402
0.0156237,0.228216
0.0156322,0.22497
0.0156402,0.228216
0.01565,0.228216
0.015658,0.233402
0.0156678,0.228216
0.0156767,0.228216
0.015686,0.22952
0.0156974,0.228216
0.0157072,0.233402
0.0157169,0.233402
0.0157267,0.228216
0.0157368,0.221725
0.0157457,0.228216
0.015755,0.228216
0.0157644,0.233402
0.0157737,0.233402
0.0157834,0.233402
0.0157932,0.233402
0.0158025,0.231461
0.0158122,0.228216
0.015822,0.229007
0.0158321,0.23067
0.0158419,0.231101
0.0158512,0.228216
0.0158601,0.22497
0.0158694,0.223029
0.0158796,0.226274
0.0158889,0.223029
0.0158986,0.22382
0.0159088,0.228216
0.0159177,0.228216
0.0159279,0.228216
0.0159368,0.229007
0.0159465,0.228216
0.0159554,0.22952
0.0159651,0.228216
0.0159736,0.229007
0.0159829,0.233402
0.0159914,0.232099
0.0160016,0.233402
0.01601,0.228216
0.0160193,0.232612
0.0160287,0.228216
0.0160388,0.228216
0.016049,0.228216
0.0160579,0.232252
0.016068,0.238589
0.0160773,0.234193
0.0160875,0.228216
0.0160964,0.22533
0.0161057,0.232252
0.0161146,0.23067
0.0161243,0.228216
0.0161336,0.226912
0.0161442,0.227065
0.0161544,0.228216
0.0161633,0.223029
0.016173,0.228216
0.0161828,0.228216
0.0161929,0.233402
0.0162031,0.228216
0.0162132,0.228216
0.0162229,0.228216
0.0162344,0.230948
0.0162445,0.229007
0.0162538,0.233402
0.0162644,0.23067
0.0162741,0.232612
0.0162834,0.234193
0.0162932,0.228216
0.0163025,0.228216
0.0163114,0.232099
0.0163215,0.233402
0.0163304,0.238589
0.0163389,0.228216
0.016349,0.233402
0.0163575,0.238589
0.0163664,0.233402
0.0163765,0.235497
0.0163863,0.233402
0.0163947,0.233402
0.0164036,0.233402
0.0164125,0.228216
0.0164218,0.233402
0.0164315,0.226274
0.0164404,0.223029
0.0164497,0.228216
0.0164595,0.226274
0.0164688,0.228216
0.0164781,0.228216
0.0164878,0.228216
0.0164967,0.223029
0.0165064,0.229366
0.0165157,0.233402
0.016525,0.233402
0.0165343,0.233402
0.0165445,0.233402
0.0165538,0.233402
0.0165639,0.233402
0.0165724,0.233402
0.0165809,0.22952
0.0165902,0.233402
0.0165995,0.228216
0.0166083,0.237439
0.0166177,0.233402
0.016627,0.228216
0.0166367,0.233402
0.0166456,0.228216
0.0166549,0.228216
0.0166642,0.233402
0.0166731,0.232252
0.0166824,0.228216
0.0166925,0.22382
0.016701,0.228216
0.0167107,0.233402
0.01672,0.233402
0.0167301,0.233402
0.0167407,0.233402
0.01675,0.236135
0.0167593,0.229007
0.0167699,0.233402
0.0167791,0.228216
0.016788,0.230157
0.0167973,0.229007
0.016807,0.237798
0.0168159,0.238589
0.0168256,0.233402
0.0168341,0.228216
0.0168438,0.233402
0.016854,0.233402
0.0168628,0.233402
0.0168717,0.233402
0.0168823,0.233402
0.0168911,0.228216
0.0168996,0.233402
0.0169089,0.231461
0.0169178,0.233402
0.0169279,0.233402
0.0169376,0.232612
0.0169474,0.228216
0.0169575,0.233402
0.0169672,0.233402
0.0169765,0.232612
0.0169854,0.232612
0.0169951,0.238589
0.0170044,0.238589
0.0170129,0.236135
0.0170222,0.229366
0.0170315,0.232252
0.0170416,0.233402
0.0170505,0.236135
0.0170593,0.23067
0.0170691,0.232099
0.0170784,0.233402
0.0170889,0.233402
0.0170986,0.233402
0.0171083,0.233402
0.0171185,0.229366
0.0171286,0.22533
0.0171383,0.228216
0.0171464,0.229366
0.0171578,0.228216
0.0171696,0.233402
0.0171785,0.228216
0.0171878,0.22952
0.0171971,0.233402
0.0172064,0.233402
0.0172161,0.233402
0.0172271,0.235344
0.0172364,0.232099
0.0172461,0.233402
0.0172567,0.229797
0.017266,0.233402
0.0172757,0.235497
0.0172845,0.238589
0.0172947,0.233402
0.0173031,0.233402
0.0173137,0.233402
0.0173234,0.238589
0.0173335,0.236135
0.0173428,0.233402
0.0173525,0.238589
0.0173614,0.228216
0.0173711,0.234706
0.0173791,0.232252
0.0173893,0.232252
0.0173994,0.233402
0.0174091,0.238589
0.0174188,0.23938
0.0174285,0.234553
0.0174378,0.233402
0.0174475,0.233402
0.0174577,0.233402
0.0174678,0.235344
0.0174784,0.233402
0.0174876,0.233402
0.0174982,0.227425
0.0175075,0.232612
0.0175184,0.234193
0.017529,0.242625
0.0175391,0.237439
0.0175497,0.233402
0.0175585,0.232099
0.0175686,0.23938
0.0175783,0.233402
0.0175881,0.233402
0.0175973,0.233402
0.017607,0.223029
0.0176167,0.22952
0.0176277,0.231461
0.0176378,0.233402
0.0176484,0.233402
0.0176585,0.233402
0.0176682,0.225761
0.0176779,0.228216
0.0176885,0.230157
0.0176977,0.235857
0.0177083,0.23067
0.0177184,0.233402
0.0177289,0.233402
0.0177395,0.233402
0.0177509,0.233402
0.017761,0.238589
0.0177707,0.233402
0.0177812,0.228216
0.0177913,0.228216
0.017801,0.229366
0.0178111,0.228216
0.01782,0.228216
0.0178297,0.235344
0.0178394,0.228216
0.0178491,0.237439
0.0178588,0.231308
0.0178685,0.233402
0.0178786,0.233402
0.0178883,0.229007
0.0178976,0.234553
0.0179081,0.233402
0.0179182,0.235857
0.0179279,0.228216
0.0179389,0.233402
0.0179481,0.234193
0.0179574,0.233402
0.0179675,0.233402
0.0179777,0.228216
0.0179869,0.238589
0.0179966,0.238589
0.0180076,0.264523
0.0180173,0.373444
0.0180282,0.475237
0.0180375,0.591286
0.018048,0.6639
0.018059,0.705394
0.0180683,0.720954
0.018078,0.719804
0.0180889,0.726141
0.0180986,0.744156
0.0181091,0.777217
0.0181192,0.793568
0.0181289,0.798755
0.018139,0.815466
0.0181487,0.833912
0.0181584,0.846586
0.0181698,0.871369
0.0181795,0.881743
0.0181892,0.860996
0.0181997,0.840249
0.0182094,0.818351
0.0182191,0.809129
0.0182296,0.798755
0.0182393,0.816257
0.0182498,0.814315
0.0182599,0.824689
0.0182704,0.839098
0.018281,0.829876
0.0182915,0.850622
0.0183012,0.864241
0.0183121,0.888233
0.0183226,0.91805
0.0183319,0.912863
0.0183428,0.883684
0.0183508,0.860996
0.018361,0.849472
0.0183711,0.850622
0.0183812,0.850622
0.0183921,0.84104
0.0184018,0.851413
0.0184132,0.844132
0.0184233,0.819502
0.018433,0.786287
0.0184431,0.741701
0.0184527,0.69387
0.0184624,0.64834
0.0184717,0.591286
0.0184826,0.560166
0.0184927,0.539419
0.0185024,0.539419
0.0185133,0.539419
0.0185234,0.549793
0.018534,0.558071
0.0185436,0.575726
0.0185542,0.599565
0.0185643,0.612033
0.0185744,0.611242
0.0185836,0.61722
0.0185946,0.612033
0.0186038,0.622407
0.0186135,0.644457
0.0186236,0.64834
0.0186337,0.658714
0.0186438,0.645886
0.018653,0.627593
0.0186631,0.627593
0.0186737,0.622407
0.0186842,0.591286
0.0186955,0.565353
0.018706,0.529046
0.0187153,0.492739
0.0187254,0.477178
0.0187354,0.457582
0.0187455,0.446058
0.0187544,0.449941
0.0187645,0.446058
0.0187741,0.446058
0.0187838,0.440871
0.0187935,0.446058
0.0188027,0.446849
0.0188128,0.453699
0.0188221,0.471992
0.0188326,0.470688
0.0188414,0.466014
0.0188515,0.456432
0.0188604,0.456432
0.01887,0.46356
0.0188789,0.466805
0.0188886,0.471992
0.0188974,0.478329
0.0189062,0.474724
0.0189151,0.456432
0.0189252,0.451245
0.0189344,0.438777
0.0189437,0.436835
0.0189542,0.442813
0.0189639,0.440871
0.0189744,0.430498
0.0189841,0.422857
0.0189942,0.420124
0.0190038,0.409751
0.0190131,0.398074
0.0190228,0.381723
0.0190328,0.369408
0.0190421,0.363071
0.0190526,0.34672
0.0190627,0.337137
0.0190719,0.317541
0.019082,0.296434
0.0190925,0.290456
0.0191014,0.28527
0.0191123,0.268559
0.0191224,0.260127
0.0191321,0.257395
0.0191413,0.248963
0.0191514,0.244567
0.019161,0.24508
0.0191711,0.243776
0.0191808,0.243776
0.0191905,0.241044
0.0192005,0.23938
0.0192115,0.238589
0.0192215,0.233402
0.0192316,0.243776
0.0192417,0.241834
0.0192526,0.238589
0.0192636,0.235857
0.0192728,0.233402
0.0192825,0.234706
0.0192921,0.233402
0.0193009,0.234193
0.0193106,0.233402
0.0193211,0.233402
0.0193316,0.23974
0.0193417,0.233402
0.0193522,0.233402
0.0193622,0.233402
0.0193723,0.233402
0.0193828,0.233402
0.0193925,0.236648
0.019403,0.233402
0.0194139,0.232252
0.0194235,0.231461
0.0194336,0.228216
0.0194433,0.228216
0.0194533,0.228216
0.0194634,0.228216
0.0194752,0.226274
0.0194853,0.238589
0.0194945,0.233402
0.0195046,0.237439
0.0195147,0.23067
0.0195244,0.233402
0.0195344,0.233402
0.0195445,0.233402
0.0195546,0.228216
0.0195647,0.238589
0.0195748,0.233402
0.0195849,0.230157
0.0195949,0.228216
