Position in z [m],Voltage [V]
0.0190237,0.125486
0.0190237,0.12673
0.0190237,0.145523
0.0190241,0.153233
0.0190241,0.14205
0.0190241,0.131393
0.0190249,0.1503
0.0190249,0.148402
0.0190249,0.122348
0.0190249,0.166067
0.0190258,0.150387
0.0190258,0.149977
0.0190262,0.132016
0.0190266,0.13343
0.0190266,0.140443
0.0190275,0.144341
0.0190275,0.138852
0.0190275,0.119633
0.0190283,0.148947
0.0190283,0.135913
0.0190283,0.132543
0.0190283,0.143191
0.0190291,0.138771
0.01903,0.135995
0.01903,0.136006
0.01903,0.11808
0.0190308,0.144612
0.0190308,0.13544
0.0190308,0.128079
0.0190317,0.146293
0.0190317,0.155075
0.0190325,0.164168
0.0190325,0.142646
0.0190333,0.142542
0.0190333,0.142333
0.0190333,0.129418
0.0190338,0.137169
0.0190346,0.158273
0.019035,0.137975
0.019035,0.13355
0.0190359,0.147209
0.0190359,0.144744
0.0190363,0.139853
0.0190359,0.157237
0.0190371,0.136501
0.0190371,0.137145
0.0190376,0.134192
0.0190384,0.131296
0.0190384,0.132485
0.0190388,0.1437
0.0190388,0.153283
0.0190396,0.158829
0.0190396,0.122586
0.0190396,0.121101
0.0190401,0.160311
0.0190405,0.135799
0.0190405,0.13871
0.0190413,0.122768
0.0190413,0.143091
0.0190413,0.168436
0.0190413,0.135524
0.019043,0.121226
0.019043,0.124413
0.019043,0.149877
0.019043,0.12435
0.0190439,0.126052
0.0190439,0.124877
0.0190447,0.168493
0.0190447,0.131774
0.0190455,0.1367
0.0190455,0.121995
0.0190455,0.138456
0.0190468,0.125867
0.0190468,0.151552
0.0190472,0.130263
0.0190472,0.11528
0.0190481,0.14417
0.0190481,0.167296
0.0190493,0.145905
0.0190493,0.167809
0.0190493,0.152687
0.0190497,0.128899
0.0190506,0.132927
0.0190506,0.127947
0.0190506,0.122621
0.019051,0.14303
0.0190518,0.126173
0.0190518,0.116876
0.0190523,0.112203
0.0190531,0.153934
0.0190535,0.137659
0.0190535,0.151274
0.0190544,0.153358
0.0190544,0.139443
0.0190544,0.138741
0.0190548,0.155651
0.0190561,0.150013
0.0190561,0.126163
0.0190561,0.139293
0.0190569,0.130584
0.0190569,0.132803
0.0190569,0.130484
0.0190577,0.103734
0.0190586,0.145157
0.0190586,0.126547
0.0190586,0.144629
0.0190594,0.167902
0.0190594,0.135597
0.0190598,0.139557
0.0190603,0.153721
0.0190611,0.118924
0.0190611,0.15303
0.0190619,0.142713
0.0190619,0.1283
0.0190624,0.133648
0.0190628,0.153335
0.0190636,0.140305
0.0190636,0.143957
0.0190636,0.136066
0.019064,0.139054
0.0190649,0.14017
0.0190653,0.17533
