Position in z [m],Voltage [V]
0.019545,0.01
0.019545,0.01
0.019545,0.01
0.019545,0.01
0.019545,0.01
0.019545,0.01
0.0195458,0.01
0.0195458,0.01
0.0195462,0.01
0.0195462,0.01
0.0195466,0.01
0.0195474,0.01
0.0195474,0.01
0.0195474,0.01
0.0195482,0.01
0.0195482,0.01
0.0195482,0.01
0.0195486,0.01
0.0195495,0.01
0.0195499,0.0112317
0.0195499,0.0112317
0.0195507,0.0112317
0.0195511,0.0112317
0.0195511,0.0112317
0.0195519,0.01
0.0195519,0.01
0.0195519,0.01
0.0195523,0.01
0.0195531,0.01
0.0195531,0.01
0.0195531,0.01
0.0195547,0.01
0.0195547,0.01
0.0195547,0.01
0.0195556,0.01
0.0195556,0.01
0.0195556,0.01
0.0195563,0.01
0.0195572,0.01
0.0195572,0.01
0.0195572,0.01
0.019558,0.01
0.0195584,0.01
0.0195584,0.01
0.0195596,0.01
0.0195596,0.01
0.0195605,0.01
0.0195605,0.01
0.0195605,0.01
0.0195613,0.01
0.0195617,0.01
0.0195621,0.01
0.0195629,0.01
0.0195629,0.01
0.0195629,0.01
0.0195638,0.01
0.0195641,0.01
0.0195645,0.01
0.0195654,0.01
0.0195654,0.01
0.0195662,0.01
0.0195666,0.01
0.019567,0.01
0.0195678,0.01
0.0195678,0.01
0.0195678,0.01
0.0195686,0.01
0.019569,0.01
0.0195699,0.01
0.0195702,0.01
0.0195702,0.01
0.0195711,0.01
0.0195711,0.01
0.0195715,0.01
0.0195723,0.0112326
0.0195723,0.0112326
0.0195735,0.0112326
0.0195735,0.0112326
0.0195739,0.0112326
0.0195747,0.01
0.0195751,0.01
0.019576,0.01
0.019576,0.01
0.0195763,0.01
0.0195772,0.0103757
0.0195772,0.0103757
0.0195784,0.0103757
0.0195784,0.0103757
0.0195784,0.0103757
0.0195796,0.01
0.0195796,0.01
0.0195796,0.01
0.0195805,0.01
0.0195809,0.01
0.0195812,0.01
0.0195821,0.01
0.0195821,0.01
0.0195829,0.01
0.0195833,0.01
0.0195837,0.01
0.0195845,0.01
0.0195845,0.01
0.0195854,0.01
0.0195854,0.01
0.019587,0.01
0.019587,0.01
0.019587,0.01
0.0195878,0.01
0.0195878,0.01
0.0195886,0.01
0.0195894,0.01
0.0195894,0.01
0.0195902,0.01
0.0195902,0.01
0.0195906,0.01
0.0195915,0.01
0.0195918,0.01
0.0195927,0.01
0.0195931,0.01
0.0195939,0.01
0.0195939,0.01
0.0195939,0.01
0.0195951,0.01
0.0195955,0.01
0.0195963,0.01
0.0195963,0.01
0.0195972,0.01
0.0195976,0.01
0.019598,0.01
0.0195988,0.01
0.0195988,0.01
0.0195988,0.0103115
0.0195996,0.0103115
0.0196004,0.0103115
0.0196012,0.0103115
0.0196012,0.0103115
0.0196021,0.01
0.0196021,0.01
0.0196024,0.01
0.0196037,0.01
0.0196037,0.01
0.0196045,0.01
0.0196045,0.01
0.0196057,0.01
0.0196057,0.01
0.0196061,0.01
0.019607,0.01
0.019607,0.01
0.0196082,0.01
0.0196082,0.01
0.0196086,0.01
0.0196094,0.01
0.0196094,0.01
0.0196106,0.01
0.0196106,0.01
0.0196115,0.01
0.0196118,0.01
0.0196131,0.01
0.0196131,0.01
0.0196139,0.01
0.0196139,0.01
0.0196143,0.0115526
0.0196155,0.0115526
0.0196155,0.0115526
0.0196163,0.0115526
0.0196163,0.0115526
0.0196172,0.0115526
0.0196176,0.01
0.0196188,0.01
0.0196188,0.01
0.0196196,0.01
0.0196196,0.01
0.0196205,0.01
0.0196212,0.01
0.0196221,0.01
0.0196221,0.01
0.0196229,0.01
0.0196229,0.01
0.0196245,0.01
0.0196245,0.01
0.0196253,0.01
0.0196253,0.01
0.0196266,0.01
0.0196266,0.01
0.0196266,0.01
0.0196278,0.01
0.0196286,0.01
0.019629,0.01
0.0196298,0.01
0.0196298,0.01
0.0196311,0.01
0.0196311,0.01
0.0196319,0.01
0.0196331,0.01
0.0196331,0.01
0.019634,0.01
0.019634,0.01
0.0196352,0.01
0.0196356,0.01
0.0196364,0.01
0.0196372,0.01
0.0196372,0.01
0.0196381,0.01
0.0196381,0.01
0.0196397,0.01
0.0196405,0.01
0.0196405,0.01
0.0196414,0.01
0.0196414,0.01
0.0196426,0.01
0.019643,0.01
0.0196438,0.01
0.0196447,0.01
0.019645,0.01
0.0196459,0.01
0.0196467,0.01
0.0196471,0.01
0.0196479,0.01
0.0196488,0.01
0.0196491,0.01
0.01965,0.01
0.0196508,0.01
0.0196508,0.01
0.0196521,0.01
0.0196529,0.01
0.0196533,0.01
0.0196541,0.01
0.0196541,0.01
0.0196549,0.01
0.0196558,0.01
0.0196562,0.01
0.0196574,0.01
0.0196582,0.01
0.0196582,0.01
0.0196591,0.01
0.0196591,0.01
0.0196607,0.01
0.0196615,0.01
0.0196615,0.01
0.0196623,0.0115548
0.0196623,0.0115548
0.0196636,0.0115548
0.0196644,0.0115548
0.0196648,0.0115548
0.0196656,0.01
0.0196665,0.01
0.0196668,0.01
0.0196677,0.01
0.0196677,0.01
0.0196685,0.010101
0.0196697,0.010101
0.0196701,0.010101
0.019671,0.010101
0.019671,0.010101
0.0196718,0.01
0.0196726,0.01
0.0196734,0.01
0.0196742,0.01
0.0196742,0.01
0.0196751,0.01
0.0196759,0.01
0.0196763,0.01
0.0196771,0.01
0.0196784,0.01
0.0196784,0.01
0.0196792,0.01
0.0196796,0.01
0.0196804,0.01
0.0196816,0.01
0.0196816,0.01
0.0196825,0.0100969
0.0196837,0.0100969
0.0196837,0.0100969
0.0196845,0.0100969
0.0196849,0.01
0.0196861,0.01
0.019687,0.01
0.019687,0.01
0.0196878,0.01
0.0196887,0.01
0.0196887,0.01
0.0196903,0.01
0.0196911,0.01
0.0196911,0.01
0.0196919,0.01
0.0196928,0.01
0.0196932,0.01
0.019694,0.01
0.0196952,0.01
0.0196952,0.01
0.0196961,0.0108059
0.0196973,0.0108059
0.0196973,0.0108059
0.0196981,0.0108059
0.0196993,0.0108059
0.0197002,0.01
0.0197002,0.01
0.0197014,0.01
0.0197022,0.01
0.0197022,0.01
0.0197035,0.01
0.0197047,0.01
0.0197047,0.01
