Position in x [m],Voltage [V]
-0.0594165,0.01
-0.0594165,0.01
-0.0594165,0.01
-0.0594165,0.01
-0.0594165,0.01
-0.0594165,0.01
-0.0594165,0.0138086
-0.0594169,0.0138086
-0.0594169,0.0138086
-0.0594169,0.0138086
-0.0594169,0.0138086
-0.0594169,0.01
-0.0594169,0.01
-0.0594169,0.01
-0.0594169,0.01
-0.0594169,0.01
-0.0594169,0.01
-0.0594169,0.01
-0.0594169,0.01
-0.0594169,0.01
-0.0594169,0.01
-0.0594169,0.01
-0.0594169,0.01
-0.0594173,0.01
-0.0594173,0.01
-0.0594175,0.01
-0.0594175,0.01
-0.0594175,0.01
-0.0594175,0.01
-0.0594175,0.01
-0.0594175,0.01
-0.0594175,0.01
-0.0594175,0.011055
-0.0594175,0.011055
-0.0594179,0.011055
-0.0594179,0.011055
-0.0594181,0.011055
-0.0594181,0.01
-0.0594183,0.01
-0.0594183,0.01
-0.0594187,0.01
-0.0594187,0.01
-0.0594187,0.01
-0.0594187,0.01
-0.0594187,0.01
-0.0594189,0.01
-0.0594193,0.01
-0.0594193,0.01
-0.0594193,0.01
-0.0594193,0.01
-0.0594193,0.01
-0.0594193,0.01
-0.0594193,0.01
-0.0594195,0.01
-0.0594199,0.01
-0.0594199,0.01
-0.0594199,0.01
-0.0594199,0.01
-0.0594201,0.0106239
-0.0594201,0.0106239
-0.0594205,0.0106239
-0.0594205,0.0106239
-0.0594205,0.0106239
-0.0594205,0.0101005
-0.0594205,0.0101005
-0.0594211,0.0101005
-0.0594213,0.0101005
-0.0594213,0.0101005
-0.0594213,0.0120205
-0.0594213,0.0120205
-0.0594213,0.0120205
-0.0594213,0.0120205
-0.0594217,0.0120205
-0.0594217,0.01
-0.0594219,0.01
-0.0594221,0.01
-0.0594221,0.01
-0.0594225,0.01
-0.0594225,0.01
-0.0594225,0.01
-0.0594227,0.01
-0.0594231,0.01
-0.0594233,0.01
-0.0594233,0.01
-0.0594233,0.01
-0.0594233,0.01
-0.0594239,0.01
-0.0594239,0.01
-0.0594239,0.01
-0.0594239,0.01
-0.0594239,0.01
-0.0594241,0.01
-0.0594241,0.01
-0.0594245,0.01
-0.0594245,0.01
-0.0594247,0.01
-0.0594247,0.01
-0.0594247,0.01
-0.0594253,0.01
-0.0594253,0.01
-0.0594255,0.01
-0.0594255,0.01
-0.0594259,0.01
-0.0594259,0.01
-0.0594259,0.01
-0.0594259,0.01
-0.0594261,0.01
-0.0594267,0.01
-0.0594267,0.01
-0.0594267,0.01
-0.0594267,0.01
-0.0594267,0.01
-0.0594271,0.01
-0.0594273,0.01
-0.0594275,0.01
-0.0594275,0.01
-0.0594275,0.01
-0.0594279,0.01
-0.0594279,0.01
-0.0594281,0.01
-0.0594283,0.01
-0.0594283,0.01
-0.0594287,0.01
-0.0594287,0.01
-0.0594287,0.01
-0.0594287,0.01
-0.0594287,0.01
-0.0594293,0.01
-0.0594295,0.01
-0.0594295,0.01
-0.0594295,0.01
-0.0594299,0.01
-0.0594299,0.01
-0.0594299,0.01
-0.0594302,0.01
-0.0594303,0.01
-0.0594307,0.01
-0.0594307,0.01
-0.0594307,0.01
-0.059431,0.01
-0.059431,0.01079
-0.0594314,0.01079
-0.0594315,0.01079
-0.0594315,0.01079
-0.0594315,0.01079
-0.0594322,0.01
-0.0594322,0.01
-0.0594322,0.01
-0.0594322,0.01
-0.0594327,0.01
-0.0594327,0.01
-0.0594327,0.01
-0.059433,0.01
-0.059433,0.01
-0.0594333,0.01
-0.0594333,0.01
-0.0594333,0.01
-0.0594335,0.01
-0.0594338,0.01
-0.0594342,0.01
-0.0594342,0.01
-0.0594342,0.01
-0.0594342,0.01
-0.0594342,0.01
-0.0594346,0.01
-0.059435,0.01
-0.059435,0.01
-0.059435,0.01
-0.059435,0.01
-0.059435,0.01
-0.0594353,0.01
-0.0594356,0.01
-0.0594358,0.01
-0.0594358,0.01
-0.0594361,0.01
-0.0594361,0.01
-0.0594364,0.01
-0.0594364,0.01
-0.0594364,0.01
-0.0594369,0.01
-0.0594369,0.01
-0.0594369,0.0104083
-0.0594369,0.0104083
-0.0594372,0.0104083
-0.0594376,0.0104083
-0.0594376,0.0104083
-0.0594376,0.01
-0.0594377,0.01
-0.0594377,0.01
-0.0594381,0.01
-0.0594384,0.01
-0.0594384,0.0121126
-0.0594384,0.0121126
-0.0594384,0.0121126
-0.0594389,0.0121126
-0.0594389,0.0121126
-0.0594389,0.01
-0.0594392,0.01
-0.0594392,0.01
-0.0594392,0.01
-0.0594396,0.01
-0.0594396,0.01
-0.0594396,0.01
-0.05944,0.01
-0.0594404,0.01
-0.0594404,0.01
-0.0594404,0.01
-0.0594404,0.01
-0.0594404,0.01
-0.0594408,0.01
-0.0594412,0.01
-0.0594412,0.01
-0.0594412,0.01
-0.0594412,0.01
-0.0594416,0.01
-0.0594416,0.01
-0.0594416,0.01
-0.0594417,0.01
-0.0594424,0.01
-0.0594424,0.01
-0.0594424,0.01
-0.0594424,0.01
-0.0594424,0.01
-0.0594428,0.01
-0.0594429,0.01
-0.0594432,0.01
-0.0594432,0.01
-0.0594432,0.0108777
-0.0594436,0.0108777
-0.0594436,0.0108777
-0.0594436,0.0108777
-0.0594438,0.0108777
-0.0594444,0.01
-0.0594444,0.01
-0.0594444,0.01
-0.0594444,0.01
-0.0594444,0.01
-0.0594448,0.01
-0.059445,0.01
-0.0594452,0.01
-0.0594452,0.01
-0.0594456,0.01
-0.0594456,0.01
-0.0594456,0.01
-0.0594456,0.01
-0.059446,0.01
-0.0594464,0.01
-0.0594464,0.01
-0.0594464,0.01
-0.0594464,0.01
-0.0594467,0.01
-0.0594467,0.01
-0.0594467,0.01
-0.0594472,0.01
-0.0594472,0.01
-0.0594475,0.01
-0.0594475,0.01
-0.0594475,0.01
-0.0594478,0.01
-0.0594482,0.01
-0.0594483,0.01
-0.0594483,0.01
-0.0594483,0.01
-0.0594487,0.0130373
-0.059449,0.0130373
-0.059449,0.0130373
-0.059449,0.0130373
-0.0594491,0.0130373
-0.0594491,0.01
-0.0594495,0.01
-0.0594495,0.01
-0.0594495,0.01
-0.0594498,0.01
-0.0594503,0.01
-0.0594503,0.01
-0.0594503,0.01
-0.0594503,0.01
-0.0594507,0.01
-0.059451,0.01
-0.059451,0.01
-0.059451,0.01
-0.0594511,0.01
-0.0594515,0.01
-0.0594515,0.01
-0.0594518,0.01
-0.0594518,0.01
-0.0594518,0.01
-0.0594523,0.01
-0.0594523,0.01
-0.0594523,0.01
-0.0594523,0.01
-0.059453,0.01
-0.059453,0.01
-0.059453,0.01
-0.0594531,0.01
-0.0594531,0.01
-0.0594538,0.01
-0.0594538,0.01
-0.0594538,0.01
-0.0594538,0.01
-0.0594538,0.01
-0.0594543,0.01
-0.0594546,0.01
-0.0594546,0.01
-0.0594546,0.01
-0.059455,0.01
-0.059455,0.01
-0.0594551,0.01
-0.0594554,0.01
-0.0594558,0.01
-0.0594558,0.01
-0.0594558,0.01
-0.0594558,0.01
-0.0594562,0.01
-0.0594566,0.01
-0.0594566,0.01
-0.0594566,0.01
-0.0594566,0.01
-0.059457,0.01
-0.059457,0.01
-0.0594574,0.01
-0.0594574,0.01
-0.0594578,0.01
-0.0594578,0.01
-0.0594578,0.01
-0.0594578,0.01
-0.0594582,0.01
-0.0594586,0.01
-0.0594586,0.01
-0.0594586,0.01
-0.0594586,0.01
-0.0594588,0.01
-0.0594594,0.01
-0.0594594,0.01
-0.0594594,0.01
-0.0594594,0.01
-0.0594598,0.01
-0.05946,0.01
-0.05946,0.01
-0.05946,0.01
-0.0594602,0.01
-0.0594606,0.01
-0.0594606,0.01
-0.0594606,0.01
-0.0594608,0.01
-0.0594612,0.01
-0.0594614,0.01
-0.0594614,0.01
-0.0594614,0.01
-0.0594616,0.01
-0.059462,0.01
-0.059462,0.01
-0.0594622,0.01
-0.0594622,0.01
-0.0594622,0.01
-0.0594628,0.01
-0.0594628,0.01
-0.0594628,0.01
-0.0594628,0.01
-0.059463,0.01
-0.0594633,0.01
-0.0594636,0.01
-0.0594636,0.01
-0.0594636,0.01
-0.059464,0.01
-0.0594641,0.01
-0.0594641,0.0115524
-0.0594644,0.0115524
-0.0594644,0.0115524
-0.0594648,0.0115524
-0.0594648,0.0115524
-0.0594648,0.01
-0.0594649,0.01
-0.0594652,0.01
-0.0594656,0.01
-0.0594656,0.01
-0.0594656,0.01
-0.0594656,0.01
-0.059466,0.01
-0.0594661,0.01
-0.0594664,0.01
-0.0594664,0.01
-0.0594664,0.01
-0.0594668,0.01
-0.0594668,0.01
-0.0594668,0.01
-0.0594668,0.01
-0.0594672,0.0100928
-0.0594676,0.0100928
-0.0594676,0.0100928
-0.0594676,0.0100928
-0.0594676,0.0100928
-0.059468,0.01
-0.0594684,0.01
-0.0594684,0.01
-0.0594684,0.01
-0.0594684,0.01
-0.0594684,0.01
-0.0594684,0.01
-0.0594684,0.01
-0.0594692,0.01
-0.0594692,0.01
-0.0594692,0.01
-0.0594692,0.01
-0.0594696,0.01
-0.0594696,0.01
-0.0594698,0.01
-0.05947,0.01
-0.0594704,0.01
-0.0594704,0.01
-0.0594704,0.01
-0.0594704,0.01
-0.0594708,0.01
-0.0594708,0.01
-0.0594712,0.01
-0.0594712,0.01
-0.0594712,0.01
-0.0594716,0.01
-0.0594716,0.01
-0.0594716,0.01
-0.059472,0.01
-0.0594724,0.01
-0.0594724,0.01
-0.0594724,0.01
-0.0594724,0.01
-0.0594728,0.01
-0.059473,0.01
-0.0594732,0.01
-0.0594732,0.01
-0.0594732,0.01
-0.0594736,0.01
-0.0594736,0.01
-0.0594738,0.01
-0.059474,0.01
-0.0594744,0.01
-0.0594744,0.01
-0.0594744,0.01
-0.0594744,0.01
-0.0594747,0.01
-0.0594752,0.01
-0.0594752,0.01
-0.0594752,0.01
-0.0594755,0.01
-0.0594755,0.01
-0.0594758,0.01
-0.0594758,0.01
-0.0594763,0.01
-0.0594763,0.01
-0.0594763,0.01
-0.0594763,0.01
-0.0594767,0.01
-0.059477,0.01
-0.0594771,0.01
-0.0594771,0.01
-0.0594775,0.01
-0.0594775,0.01
-0.0594778,0.01
-0.0594778,0.01
-0.0594783,0.01
-0.0594783,0.01
-0.0594783,0.01
