Position in x [m],Voltage [V]
-0.0746125,0.02047
-0.0746125,0.02047
-0.0746125,0.02047
-0.0746125,0.0169758
-0.0746125,0.0169758
-0.0746125,0.0169758
-0.0746125,0.0169758
-0.0746124,0.0169758
-0.0746124,0.0135147
-0.0746124,0.0135147
-0.0746124,0.0135147
-0.074612,0.0135147
-0.074612,0.0135147
-0.074612,0.0229625
-0.074612,0.0229625
-0.074612,0.0229625
-0.074612,0.0229625
-0.074612,0.0229625
-0.074612,0.0415624
-0.074612,0.0415624
-0.074612,0.0415624
-0.074612,0.0415624
-0.074612,0.0415624
-0.074612,0.04
-0.0746117,0.04
-0.0746117,0.04
-0.0746117,0.04
-0.0746115,0.04
-0.0746115,0.048447
-0.0746115,0.048447
-0.0746112,0.048447
-0.0746112,0.048447
-0.0746111,0.048447
-0.0746111,0.0339545
-0.0746111,0.0339545
-0.0746111,0.0339545
-0.0746111,0.0339545
-0.0746111,0.0339545
-0.0746108,0.0203727
-0.0746108,0.0203727
-0.0746108,0.0203727
-0.0746108,0.0203727
-0.0746106,0.0203727
-0.0746106,0.0139565
-0.0746106,0.0139565
-0.0746106,0.0139565
-0.0746106,0.0139565
-0.0746103,0.0139565
-0.0746103,0.0174534
-0.0746103,0.0174534
-0.0746101,0.0174534
-0.0746101,0.0174534
-0.0746101,0.0174534
-0.0746096,0.0427011
-0.0746096,0.0427011
-0.0746096,0.0427011
-0.0746096,0.0427011
-0.0746096,0.0427011
-0.0746096,0.0444924
-0.0746093,0.0444924
-0.0746093,0.0444924
-0.0746091,0.0444924
-0.0746091,0.0444924
-0.074609,0.03
-0.074609,0.03
-0.074609,0.03
-0.074609,0.03
-0.074609,0.03
-0.0746087,0.03
-0.0746087,0.03
-0.0746087,0.03
-0.0746085,0.03
-0.0746085,0.03
-0.0746082,0.03
-0.0746082,0.03
-0.0746082,0.03
-0.0746082,0.03
-0.074608,0.03
-0.074608,0.03
-0.0746075,0.03
-0.0746075,0.03
-0.0746075,0.03
-0.0746075,0.03
-0.0746075,0.02
-0.0746075,0.02
-0.0746074,0.02
-0.074607,0.02
-0.0746069,0.02
-0.0746069,0.0188306
-0.0746069,0.0188306
-0.0746069,0.0188306
-0.0746069,0.0188306
-0.0746064,0.0188306
-0.0746064,0.0199072
-0.0746064,0.0199072
-0.0746064,0.0199072
-0.0746063,0.0199072
-0.0746058,0.0199072
-0.0746058,0.0312486
-0.0746058,0.0312486
-0.0746058,0.0312486
-0.0746058,0.0312486
-0.0746058,0.0312486
-0.0746055,0.0312369
-0.0746055,0.0312369
-0.0746053,0.0312369
-0.0746052,0.0312369
-0.0746052,0.0312369
-0.0746052,0.02
-0.0746048,0.026334
-0.0746048,0.026334
-0.0746047,0.026334
-0.0746047,0.026334
-0.0746047,0.026334
-0.0746042,0.02
-0.0746042,0.02
-0.074604,0.02
-0.074604,0.02
-0.074604,0.02
-0.074604,0.03
-0.0746037,0.03
-0.0746035,0.03
-0.0746034,0.03
-0.0746034,0.03
-0.0746034,0.0248899
-0.0746032,0.0248899
-0.0746029,0.0248899
-0.0746029,0.0248899
-0.0746029,0.0248899
-0.0746029,0.0198069
-0.0746026,0.0198069
-0.0746023,0.0198069
-0.0746023,0.0198069
-0.0746021,0.0198069
-0.0746021,0.0242052
-0.0746021,0.0242052
-0.0746017,0.0242052
-0.0746015,0.0242052
-0.0746015,0.0242052
-0.0746015,0.0328828
-0.0746012,0.0328828
-0.074601,0.0328828
-0.074601,0.0328828
-0.0746009,0.0328828
-0.0746007,0.0322269
-0.0746004,0.0322269
-0.0746004,0.0322269
-0.0746002,0.0322269
-0.0746002,0.0322269
-0.0745997,0.04
-0.0745996,0.0360681
-0.0745996,0.0360681
-0.0745994,0.0360681
-0.0745991,0.0360681
-0.0745989,0.0360681
-0.0745988,0.0281544
-0.0745988,0.0281544
-0.0745988,0.0281544
-0.0745983,0.0281544
-0.0745983,0.0281544
-0.074598,0.0198963
-0.0745977,0.0198963
-0.0745977,0.0198963
-0.0745975,0.0198963
-0.0745975,0.0198963
-0.074597,0.0317919
-0.0745969,0.0317919
-0.0745969,0.0317919
-0.0745967,0.0317919
-0.0745964,0.0317919
-0.0745964,0.05
-0.0745961,0.05
-0.0745957,0.05
-0.0745956,0.05
-0.0745956,0.05
-0.0745952,0.05
-0.0745949,0.05
-0.0745949,0.05
-0.0745948,0.05
-0.0745944,0.05
-0.0745943,0.0447932
-0.0745941,0.0447932
-0.0745938,0.0447932
-0.0745936,0.0447932
-0.0745936,0.0447932
-0.0745931,0.0406176
-0.074593,0.0406176
-0.0745925,0.0406176
-0.0745925,0.0406176
-0.0745922,0.0406176
-0.074592,0.0406176
-0.0745919,0.0354101
-0.0745914,0.0354101
-0.0745914,0.0354101
-0.0745909,0.0354101
-0.0745909,0.0354101
-0.0745903,0.025607
-0.0745903,0.025607
-0.0745899,0.025607
-0.0745898,0.025607
-0.0745893,0.025607
-0.0745891,0.0187271
-0.0745891,0.0187271
-0.0745888,0.0187271
-0.0745885,0.0187271
-0.0745882,0.0187271
-0.074588,0.0135814
-0.0745877,0.0135814
-0.0745876,0.0135814
-0.0745871,0.0135814
-0.0745871,0.0135814
-0.0745869,0.02
-0.0745866,0.02
-0.0745864,0.02
