Position in z [m],Voltage [V]
0.0183793,0.165975
0.0183793,0.171162
0.0183846,0.171162
0.0183871,0.171162
0.0183916,0.176349
0.0183945,0.171162
0.0184007,0.165975
0.0184085,0.171162
0.0184117,0.171162
0.0184121,0.176349
0.0184197,0.171162
0.018422,0.171162
0.0184282,0.155602
0.0184294,0.165975
0.018438,0.171162
0.0184411,0.171162
0.018452,0.165975
0.0184508,0.176349
0.0184537,0.171162
0.0184599,0.171162
0.0184632,0.165975
0.0184713,0.171162
0.0184798,0.171162
0.018482,0.171162
0.018485,0.176349
0.018489,0.171162
0.0184986,0.176349
0.0185001,0.165975
0.0185087,0.176349
0.0185124,0.171162
0.0185197,0.171162
0.0185229,0.176349
0.0185246,0.176349
0.0185344,0.165975
0.018538,0.171162
0.0185463,0.171162
0.0185527,0.171162
0.0185618,0.171162
0.0185661,0.165975
0.0185724,0.176349
0.0185776,0.165975
0.0185877,0.176349
0.0185877,0.171162
0.0186008,0.176349
0.0186016,0.176349
0.0186172,0.171162
0.0186184,0.171162
0.0186325,0.176349
0.018633,0.165975
0.0186513,0.171162
0.0186508,0.171162
0.0186659,0.171162
0.0186663,0.176349
0.0186794,0.171162
0.018681,0.171162
0.0186933,0.165975
0.0187067,0.171162
0.0187095,0.165975
0.0187259,0.171162
0.0187276,0.155602
0.0187379,0.176349
0.018743,0.171162
0.0187556,0.171162
0.0187576,0.165975
0.0187619,0.165975
0.0187755,0.181535
0.0187799,0.171162
0.0187894,0.165975
0.0187995,0.165975
0.0188117,0.176349
0.0188137,0.176349
0.0188251,0.171162
0.0188259,0.171162
0.0188402,0.171162
0.0188435,0.171162
0.0188586,0.171162
0.0188619,0.171162
0.0188795,0.171162
0.0188877,0.176349
0.0188893,0.171162
0.0188962,0.165975
0.0188983,0.165975
0.0189147,0.176349
0.0189291,0.171162
0.0189417,0.165975
0.0189413,0.171162
0.0189515,0.176349
0.0189531,0.171162
0.0189663,0.176349
0.0189761,0.171162
0.0189785,0.171162
0.0189926,0.165975
0.0190055,0.176349
0.0190098,0.171162
0.0190243,0.171162
0.0190256,0.165975
0.0190395,0.171162
0.0190471,0.165975
0.0190491,0.155602
0.019067,0.165975
0.0190695,0.165975
0.0190802,0.165975
0.0190831,0.165975
0.0191019,0.171162
0.0191122,0.171162
0.0191155,0.171162
0.0191247,0.171162
0.0191364,0.165975
0.0191372,0.155602
0.0191591,0.165975
0.0191599,0.165975
0.019164,0.165975
0.019179,0.171162
0.0191802,0.171162
0.019197,0.165975
0.0192015,0.165975
0.0192198,0.165975
0.0192244,0.171162
0.0192256,0.171162
0.0192391,0.171162
0.0192415,0.165975
0.0192637,0.171162
0.019269,0.176349
0.0192707,0.171162
0.0192886,0.171162
0.0192989,0.176349
0.0193026,0.171162
0.0193199,0.171162
0.0193247,0.165975
0.0193259,0.171162
0.01935,0.171162
0.0193517,0.171162
0.0193567,0.171162
0.0193779,0.176349
0.0193808,0.171162
0.0193833,0.171162
0.0193862,0.176349
0.0194066,0.176349
0.0194099,0.176349
0.0194356,0.171162
0.0194484,0.181535
0.0194496,0.176349
0.0194556,0.176349
0.0194606,0.171162
0.0194752,0.171162
0.0194764,0.171162
0.0194843,0.171162
0.0195005,0.171162
0.0195021,0.171162
0.0195207,0.176349
0.0195279,0.171162
0.0195307,0.176349
0.0195512,0.165975
0.019552,0.171162
0.0195639,0.171162
0.0195812,0.176349
0.0195829,0.171162
0.0195911,0.171162
0.0196053,0.171162
0.019606,0.171162
0.0196205,0.155602
0.0196213,0.165975
0.0196349,0.165975
0.0196373,0.171162
0.0196515,0.176349
0.0196684,0.171162
0.0196717,0.171162
0.0196857,0.171162
0.0196877,0.176349
0.0197032,0.171162
0.0197224,0.171162
0.0197224,0.181535
0.019731,0.171162
0.0197331,0.176349
0.0197523,0.171162
0.0197704,0.171162
0.0197712,0.176349
0.0197757,0.171162
0.019779,0.171162
0.0197994,0.181535
0.019808,0.171162
0.0198109,0.171162
0.0198308,0.171162
0.0198329,0.165975
0.0198366,0.171162
0.0198616,0.176349
0.0198644,0.171162
0.0198698,0.165975
0.0198719,0.155602
0.0198995,0.165975
0.0199016,0.165975
0.0199041,0.165975
0.0199306,0.165975
0.019933,0.165975
0.0199351,0.176349
0.0199375,0.176349
0.0199669,0.171162
0.0199697,0.165975
0.0199689,0.171162
0.0199726,0.171162
0.0199771,0.171162
0.0199918,0.171162
0.0200045,0.176349
0.0200114,0.176349
0.0200216,0.176349
0.020031,0.176349
0.0200376,0.176349
0.0200502,0.176349
0.0200597,0.176349
0.020067,0.171162
0.0200768,0.171162
0.020089,0.171162
0.0201029,0.165975
0.0201119,0.176349
0.0201189,0.171162
0.0201258,0.176349
0.0201352,0.171162
0.0201434,0.176349
0.0201532,0.171162
0.020163,0.171162
0.0201707,0.176349
0.020183,0.176349
0.0201912,0.171162
0.0202046,0.171162
0.0202148,0.171162
0.0202267,0.171162
0.0202402,0.176349
0.0202484,0.165975
0.0202558,0.171162
0.0202651,0.171162
0.0202737,0.165975
0.0202831,0.171162
0.0202949,0.171162
0.0203043,0.171162
0.0203128,0.171162
0.0203206,0.165975
0.0203295,0.165975
0.0203409,0.165975
0.0203522,0.176349
0.0203611,0.176349
0.0203732,0.181535
0.0203849,0.176349
0.0203995,0.171162
0.0204077,0.171162
0.0204159,0.171162
0.0204233,0.176349
0.0204336,0.176349
0.0204401,0.181535
0.0204479,0.176349
0.0204569,0.176349
0.0204662,0.171162
0.0204777,0.171162
0.0204862,0.176349
0.0204981,0.181535
0.0205067,0.176349
0.0205164,0.176349
0.0205258,0.176349
0.0205368,0.171162
0.0205474,0.176349
0.0205567,0.176349
0.0205665,0.176349
0.020573,0.176349
0.0205844,0.176349
0.0205962,0.176349
0.0206047,0.171162
0.0206165,0.171162
0.0206246,0.176349
0.0206312,0.171162
0.020641,0.171162
0.0206495,0.171162
0.0206601,0.176349
0.020669,0.176349
0.02068,0.176349
0.0206889,0.171162
0.0206999,0.171162
0.0207158,0.181535
0.0207399,0.181535
0.0207412,0.171162
0.0207611,0.171162
0.0207692,0.176349
0.0207712,0.176349
0.0207842,0.176349
0.020787,0.176349
0.0207943,0.171162
0.0208089,0.176349
0.0208157,0.171162
0.0208242,0.176349
0.0208373,0.171162
0.0208426,0.171162
0.0208567,0.171162
0.0208703,0.176349
0.0208753,0.181535
0.0208855,0.176349
0.0208896,0.176349
0.0209048,0.181535
0.0209177,0.181535
0.0209222,0.171162
0.0209389,0.181535
0.0209443,0.176349
0.0209534,0.176349
0.0209571,0.176349
0.0209776,0.176349
0.0209897,0.186722
0.0209938,0.181535
0.0210038,0.181535
0.0210143,0.181535
0.0210171,0.181535
0.0210343,0.176349
0.0210464,0.176349
0.0210508,0.176349
0.0210644,0.176349
0.0210774,0.181535
0.021081,0.181535
0.0210967,0.176349
0.0211048,0.181535
0.0211249,0.176349
0.0211285,0.176349
0.0211416,0.176349
0.0211469,0.176349
0.0211545,0.186722
0.0211574,0.186722
0.021175,0.191909
0.0211803,0.186722
0.0211915,0.176349
0.0212062,0.176349
0.0212139,0.176349
0.0212171,0.176349
0.0212319,0.181535
0.021242,0.176349
0.0212455,0.181535
0.0212616,0.181535
0.0212697,0.176349
0.0212858,0.176349
0.0212904,0.176349
0.021294,0.181535
0.0213144,0.176349
0.0213214,0.181535
0.0213345,0.181535
0.0213439,0.181535
0.0213534,0.181535
0.0213635,0.181535
0.0213755,0.181535
0.021385,0.171162
0.0213941,0.181535
0.0214035,0.176349
0.0214113,0.176349
0.0214173,0.181535
0.0214292,0.181535
0.0214352,0.176349
0.0214471,0.176349
0.0214528,0.181535
0.021468,0.181535
0.0214728,0.176349
0.021486,0.176349
0.0214912,0.181535
0.0215037,0.181535
0.0215194,0.181535
0.0215245,0.171162
0.0215373,0.181535
0.0215395,0.181535
0.0215428,0.176349
0.0215498,0.181535
0.0215643,0.181535
0.0215724,0.176349
0.0215854,0.181535
0.0215972,0.176349
0.0216078,0.181535
0.0216122,0.181535
0.021618,0.176349
0.0216249,0.176349
0.0216408,0.181535
0.0216469,0.176349
0.0216526,0.176349
0.0216705,0.176349
0.0216769,0.176349
0.0216827,0.181535
0.0216917,0.181535
0.0217014,0.176349
0.02171,0.181535
0.0217194,0.181535
0.0217295,0.171162
0.0217373,0.176349
0.0217503,0.181535
0.0217609,0.181535
0.0217699,0.176349
0.0217805,0.176349
0.021789,0.171162
0.0217964,0.171162
0.0218074,0.176349
0.0218143,0.176349
0.0218257,0.171162
0.0218359,0.171162
0.0218448,0.176349
0.0218542,0.176349
0.0218636,0.176349
0.0218734,0.176349
0.0218837,0.181535
0.0218927,0.176349
0.0219022,0.176349
0.021912,0.176349
0.0219239,0.181535
0.0219337,0.181535
0.0219418,0.186722
0.0219484,0.176349
0.0219566,0.181535
0.0219672,0.181535
0.0219783,0.176349
0.0219901,0.176349
0.0220007,0.176349
0.0220097,0.186722
0.0220191,0.181535
0.0220289,0.176349
0.0220355,0.176349
0.0220514,0.176349
0.0220575,0.176349
0.0220669,0.181535
0.022073,0.176349
0.0220868,0.176349
0.0220961,0.176349
0.022103,0.171162
0.0221095,0.171162
0.0221172,0.171162
0.0221273,0.176349
0.022135,0.165975
0.0221451,0.171162
0.0221532,0.171162
0.0221649,0.171162
0.0221747,0.165975
0.0221845,0.171162
0.0221948,0.171162
0.022208,0.171162
0.0222166,0.176349
0.0222281,0.176349
0.0222375,0.171162
0.0222461,0.171162
0.0222572,0.165975
0.0222674,0.165975
0.022276,0.171162
0.0222861,0.171162
0.0222971,0.171162
0.0223064,0.165975
0.0223149,0.171162
0.0223231,0.165975
0.0223304,0.165975
0.0223402,0.176349
0.0223495,0.181535
0.0223605,0.176349
0.022371,0.171162
0.0223807,0.176349
0.0223921,0.171162
0.0224047,0.176349
0.0224136,0.176349
0.0224221,0.181535
0.022436,0.191909
0.0224449,0.212656
0.0224534,0.26971
0.0224632,0.497925
0.0224733,0.643154
0.0224842,0.643154
0.0224951,0.61722
0.0225108,0.762448
0.0225193,0.762448
0.0225262,0.715768
0.0225356,0.6639
0.0225445,0.63278
0.0225526,0.612033
0.0225615,0.596473
0.0225736,0.5861
0.0225849,0.575726
0.022595,0.565353
0.0226023,0.560166
0.0226129,0.549793
0.0226231,0.544606
0.0226316,0.544606
0.0226422,0.529046
0.0226536,0.513485
0.0226626,0.508299
0.022674,0.497925
0.0226829,0.492739
0.0226915,0.466805
0.0226983,0.456432
0.0227085,0.451245
0.0227183,0.435685
0.0227295,0.420124
0.0227433,0.409751
0.022757,0.383817
0.0227671,0.368257
0.0227739,0.363071
0.0227886,0.337137
0.0227955,0.326763
0.0228032,0.31639
0.0228153,0.295643
0.022823,0.28527
0.0228416,0.264523
0.0228481,0.259336
0.0228557,0.248963
0.022861,0.243776
0.0228691,0.233402
0.0228797,0.233402
0.022889,0.223029
0.0229015,0.223029
0.0229125,0.223029
0.0229226,0.217842
0.022932,0.212656
0.0229422,0.217842
0.0229515,0.212656
0.022958,0.207469
0.0229661,0.202282
0.022973,0.197095
0.0229823,0.197095
0.0229945,0.197095
0.0230034,0.197095
0.023016,0.191909
0.0230274,0.197095
0.0230351,0.186722
0.0230457,0.186722
0.0230551,0.186722
0.0230624,0.186722
0.0230714,0.186722
0.0230816,0.191909
0.0230909,0.186722
0.0231003,0.191909
0.0231084,0.186722
0.0231164,0.191909
0.0231282,0.191909
0.0231375,0.191909
0.0231476,0.191909
0.0231589,0.202282
0.0231683,0.233402
0.0231793,0.254149
0.0231898,0.295643
0.0232033,0.337137
0.0232135,0.352697
0.0232204,0.326763
0.0232302,0.30083
0.0232375,0.274896
0.0232489,0.259336
0.0232599,0.243776
0.0232722,0.238589
0.0232811,0.223029
0.0232873,0.223029
0.0233045,0.212656
0.0233107,0.202282
0.0233238,0.191909
0.0233311,0.191909
0.0233372,0.186722
0.0233495,0.186722
0.0233597,0.181535
0.023367,0.176349
0.0233772,0.181535
0.0233854,0.176349
0.0233926,0.171162
0.023402,0.171162
0.0234118,0.176349
0.0234204,0.176349
0.023433,0.181535
0.0234428,0.176349
0.0234521,0.176349
0.0234598,0.171162
0.0234716,0.176349
0.0234797,0.176349
0.0234914,0.176349
0.0235024,0.176349
0.0235117,0.176349
0.0235221,0.171162
0.0235323,0.176349
0.0235408,0.171162
0.0235517,0.171162
0.0235614,0.171162
0.0235719,0.171162
0.0235821,0.165975
0.023591,0.171162
0.0235987,0.176349
0.0236081,0.176349
0.0236181,0.171162
0.0236291,0.176349
0.0236417,0.171162
0.0236495,0.176349
0.0236609,0.165975
0.023671,0.171162
0.0236829,0.165975
0.0236906,0.171162
0.0237044,0.171162
0.0237149,0.176349
0.0237215,0.176349
0.0237366,0.176349
0.0237447,0.176349
0.0237607,0.176349
0.0237689,0.171162
0.0237755,0.176349
0.0237829,0.171162
0.0237923,0.171162
0.0238013,0.171162
0.0238102,0.171162
0.0238223,0.171162
0.0238343,0.171162
0.0238435,0.171162
0.023854,0.171162
0.0238657,0.171162
0.0238763,0.171162
0.023884,0.171162
0.0238921,0.171162
0.0239006,0.171162
0.0239115,0.171162
0.0239241,0.171162
0.0239366,0.171162
0.0239434,0.165975
0.0239536,0.176349
0.0239618,0.176349
0.0239695,0.171162
0.0239934,0.171162
0.0240011,0.171162
0.0240039,0.165975
0.0240135,0.171162
0.0240212,0.165975
0.0240302,0.176349
0.0240411,0.176349
0.0240525,0.176349
0.0240602,0.171162
0.0240691,0.171162
0.0240804,0.171162
0.0240926,0.171162
0.0241023,0.171162
0.0241129,0.171162
0.0241219,0.171162
0.0241422,0.165975
0.0241467,0.176349
0.0241536,0.171162
0.0241682,0.176349
0.02418,0.171162
0.0241869,0.171162
0.0241951,0.176349
0.0242036,0.171162
0.0242125,0.176349
0.024221,0.176349
0.0242308,0.176349
0.0242401,0.171162
0.0242492,0.176349
0.024261,0.176349
0.0242712,0.171162
0.0242789,0.176349
0.0242899,0.165975
0.0243013,0.176349
0.0243135,0.176349
0.0243228,0.176349
0.0243326,0.171162
0.0243416,0.176349
0.0243518,0.176349
0.0243627,0.171162
0.0243705,0.176349
0.024384,0.171162
0.0243922,0.176349
0.0243991,0.176349
0.0244125,0.171162
0.0244236,0.176349
0.0244325,0.176349
0.0244399,0.171162
0.0244476,0.176349
0.0244581,0.176349
0.0244687,0.181535
0.0244769,0.181535
0.0244878,0.176349
0.0244987,0.165975
0.024508,0.171162
0.0245169,0.171162
0.0245275,0.176349
0.024538,0.181535
0.024547,0.176349
0.024556,0.171162
0.0245682,0.176349
0.0245791,0.176349
0.0245885,0.176349
0.0245994,0.176349
0.0246108,0.171162
0.0246205,0.171162
0.0246327,0.171162
0.0246433,0.165975
0.0246534,0.171162
0.0246647,0.171162
0.0246732,0.176349
0.0246826,0.176349
0.0246923,0.165975
0.0247028,0.176349
0.024712,0.176349
0.0247213,0.165975
0.0247355,0.176349
0.0247541,0.176349
0.0247569,0.181535
0.024767,0.171162
0.0247731,0.171162
0.0247911,0.165975
0.0247991,0.176349
0.0248048,0.171162
0.0248145,0.171162
0.0248262,0.176349
0.0248351,0.176349
0.0248444,0.165975
0.0248533,0.165975
0.0248647,0.176349
0.0248752,0.171162
0.0248882,0.165975
0.0248964,0.171162
0.0249049,0.165975
0.0249147,0.171162
0.024924,0.171162
0.0249346,0.176349
0.0249451,0.176349
0.0249625,0.165975
0.0249735,0.171162
0.0249796,0.165975
0.0249897,0.171162
0.0249982,0.171162
0.0250076,0.171162
0.0250165,0.176349
0.0250262,0.181535
0.0250367,0.176349
0.0250464,0.171162
0.0250582,0.171162
0.0250708,0.171162
0.0250784,0.171162
0.025089,0.171162
0.0250975,0.171162
0.0251117,0.171162
0.0251214,0.171162
0.0251331,0.171162
0.0251428,0.176349
0.0251537,0.176349
0.0251601,0.171162
0.0251666,0.171162
0.0251751,0.171162
0.0251852,0.176349
0.0251953,0.176349
0.0252144,0.171162
0.02522,0.171162
0.0252261,0.165975
0.0252399,0.171162
0.0252479,0.165975
0.0252576,0.165975
0.0252674,0.171162
0.0252762,0.171162
0.0252871,0.171162
0.0252944,0.176349
0.0253081,0.176349
0.0253161,0.171162
0.0253251,0.171162
0.0253343,0.176349
0.025346,0.171162
0.0253573,0.165975
0.0253724,0.176349
0.0253769,0.176349
0.0253874,0.171162
0.0253972,0.171162
0.0254061,0.176349
0.0254138,0.171162
0.0254252,0.171162
0.0254357,0.165975
0.0254487,0.171162
0.0254572,0.171162
0.0254697,0.171162
0.0254794,0.171162
0.0254888,0.171162
0.0255,0.171162
0.0255082,0.176349
0.0255166,0.165975
0.0255267,0.165975
0.0255361,0.171162
0.025549,0.171162
0.0255567,0.171162
0.0255672,0.176349
0.0255794,0.176349
0.0255887,0.171162
0.0255973,0.171162
0.0256095,0.155602
0.025618,0.165975
0.0256269,0.165975
0.0256375,0.165975
0.0256484,0.171162
0.0256683,0.165975
0.0256772,0.171162
0.0256866,0.176349
0.0256931,0.176349
0.0257048,0.176349
0.0257125,0.171162
0.0257202,0.176349
0.0257287,0.171162
0.0257395,0.165975
0.0257496,0.165975
0.025763,0.176349
0.0257699,0.176349
0.02578,0.176349
0.0257893,0.171162
0.0258043,0.165975
0.0258121,0.165975
0.0258198,0.171162
0.0258315,0.165975
0.0258425,0.176349
0.0258591,0.171162
0.0258643,0.171162
0.0258703,0.176349
0.0258841,0.171162
0.0258934,0.165975
0.0258995,0.176349
0.0259137,0.171162
0.0259206,0.165975
0.0259279,0.171162
0.0259546,0.176349
0.02596,0.176349
0.0259645,0.171162
0.0259739,0.171162
0.0259836,0.171162
0.025992,0.171162
0.0260021,0.171162
0.0260098,0.171162
0.0260195,0.176349
0.0260332,0.176349
0.0260462,0.171162
0.0260539,0.171162
0.0260637,0.165975
0.0260743,0.171162
0.0260857,0.165975
0.0260946,0.165975
0.0261048,0.171162
0.0261211,0.171162
0.0261296,0.171162
0.026141,0.165975
0.0261508,0.171162
0.0261601,0.171162
0.0261666,0.171162
0.0261751,0.165975
0.026184,0.165975
0.0261937,0.171162
0.026203,0.165975
0.0262244,0.176349
0.0262318,0.171162
0.0262403,0.171162
0.0262484,0.171162
