Position in z [m],Voltage [V]
0.0284346,0.243776
0.0284354,0.243776
0.0284361,0.248963
0.0284361,0.238589
0.0284369,0.243776
0.0284377,0.238589
0.0284377,0.243776
0.0284384,0.238589
0.0284392,0.238589
0.0284392,0.238589
0.02844,0.243776
0.0284408,0.243776
0.0284408,0.233402
0.0284415,0.243776
0.0284423,0.243776
0.0284423,0.243776
0.0284431,0.243776
0.0284431,0.243776
0.0284439,0.238589
0.0284446,0.238589
0.0284446,0.243776
0.0284454,0.238589
0.0284462,0.238589
0.0284462,0.233402
0.0284469,0.238589
0.0284477,0.233402
0.0284486,0.243776
0.0284489,0.248963
0.0284489,0.243776
0.0284497,0.243776
0.0284501,0.233402
0.0284509,0.238589
0.0284517,0.233402
0.0284517,0.243776
0.0284524,0.238589
0.0284524,0.238589
0.0284532,0.233402
0.0284532,0.233402
0.028454,0.238589
0.028454,0.238589
0.0284548,0.238589
0.0284548,0.243776
0.0284555,0.243776
0.0284555,0.238589
0.0284563,0.248963
0.0284563,0.243776
0.0284571,0.233402
0.0284571,0.238589
0.0284571,0.238589
0.0284578,0.243776
0.0284578,0.233402
0.0284578,0.243776
0.0284586,0.243776
0.0284586,0.243776
0.0284594,0.238589
0.0284594,0.248963
0.0284594,0.238589
0.0284594,0.238589
0.0284602,0.233402
0.0284602,0.238589
0.0284602,0.238589
0.0284602,0.238589
0.0284609,0.243776
0.0284609,0.238589
0.0284609,0.243776
0.0284617,0.243776
0.0284617,0.243776
0.0284617,0.243776
0.0284625,0.248963
0.0284625,0.243776
0.0284625,0.243776
0.0284625,0.238589
0.0284633,0.243776
0.0284633,0.243776
0.0284633,0.248963
0.028464,0.243776
0.028464,0.238589
0.0284648,0.243776
0.0284648,0.238589
0.0284648,0.243776
0.0284656,0.243776
0.0284656,0.243776
0.0284663,0.238589
0.0284663,0.238589
0.0284663,0.243776
0.0284671,0.233402
0.0284671,0.233402
0.0284679,0.238589
0.0284679,0.238589
0.0284687,0.243776
0.0284687,0.238589
0.0284694,0.238589
0.0284694,0.238589
0.0284702,0.243776
0.0284702,0.238589
0.028471,0.238589
0.028471,0.238589
0.028471,0.238589
0.0284718,0.238589
0.0284718,0.233402
0.0284725,0.233402
0.0284733,0.238589
0.0284733,0.243776
0.0284741,0.238589
0.0284745,0.233402
0.0284753,0.238589
0.028476,0.238589
0.028476,0.243776
0.0284768,0.233402
0.0284776,0.238589
0.0284776,0.238589
0.0284784,0.238589
0.0284791,0.238589
0.0284791,0.233402
0.0284799,0.238589
0.0284807,0.238589
0.0284815,0.238589
0.0284822,0.233402
0.028483,0.243776
0.0284838,0.243776
0.0284838,0.233402
0.0284845,0.238589
0.0284853,0.238589
0.0284861,0.243776
0.0284873,0.243776
0.0284881,0.233402
0.0284881,0.238589
0.0284888,0.238589
0.0284896,0.238589
0.0284904,0.248963
0.0284912,0.243776
0.0284919,0.233402
0.0284927,0.238589
0.0284935,0.233402
0.0284935,0.238589
0.0284942,0.238589
0.028495,0.233402
0.0284958,0.238589
0.0284966,0.238589
0.0284973,0.233402
0.0284981,0.238589
0.0284989,0.238589
0.0284997,0.238589
0.0285004,0.238589
0.0285004,0.248963
0.0285012,0.248963
0.028502,0.243776
0.0285027,0.243776
0.0285027,0.238589
0.0285035,0.238589
0.0285035,0.238589
0.0285035,0.238589
0.0285043,0.243776
0.0285051,0.238589
0.0285051,0.243776
0.0285058,0.233402
0.0285063,0.233402
0.028507,0.238589
0.0285078,0.238589
0.0285078,0.248963
0.0285086,0.248963
0.0285086,0.238589
0.0285093,0.238589
0.0285093,0.238589
0.0285101,0.238589
0.0285101,0.238589
0.0285105,0.233402
0.0285113,0.238589
0.0285113,0.243776
0.0285121,0.233402
0.0285121,0.238589
0.0285121,0.248963
0.0285129,0.233402
0.0285129,0.233402
0.0285136,0.243776
0.0285136,0.233402
0.0285136,0.238589
0.0285152,0.243776
0.0285152,0.238589
0.028516,0.238589
0.0285167,0.238589
0.0285175,0.238589
0.0285175,0.233402
0.0285183,0.243776
0.0285183,0.243776
0.028519,0.243776
0.0285198,0.243776
0.0285198,0.243776
0.0285206,0.238589
0.0285214,0.238589
0.0285214,0.238589
0.0285214,0.238589
0.0285221,0.248963
0.0285229,0.243776
0.0285237,0.233402
0.0285237,0.233402
