Position in z [m],Voltage [V]
0.0321432,0
0.0321432,0
0.0321432,0
0.0321432,0
0.0321432,0
0.0321424,0
0.0321424,0
0.0321424,0
0.0321424,0
0.0321424,0
0.0321424,0
0.0321413,0
0.0321413,0
0.0321413,0
0.0321401,0
0.0321401,0
0.0321401,0
0.0321401,0
0.0321393,0
0.0321393,0
0.0321393,0
0.0321386,0
0.0321382,0
0.0321378,0
0.0321378,0
0.032137,0
0.032137,0
0.032137,0
0.0321358,0
0.0321358,0
0.0321358,0
0.0321354,0
0.0321347,0
0.0321347,0
0.0321342,0
0.0321342,0
0.0321331,0
0.0321331,0
0.0321331,0
0.0321327,0
0.0321315,0
0.0321315,0
0.0321315,0
0.0321307,0
0.0321303,0
0.0321303,0
0.0321296,0
0.0321292,0
0.0321292,0
0.0321284,0
0.032128,0
0.032128,0
0.0321276,0
0.0321268,0
0.0321268,0
0.0321264,0
0.0321256,0
0.0321252,0
0.0321252,0
0.0321248,0
0.0321241,0
0.0321241,0
0.0321236,0
0.0321229,0
0.0321225,0
0.0321225,0
0.0321217,0
0.0321217,0
0.0321213,0
0.0321201,0
0.0321201,0
0.0321201,0
0.032119,0
0.032119,0
0.0321185,0
0.0321178,0
0.0321178,0
0.0321174,0
0.0321166,0
0.0321162,0
0.0321162,0
0.0321155,0
0.0321155,0
0.032115,0
0.0321139,0
0.0321139,0
0.0321139,0
0.0321139,0
0.0321123,0
0.0321123,0
0.0321123,0
0.0321115,0
0.0321111,0
0.0321107,0
0.0321099,0
0.0321099,0
0.0321095,0
0.0321088,0
0.0321084,0
0.0321084,0
0.0321076,0
0.0321076,0
0.0321072,0
0.032106,0
0.032106,0
0.032106,0
0.0321053,0
0.0321044,0
0.0321044,0
0.0321037,0
0.0321037,0
0.0321028,0
0.0321021,0
0.0321021,0
0.0321021,0
0.0321009,0
0.0321005,0
0.0321005,0
0.0320998,0
0.0320998,0
0.0320989,0
0.0320982,0
0.0320982,0
0.0320982,0
0.0320966,0
0.0320966,0
0.0320966,0
0.0320958,0
0.0320954,0
0.032095,0
0.0320942,0
0.0320942,0
0.0320942,0
0.0320927,0
0.0320927,0
0.0320927,0
0.0320919,0
0.0320915,0
0.0320903,0
0.0320903,0
0.0320903,0
0.0320891,0
0.0320887,0
0.0320887,0
0.032088,0
0.0320876,0
0.0320871,0
0.0320864,0
0.0320864,0
0.0320864,0
0.0320848,0
0.0320848,0
0.0320848,0
0.0320836,0
0.0320832,0
0.0320832,0
0.0320825,0
0.0320825,0
0.0320813,0
0.0320809,0
0.0320809,0
0.0320801,0
0.0320801,0
0.0320785,0
0.0320785,0
0.0320785,0
0.0320778,0
0.032077,0
0.032077,0
0.0320762,0
0.0320758,0
0.0320754,0
0.0320746,0
0.0320746,0
0.0320742,0
0.032073,0
0.032073,0
0.032073,0
0.0320719,0
0.0320719,0
0.0320714,0
0.0320707,0
0.0320703,0
0.0320695,0
0.0320691,0
0.0320691,0
0.0320679,0
0.0320679,0
0.0320668,0
0.0320668,0
0.0320663,0
0.0320656,0
0.0320656,0
0.0320652,0
0.032064,0
0.032064,0
0.032064,0
0.0320628,0
0.0320624,0
0.0320617,0
0.0320617,0
0.0320612,0
0.0320601,0
0.0320601,0
0.0320601,0
0.0320589,0
0.0320585,0
0.0320577,0
0.0320577,0
0.0320573,0
0.0320562,0
0.0320562,0
0.0320554,0
0.0320554,0
0.0320546,0
0.0320538,0
0.0320538,0
0.0320538,0
0.0320522,0
0.0320522,0
0.0320515,0
0.0320515,0
0.0320506,0
0.0320499,0
0.0320499,0
0.0320499,0
0.0320483,0
0.0320483,0
0.0320483,0
0.0320476,0
0.0320467,0
0.032046,0
0.032046,0
0.032046,0
0.0320452,0
0.0320444,0
0.0320436,0
0.0320436,0
0.0320436,0
0.0320425,0
0.032042,0
0.032042,0
0.0320409,0
0.0320405,0
0.0320405,0
0.0320397,0
0.0320393,0
0.0320389,0
0.0320381,0
0.0320381,0
0.032037,0
0.0320365,0
0.0320365,0
0.0320358,0
0.0320354,0
0.0320342,0
0.0320342,0
0.0320338,0
0.032033,0
0.032033,0
0.0320319,0
0.0320314,0
0.0320314,0
0.0320307,0
0.0320303,0
0.0320291,0
0.0320291,0
0.0320287,0
0.0320275,0
0.0320275,0
0.0320268,0
0.0320263,0
0.0320259,0
0.0320252,0
0.0320252,0
0.032024,0
0.0320236,0
0.0320228,0
0.0320228,0
0.0320217,0
0.0320212,0
0.0320212,0
0.0320205,0
0.0320201,0
0.0320189,0
0.0320189,0
0.0320182,0
0.0320173,0
0.0320166,0
0.0320166,0
0.0320154,0
0.032015,0
0.0320142,0
0.0320142,0
0.0320131,0
0.0320131,0
0.0320119,0
0.0320119,0
0.0320107,0
0.0320107,0
0.0320096,0
0.0320088,0
0.0320084,0
0.0320076,0
0.0320072,0
0.0320065,0
0.0320053,0
0.0320053,0
0.0320041,0
0.0320037,0
0.032003,0
0.032003,0
0.0320022,0
0.0320006,0
0.0320006,0
0.0319999,0
0.0319999,0
0.0319983,0
0.0319976,0
0.0319976,0
0.0319968,0
0.0319964,0
0.0319952,0
0.0319945,0
0.0319945,0
0.0319933,0
0.0319933,0
0.0319921,0
0.0319914,0
0.031991,0
0.0319902,0
0.0319898,0
0.0319886,0
0.0319879,0
0.0319879,0
0.0319867,0
0.0319863,0
0.0319855,0
0.0319848,0
0.031984,0
0.0319832,0
0.0319825,0
0.0319825,0
0.0319809,0
0.0319809,0
0.0319801,0
0.031979,0
0.0319785,0
0.0319778,0
0.0319774,0
0.0319766,0
0.0319762,0
0.0319754,0
0.0319743,0
0.0319743,0
0.0319731,0
0.0319727,0
0.0319719,0
0.0319712,0
0.0319708,0
0.0319696,0
0.0319696,0
0.0319689,0
0.0319673,0
0.0319673,0
0.0319665,0
0.0319654,0
0.0319649,0
0.0319642,0
0.0319634,0
0.031963,0
0.0319619,0
0.0319611,0
0.0319607,0
0.0319599,0
0.0319592,0
0.0319583,0
0.0319576,0
0.0319576,0
0.0319564,0
0.0319553,0
0.0319553,0
0.0319541,0
0.0319534,0
0.0319529,0
0.0319518,0
0.031951,0
0.0319506,0
0.0319494,0
0.0319487,0
0.0319487,0
0.0319479,0
0.0319471,0
0.0319463,0
0.0319456,0
0.0319456,0
0.0319444,0
0.0319433,0
0.0319425,0
0.0319421,0
0.0319413,0
0.0319402,0
0.0319398,0
0.031939,0
0.0319383,0
0.0319378,0
0.0319367,0
