Position in z [m],Voltage [V]
0.0260932,0
0.026094,0
0.026094,0
0.026094,0
0.026094,0
0.026094,0
0.026094,0
0.026094,0
0.026094,0
0.0260944,0
0.0260956,0
0.0260956,0
0.0260956,0
0.0260964,0
0.0260964,0
0.0260964,0
0.0260976,0
0.0260976,0
0.0260976,0
0.0260988,0
0.0260988,0
0.0260988,0
0.0260988,0
0.0260988,0
0.0260988,0
0.0261004,0
0.0261004,0
0.0261004,0
0.0261012,0
0.0261012,0
0.0261012,0
0.0261024,0
0.0261028,0
0.0261028,0
0.0261036,0
0.0261036,0
0.026104,0
0.0261048,0
0.0261052,0
0.0261052,0
0.0261056,0
0.0261064,0
0.0261064,0
0.0261068,0
0.0261068,0
0.0261076,0
0.0261076,0
0.0261076,0
0.026108,0
0.0261092,0
0.0261092,0
0.0261092,0
0.02611,0
0.0261104,0
0.0261104,0
0.0261116,0
0.0261116,0
0.026112,0
0.0261128,0
0.0261128,0
0.0261132,0
0.026114,0
0.0261144,0
0.0261144,0
0.0261152,0
0.0261156,0
0.0261156,0
0.0261156,0
0.0261164,0
0.0261168,0
0.0261168,0
0.026118,0
0.026118,0
0.026118,0
0.0261192,0
0.0261192,0
0.0261192,0
0.0261204,0
0.0261204,0
0.0261209,0
0.0261216,0
0.0261216,0
0.0261221,0
0.0261233,0
0.0261233,0
0.0261233,0
0.026124,0
0.0261245,0
0.0261245,0
0.0261245,0
0.0261257,0
0.0261257,0
0.0261261,0
0.0261269,0
0.0261269,0
0.0261273,0
0.0261273,0
0.0261285,0
0.0261285,0
0.0261285,0
0.0261297,0
0.0261297,0
0.0261301,0
0.0261309,0
0.0261313,0
0.0261313,0
0.0261321,0
0.0261325,0
0.0261325,0
0.0261337,0
0.0261337,0
0.0261337,0
0.0261349,0
0.0261349,0
0.0261353,0
0.0261361,0
0.0261361,0
0.0261361,0
0.0261373,0
0.0261377,0
0.0261377,0
0.0261385,0
0.0261385,0
0.0261389,0
0.0261401,0
0.0261401,0
0.0261401,0
0.0261409,0
0.0261409,0
0.0261418,0
0.0261425,0
0.0261425,0
0.0261433,0
0.0261437,0
0.0261442,0
0.0261449,0
0.0261449,0
0.0261449,0
0.0261458,0
0.0261466,0
0.0261466,0
0.0261466,0
0.0261478,0
0.0261482,0
0.0261482,0
0.026149,0
0.026149,0
0.0261494,0
0.0261506,0
0.0261506,0
0.0261506,0
0.0261514,0
0.0261522,0
0.026153,0
0.026153,0
0.026153,0
0.0261542,0
0.0261546,0
0.0261546,0
0.0261554,0
0.0261554,0
0.0261558,0
0.0261566,0
0.026157,0
0.026157,0
0.0261578,0
0.0261582,0
0.0261582,0
0.0261594,0
0.0261594,0
0.0261598,0
0.0261606,0
0.026161,0
0.026161,0
0.0261622,0
0.0261622,0
0.0261622,0
0.0261634,0
0.0261638,0
0.0261638,0
0.0261646,0
0.0261646,0
0.0261658,0
0.0261662,0
0.0261662,0
0.026167,0
0.0261675,0
0.0261675,0
0.0261686,0
0.0261686,0
0.0261686,0
0.0261699,0
0.0261703,0
0.0261703,0
0.026171,0
0.026171,0
0.0261719,0
0.0261727,0
0.0261727,0
0.0261727,0
0.0261739,0
0.0261743,0
0.0261743,0
0.0261751,0
0.0261755,0
0.0261755,0
0.0261767,0
0.0261767,0
0.0261767,0
0.0261779,0
0.0261783,0
0.0261791,0
0.0261791,0
0.0261791,0
0.0261803,0
0.0261807,0
0.0261807,0
0.0261815,0
0.0261819,0
0.0261819,0
0.0261831,0
0.0261831,0
0.0261843,0
0.0261843,0
0.0261847,0
0.0261855,0
0.0261859,0
0.0261859,0
0.0261867,0
0.0261871,0
0.0261871,0
0.0261883,0
0.0261883,0
0.0261883,0
0.0261895,0
0.0261895,0
0.02619,0
0.0261907,0
0.0261912,0
0.0261912,0
0.0261924,0
0.0261924,0
0.0261928,0
0.0261936,0
0.026194,0
0.0261948,0
0.0261948,0
0.0261952,0
0.026196,0
0.0261964,0
0.0261964,0
0.0261972,0
0.0261976,0
0.0261976,0
0.0261988,0
0.0261988,0
0.0261996,0
0.0262,0
0.0262,0
0.0262012,0
0.0262012,0
0.0262016,0
0.0262024,0
0.0262028,0
0.0262036,0
0.026204,0
0.0262044,0
0.0262052,0
0.0262052,0
0.026206,0
0.0262068,0
0.0262068,0
0.0262076,0
0.0262076,0
0.0262084,0
0.0262088,0
0.02621,0
0.02621,0
0.02621,0
0.0262108,0
0.0262112,0
0.0262124,0
0.0262124,0
0.0262124,0
0.0262132,0
0.0262136,0
0.0262148,0
0.0262148,0
0.0262156,0
0.0262156,0
0.0262172,0
0.0262172,0
0.026218,0
0.0262188,0
0.0262192,0
0.0262204,0
0.0262204,0
0.0262212,0
0.0262216,0
0.0262224,0
0.0262228,0
0.0262236,0
