Position in z [a.u.],Voltage [V]
0.0382233,0.102584
0.038221,0.105676
0.0382164,0.103734
0.0382126,0.0985477
0.038208,0.103734
0.0382034,0.103734
0.0381987,0.103734
0.0381941,0.108921
0.0381887,0.108921
0.0381841,0.103734
0.0381787,0.103734
0.0381741,0.104525
0.0381694,0.107617
0.038164,0.0985477
0.0381587,0.101793
0.0381517,0.108921
0.0381486,0.103734
0.0381409,0.101793
0.0381371,0.103734
0.0381317,0.102944
0.0381263,0.0998516
0.0381209,0.100642
0.0381155,0.104525
0.0381101,0.103734
0.0381055,0.0985477
0.038097,0.104525
0.0380939,0.104885
0.0380862,0.0998516
0.0380816,0.0953024
0.0380754,0.10698
0.03807,0.102431
0.0380639,0.102431
0.0380577,0.0922104
0.0380523,0.100849
0.0380461,0.10698
0.0380391,0.102944
0.038033,0.10698
0.038026,0.10813
0.0380206,0.113317
0.0380144,0.108921
0.0380067,0.10698
0.0380005,0.102944
0.0379928,0.103734
0.0379843,0.105676
0.0379774,0.112957
0.0379697,0.104525
0.0379635,0.103734
0.037955,0.104885
0.0379449,0.103734
0.037938,0.0985477
0.0379303,0.103734
0.0379218,0.103734
0.0379148,0.102431
0.0379056,0.0985477
0.0378971,0.0985477
0.0378886,0.101793
0.0378808,0.108921
0.0378692,0.0985477
0.0378638,0.106467
0.0378553,0.0985477
0.037846,0.104885
0.0378375,0.100489
0.0378283,0.093361
0.0378183,0.0985477
0.0378106,0.103734
0.0378028,0.0972439
0.0377919,0.103734
0.0377842,0.103734
0.0377741,0.108921
0.0377633,0.103734
0.0377555,0.104525
0.0377462,0.103734
0.0377392,0.10698
0.0377307,0.102944
0.0377222,0.0998516
0.0377121,0.093361
0.0376979,0.0985477
0.0376869,0.101793
0.0376776,0.102584
0.0376698,0.104525
0.0376598,0.10698
0.0376481,0.102584
0.0376396,0.104525
0.0376304,0.102153
0.037618,0.108921
0.0376111,0.105038
0.0376026,0.103734
0.0375949,0.103734
0.0375849,0.0985477
0.0375748,0.106189
0.0375633,0.103734
0.0375548,0.0996983
0.0375447,0.104885
0.0375362,0.103734
0.0375262,0.102584
0.03752,0.0985477
0.0375115,0.103734
0.0375014,0.102153
0.0374951,0.103734
0.0374835,0.104247
0.0374765,0.108921
0.0374686,0.104525
0.0374601,0.108921
0.0374523,0.10128
0.0374431,0.107771
0.0374324,0.103734
0.0374209,0.103734
0.037414,0.0985477
0.0374039,0.103734
0.0373924,0.103734
0.0373855,0.10813
0.0373755,0.10698
0.0373678,0.102584
0.0373578,0.108921
0.0373501,0.0993385
0.0373393,0.103734
0.0373279,0.103734
0.037317,0.0998516
0.0373116,0.0985477
0.0373024,0.108921
0.0372924,0.108921
0.0372824,0.105316
0.0372755,0.0985477
0.037267,0.103734
0.0372578,0.0993385
0.0372501,0.0985477
0.0372393,0.0998516
0.0372309,0.10698
0.0372208,0.0990607
0.0372116,0.103734
0.0372023,0.0985477
0.0371931,0.103734
0.037183,0.104885
0.0371714,0.107771
0.0371629,0.103734
0.0371528,0.106467
0.0371427,0.103734
0.0371272,0.108921
0.0371194,0.102584
0.0371132,0.102944
0.037104,0.107771
0.0370939,0.0993385
0.037084,0.0985477
0.0370747,0.100489
0.0370655,0.0973971
0.0370548,0.0973971
0.0370486,0.103734
0.037037,0.105038
0.0370301,0.105038
0.0370216,0.106467
0.0370131,0.104525
0.0370039,0.10128
0.0369946,0.100489
0.0369806,0.102944
0.0369745,0.0985477
0.036966,0.100211
0.0369568,0.0985477
0.0369484,0.0985477
0.0369376,0.10698
0.0369306,0.105676
0.0369175,0.105038
0.0369106,0.105676
0.0368998,0.105676
0.0368906,0.103734
0.0368806,0.104885
0.0368682,0.104885
0.0368612,0.107771
0.0368528,0.0993385
0.0368435,0.103734
0.0368343,0.0985477
0.0368235,0.103734
0.036815,0.0998516
0.0368065,0.10128
0.036795,0.102584
0.0367834,0.102153
0.0367758,0.102944
0.0367666,0.10128
0.0367581,0.105038
0.0367496,0.104885
0.0367411,0.103734
0.0367318,0.105038
0.0367218,0.0993385
0.0367118,0.103734
0.0366994,0.10698
0.0366925,0.103734
0.0366824,0.102153
0.0366724,0.103734
0.0366623,0.10698
0.0366499,0.101002
0.0366437,0.108921
0.0366313,0.101002
0.0366197,0.0972439
0.036612,0.093361
0.0365997,0.106467
0.0365904,0.0985477
0.0365787,0.0972439
