Position in z [a.u.],Voltage [V]
0.0361388,0.108921
0.0361358,0.107771
0.0361319,0.108921
0.0361265,0.109434
0.0361234,0.102584
0.0361173,0.103734
0.0361127,0.101793
0.0361065,0.0998516
0.0361018,0.102944
0.0360965,0.102944
0.036091,0.107771
0.0360849,0.110863
0.0360795,0.107617
0.0360748,0.106467
0.0360679,0.102584
0.0360633,0.103734
0.0360579,0.100489
0.0360517,0.10813
0.0360463,0.107617
0.0360401,0.102944
0.0360355,0.100489
0.0360293,0.103734
0.0360239,0.108921
0.0360155,0.106467
0.0360139,0.106036
0.0360062,0.104525
0.0360016,0.0973971
0.0359955,0.103734
0.0359893,0.108921
0.0359823,0.0996983
0.0359762,0.0996983
0.03597,0.107771
0.0359654,0.102944
0.0359577,0.105676
0.0359515,0.101793
0.035943,0.110072
0.0359376,0.106827
0.0359299,0.10164
0.035923,0.108921
0.0359161,0.104885
0.0359091,0.103221
0.0358999,0.10128
0.0358914,0.0985477
0.0358837,0.105676
0.0358753,0.103734
0.0358683,0.0985477
0.0358598,0.112957
0.0358529,0.107771
0.0358436,0.10813
0.0358359,0.10813
0.0358281,0.105676
0.0358196,0.107771
0.0358081,0.100489
0.0358034,0.103734
0.0357942,0.101002
0.0357864,0.102431
0.0357771,0.105676
0.0357686,0.104885
0.0357601,0.112804
0.0357501,0.10813
0.0357401,0.105038
0.0357323,0.103734
0.0357222,0.10813
0.0357145,0.100129
0.0357036,0.0996983
0.0356943,0.105676
0.0356843,0.103734
0.0356773,0.10698
0.0356688,0.105038
0.0356588,0.102584
0.0356503,0.101793
0.0356418,0.100489
0.0356318,0.104885
0.0356248,0.104885
0.035614,0.109712
0.0356062,0.107771
0.0355969,0.104525
0.0355869,0.110225
0.0355776,0.107617
0.0355691,0.103734
0.0355605,0.107771
0.0355497,0.10128
0.0355396,0.103734
0.0355311,0.102584
0.0355203,0.104885
0.035511,0.101002
0.035504,0.10128
0.0354924,0.105316
0.035484,0.10734
0.0354739,0.0985477
0.0354654,0.103734
0.0354569,0.102431
0.0354453,0.103734
0.0354361,0.0973971
0.0354284,0.102153
0.0354183,0.100129
0.0354099,0.102153
0.0354006,0.103734
0.0353913,0.108921
0.0353814,0.108921
0.0353721,0.105316
0.0353637,0.110225
0.0353544,0.106467
0.0353459,0.108921
0.0353374,0.106189
0.0353274,0.106189
0.0353196,0.106189
0.0353104,0.0972439
0.0352996,0.093361
0.0352912,0.0972439
0.0352819,0.0985477
0.0352719,0.102944
0.0352635,0.110072
0.0352535,0.102431
0.0352472,0.106189
0.0352386,0.103734
0.0352285,0.10813
0.0352184,0.109712
0.0352075,0.108921
0.0351974,0.114899
0.035185,0.103734
0.0351788,0.10698
0.0351702,0.106189
0.0351617,0.108921
0.0351501,0.106827
0.0351416,0.107771
0.0351301,0.108921
0.0351215,0.109712
0.0351137,0.10734
0.0351036,0.0996983
0.0350951,0.0966063
0.0350859,0.10734
0.0350766,0.104885
0.0350673,0.104885
0.035058,0.0998516
0.0350487,0.10128
0.0350395,0.108921
0.0350294,0.0966063
0.035021,0.104885
0.0350117,0.108921
0.0350033,0.107617
0.0349932,0.104885
0.034984,0.10698
0.0349739,0.101002
0.0349653,0.100489
0.0349522,0.101793
0.0349444,0.105038
0.0349336,0.106189
0.0349243,0.0985477
0.034912,0.108921
0.034902,0.106189
0.034892,0.104525
0.0348828,0.102431
0.0348743,0.102584
0.0348627,0.0998516
0.0348557,0.104525
0.0348426,0.105038
0.0348357,0.109712
0.0348272,0.103734
0.0348172,0.0998516
0.0348087,0.104885
0.0347963,0.104525
0.0347886,0.0985477
0.0347793,0.103734
0.0347701,0.103734
0.0347609,0.103221
0.0347517,0.101793
0.034744,0.102584
0.0347348,0.103734
0.0347271,0.0969661
0.034714,0.103734
0.0347078,0.10128
0.0346955,0.103734
0.0346886,0.108921
0.0346779,0.103734
0.0346694,0.103734
0.0346578,0.103221
0.0346485,0.108921
0.0346393,0.0985477
0.0346324,0.103734
0.0346248,0.10128
0.0346163,0.108921
0.0346024,0.103734
0.0345939,0.101002
0.0345823,0.108921
0.0345746,0.108921
0.0345638,0.103734
0.0345553,0.10698
0.0345438,0.103734
0.0345369,0.102944
0.0345269,0.107617
0.0345184,0.102944
0.0345099,0.103734
0.0345007,0.0972439
0.0344884,0.0993385
0.03448,0.109199
0.0344685,0.104885
0.034463,0.106467
0.0344545,0.11569
0.0344446,0.110072
0.0344353,0.104885
0.0344245,0.104525
0.0344145,0.103734
0.0344052,0.10813
0.034396,0.105676
0.034386,0.102584
0.0343767,0.103734
0.0343659,0.105829
0.0343566,0.101793
0.0343473,0.102584
0.0343326,0.103734
0.0343264,0.102584
0.0343164,0.0985477
0.034304,0.10813
0.0342986,0.106189
0.0342878,0.10813
0.034277,0.112526
0.0342693,0.105676
0.0342578,0.107771
0.0342501,0.104525
0.03424,0.0985477
0.03423,0.0985477
0.0342215,0.108921
0.0342114,0.105038
0.0342037,0.102584
0.0341929,0.106467
0.0341837,0.102944
0.0341744,0.104885
0.0341659,0.106467
0.0341552,0.108921
0.0341459,0.108921
0.0341366,0.110072
0.0341227,0.107771
0.0341172,0.114108
0.0341064,0.10128
0.0340971,0.101793
0.0340878,0.103734
0.034077,0.102431
0.0340693,0.104525
0.0340608,0.104885
0.0340485,0.105038
0.03404,0.104525
0.0340277,0.10813
0.0340192,0.101002
0.0340107,0.106189
0.0339999,0.10128
0.0339906,0.103734
0.0339821,0.101793
0.033969,0.103734
0.0339558,0.108921
0.0339488,0.108921
0.0339411,0.104885
0.033931,0.106467
0.0339218,0.100489
0.033911,0.103734
0.0338978,0.093361
0.0338909,0.102431
0.0338809,0.105038
0.0338731,0.111376
0.0338624,0.103734
0.0338516,0.108921
0.0338447,0.104525
0.0338339,0.108921
0.0338254,0.10698
0.0338138,0.101793
0.0338061,0.0993385
0.0337968,0.107771
0.0337867,0.0941518
0.0337775,0.108921
0.0337659,0.0998516
0.0337574,0.108921
0.0337481,0.109712
0.0337396,0.108921
0.0337288,0.100129
0.0337195,0.103734
0.0337079,0.100489
0.0336971,0.104885
0.0336886,0.103734
0.0336755,0.103734
0.0336677,0.113317
0.0336547,0.114108
0.0336469,0.102431
0.0336369,0.107617
0.0336284,0.107617
0.0336183,0.108921
0.0336091,0.103734
