Position in z [a.u.],Voltage [V]
0.0267614,0.109712
0.026763,0.103734
0.0267672,0.108921
0.0267714,0.106467
0.0267783,0.109712
0.0267851,0.105676
0.0267901,0.107771
0.0267974,0.103734
0.0268035,0.106189
0.0268096,0.0996983
0.0268176,0.103734
0.0268238,0.109434
0.0268306,0.106189
0.0268364,0.111653
0.0268448,0.101002
0.026851,0.108768
0.026856,0.108921
0.0268634,0.108921
0.0268707,0.107771
0.026878,0.106189
0.0268833,0.106467
0.0268906,0.110072
0.0268979,0.106467
0.0269053,0.104525
0.0269118,0.108921
0.0269183,0.106467
0.0269276,0.110225
0.0269353,0.116562
0.0269433,0.10813
0.0269493,0.110072
0.0269583,0.101793
0.0269657,0.093361
0.026976,0.10698
0.0269837,0.108921
0.0269898,0.10698
0.0269983,0.103734
0.0270064,0.10813
0.0270155,0.107617
0.0270209,0.103734
0.0270283,0.10734
0.0270363,0.105829
0.027046,0.0977569
0.0270528,0.108921
0.0270602,0.113317
0.0270675,0.108921
0.0270771,0.103734
0.0270835,0.108921
0.0270905,0.104885
0.0270998,0.106827
0.0271084,0.114108
0.0271164,0.103734
0.0271244,0.114108
0.0271329,0.114108
0.0271407,0.114108
0.0271488,0.108921
0.0271565,0.108921
0.0271635,0.106036
0.0271719,0.112804
0.0271796,0.10698
0.027188,0.108921
0.0271972,0.103734
0.0272056,0.103734
0.0272114,0.107771
0.0272207,0.10734
0.0272303,0.106189
0.0272381,0.110225
0.0272455,0.115412
0.0272553,0.107771
0.0272634,0.108921
0.0272703,0.108921
0.0272797,0.103734
0.0272903,0.108921
0.0272966,0.108921
0.0273048,0.10662
0.0273154,0.108921
0.0273231,0.108921
0.0273309,0.106189
0.0273403,0.114108
0.0273495,0.108921
0.0273577,0.108921
0.0273654,0.112526
0.0273732,0.107771
0.0273809,0.105676
0.0273906,0.108921
0.0273979,0.108921
0.0274069,0.107771
0.0274155,0.108921
0.0274246,0.107771
0.0274359,0.10813
0.0274433,0.108921
0.0274514,0.112957
0.0274583,0.114108
0.0274653,0.103734
0.027473,0.107771
0.0274808,0.104525
0.0274902,0.109712
0.0274989,0.114108
0.0275091,0.103734
0.0275181,0.108921
0.0275272,0.103734
0.0275358,0.115259
0.0275452,0.106189
0.0275554,0.111807
0.0275674,0.108921
0.0275737,0.114108
0.0275815,0.108921
0.0275948,0.103734
0.0276018,0.108921
0.0276116,0.110863
0.0276206,0.104525
0.0276301,0.108921
0.0276388,0.110072
0.0276534,0.109712
0.0276617,0.110503
0.02767,0.110503
0.0276803,0.103734
0.0276882,0.10698
0.0276976,0.103734
0.0277079,0.110072
0.027717,0.112957
0.0277285,0.105038
0.0277361,0.10698
0.0277468,0.109434
0.0277555,0.107617
0.0277634,0.110863
0.0277725,0.114108
0.0277828,0.112957
0.0277911,0.113317
0.0278011,0.108921
0.0278101,0.10813
0.0278184,0.107771
0.0278283,0.108921
0.0278377,0.108921
0.0278483,0.104525
0.0278598,0.114108
0.027873,0.108921
0.0278792,0.109712
0.027887,0.116203
0.0278985,0.11035
0.0279071,0.108921
0.0279191,0.110072
0.0279273,0.108921
0.027937,0.107617
0.027946,0.104525
0.0279559,0.109434
0.0279652,0.111653
0.0279753,0.110863
0.0279831,0.108921
0.0279929,0.106189
0.028003,0.108921
0.0280143,0.114108
0.0280218,0.108921
0.0280319,0.112526
0.0280425,0.110863
0.02805,0.108921
0.0280579,0.105676
0.0280658,0.112166
0.0280752,0.115259
0.0280848,0.104885
0.0280938,0.105038
0.0281021,0.105829
0.0281124,0.103734
0.0281227,0.10698
0.0281308,0.108921
0.0281386,0.102431
0.0281471,0.118504
0.0281549,0.606846
0.0281642,1.05694
0.028172,1.43672
0.0281798,1.13589
0.0281891,0.818351
0.0281977,0.695021
0.0282072,0.554979
0.0282174,0.461618
0.0282241,0.409751
0.028235,0.391459
0.028242,0.404564
0.0282515,0.449941
0.0282614,0.454337
0.0282708,0.473142
0.0282795,0.500658
0.0282921,0.539419
0.0282988,0.508299
0.0283084,0.507508
0.0283218,0.466805
0.0283297,0.471992
0.0283379,0.422857
0.0283479,0.414938
0.0283553,0.404564
0.0283631,0.352697
0.0283705,0.351546
0.0283779,0.31639
0.0283869,0.296156
0.0283942,0.277198
0.0284035,0.259336
0.0284127,0.244927
0.0284208,0.242472
0.0284293,0.237439
0.0284383,0.238589
0.0284488,0.317181
0.0284618,0.306017
0.0284721,0.315086
0.0284828,0.354279
0.0284948,0.374595
0.0285046,0.404564
0.0285161,0.422579
0.0285252,0.424161
0.0285359,0.416879
0.0285466,0.402263
0.0285574,0.373444
0.0285705,0.373444
0.0285779,0.414938
0.0285865,0.439721
0.0285943,0.466805
0.0286037,0.412483
0.0286128,0.368257
0.0286218,0.342324
0.0286304,0.342324
0.0286417,0.292398
0.0286522,0.26971
0.0286608,0.264523
0.0286709,0.251848
0.0286782,0.228216
0.028687,0.203073
0.028696,0.186722
0.0287072,0.177652
0.0287161,0.170011
0.0287253,0.157183
0.0287354,0.152869
0.0287467,0.152356
0.0287554,0.146019
0.0287664,0.140832
0.028775,0.140041
0.0287851,0.126936
0.028794,0.13276
0.0288041,0.129668
0.0288137,0.129668
0.0288203,0.126936
0.0288284,0.129155
0.0288389,0.130819
0.0288481,0.134855
0.0288555,0.1381
0.0288651,0.140041
0.0288721,0.146019
0.0288823,0.138891
0.0288942,0.128517
0.0289028,0.122027
0.0289121,0.121236
0.028923,0.114108
0.0289312,0.119295
0.0289428,0.116562
0.0289564,0.103734
0.0289641,0.104525
0.0289726,0.107771
0.0289826,0.112957
0.0289916,0.108921
0.0290013,0.116049
0.0290098,0.110863
0.0290195,0.114108
0.0290293,0.110225
0.0290395,0.11684
0.0290492,0.11569
0.0290598,0.10698
0.0290727,0.114108
0.0290794,0.108921
0.0290904,0.108921
0.0291014,0.108921
0.0291093,0.109712
0.029119,0.104885
0.0291296,0.108921
0.0291402,0.108921
0.0291495,0.10128
0.0291597,0.103734
0.0291695,0.104885
0.0291802,0.101793
0.0291949,0.108921
0.0292016,0.104885
0.0292134,0.108921
0.0292216,0.110863
0.0292326,0.108921
0.02924,0.108921
0.0292486,0.110863
0.0292605,0.107617
0.0292703,0.105316
0.0292797,0.107771
0.0292927,0.106189
0.0293002,0.114108
0.0293119,0.109712
0.0293209,0.108921
0.0293288,0.108921
0.0293405,0.0993385
0.0293491,0.107771
0.0293585,0.10698
0.0293695,0.108921
0.0293789,0.105676
0.0293895,0.105676
0.0293993,0.114108
0.0294106,0.108921
0.0294192,0.110072
0.029427,0.110503
0.0294379,0.110225
0.0294465,0.114108
0.0294562,0.104525
0.0294687,0.115412
0.0294757,0.114108
0.0294847,0.108921
0.0294949,0.104885
0.0295039,0.108921
0.0295145,0.114108
0.0295242,0.116409
0.0295328,0.108921
0.029543,0.114108
0.0295515,0.108921
0.0295609,0.104525
0.0295725,0.108921
0.0295815,0.110863
0.0295935,0.108921
0.0296013,0.114899
0.0296113,0.114108
0.029621,0.112166
0.0296306,0.111376
0.0296406,0.112957
0.02965,0.114108
0.02966,0.109712
0.02967,0.108921
0.0296789,0.108921
0.029689,0.103734
0.0296967,0.112526
0.0297076,0.103734
0.0297189,0.108921
0.0297272,0.108921
0.0297386,0.103734
0.0297472,0.110072
0.0297566,0.103734
0.0297649,0.112957
0.029774,0.103734
0.0297838,0.108921
0.0297937,0.112957
0.029807,0.110072
0.0298148,0.110072
0.0298241,0.107771
0.0298348,0.106467
0.0298451,0.10813
0.0298548,0.103734
0.0298638,0.110072
0.0298754,0.108921
0.029884,0.107771
0.029892,0.103734
0.0299019,0.108921
0.0299088,0.110072
0.0299187,0.114108
0.0299276,0.112166
0.0299373,0.106189
0.0299496,0.108921
0.0299598,0.10813
0.0299704,0.112526
0.0299777,0.108921
0.0299847,0.10734
