Position in z [a.u.],Voltage [V]
0.0234047,0.236648
0.0234055,0.238589
0.0234079,0.238589
0.0234125,0.234553
0.0234168,0.233402
0.0234227,0.238589
0.0234312,0.233402
0.0234421,0.232099
0.0234504,0.234553
0.0234573,0.232099
0.0234646,0.237439
0.0234712,0.232612
0.0234786,0.231308
0.0234847,0.228216
0.0234925,0.23067
0.023498,0.233402
0.023505,0.230157
0.0235123,0.233402
0.0235204,0.228216
0.0235284,0.228216
0.023534,0.228216
0.0235406,0.234706
0.0235484,0.233402
0.0235561,0.238589
0.023564,0.235344
0.0235742,0.233402
0.0235824,0.231461
0.0235912,0.229366
0.0235994,0.233402
0.0236071,0.234706
0.0236169,0.23938
0.0236263,0.242625
0.0236356,0.234706
0.0236443,0.236648
0.023652,0.23067
0.0236599,0.228216
0.0236701,0.238589
0.0236808,0.238589
0.0236908,0.234553
0.0236993,0.232099
0.0237102,0.234553
0.0237195,0.238589
0.0237292,0.236648
0.0237392,0.238589
0.0237492,0.237439
0.0237589,0.23067
0.0237682,0.237798
0.0237768,0.238589
0.0237862,0.232099
0.0237945,0.223029
0.0238032,0.236135
0.0238116,0.235344
0.0238203,0.230948
0.0238287,0.237798
0.0238384,0.232099
0.0238474,0.234193
0.0238561,0.233402
0.0238641,0.237798
0.0238718,0.233402
0.0238802,0.234193
0.0238875,0.238589
0.023896,0.234553
0.0239044,0.233402
0.0239131,0.234193
0.0239219,0.230948
0.0239301,0.234553
0.0239385,0.237439
0.023947,0.241321
0.0239559,0.238589
0.0239639,0.233402
0.0239727,0.233402
0.0239826,0.232612
0.0239916,0.233402
0.0240011,0.237285
0.0240103,0.240171
0.0240191,0.233402
0.0240276,0.238589
0.0240368,0.234193
0.0240467,0.238589
0.0240549,0.230157
0.0240618,0.233402
0.0240701,0.238589
0.0240785,0.233402
0.0240872,0.237798
0.0240959,0.232612
0.0241053,0.231308
0.0241156,0.231461
0.0241258,0.236648
0.0241349,0.23974
0.0241448,0.242625
0.0241543,0.243776
0.0241623,0.23974
0.0241711,0.234553
0.0241803,0.232612
0.0241889,0.234831
0.0241968,0.233402
0.0242056,0.234553
0.0242154,0.233402
0.0242242,0.233402
0.0242346,0.237798
0.0242441,0.238589
0.024254,0.233402
0.024264,0.229007
0.024274,0.232612
0.0242836,0.234553
0.0242928,0.232612
0.0243025,0.233402
0.0243118,0.237439
0.0243214,0.236648
0.0243306,0.233402
0.0243396,0.233402
0.0243489,0.231461
0.0243585,0.238589
0.0243681,0.234553
0.0243784,0.23974
0.0243891,0.234553
0.0243995,0.238589
0.02441,0.232612
0.0244199,0.230948
0.0244298,0.232099
0.0244397,0.233402
0.0244496,0.233402
0.0244594,0.234193
0.0244685,0.238589
0.0244782,0.238589
0.0244884,0.233402
0.0244978,0.238589
0.0245074,0.238589
0.0245167,0.242625
0.0245266,0.234706
0.024536,0.24089
0.0245466,0.243776
0.0245556,0.238229
0.0245647,0.233402
0.0245744,0.238589
0.0245843,0.238589
0.0245937,0.238589
0.0246027,0.233402
0.0246118,0.237798
0.0246216,0.234553
0.0246307,0.233402
0.0246404,0.237285
0.024651,0.235344
0.0246607,0.239893
0.0246701,0.233402
0.0246803,0.238589
0.02469,0.235857
0.0246998,0.238589
0.0247096,0.234706
0.0247187,0.238589
0.0247293,0.234706
0.0247385,0.233402
0.0247488,0.233402
0.0247583,0.233402
0.0247682,0.238589
0.0247781,0.242985
0.0247876,0.240171
0.0247973,0.237439
0.0248063,0.237439
0.0248167,0.233402
0.0248272,0.233402
0.0248376,0.236135
0.0248469,0.233402
0.0248573,0.237439
0.024867,0.238589
0.0248767,0.232252
0.0248868,0.243776
0.0248965,0.240253
0.0249067,0.235344
0.0249164,0.237439
0.0249255,0.233402
0.0249348,0.232252
0.0249447,0.236135
0.0249537,0.232252
0.0249631,0.242194
0.0249733,0.240531
0.0249832,0.238589
0.0249936,0.238589
0.0250044,0.238589
0.0250148,0.23938
0.0250249,0.235857
