Position in z [m],Voltage [V]
0.0384928,0.108921
0.0384928,0.114108
0.0384936,0.108921
0.0384936,0.103734
0.0384928,0.108921
0.0384928,0.116203
0.0384928,0.108921
0.0384928,0.110072
0.0384936,0.111653
0.0384936,0.112957
0.0384936,0.105038
0.0384936,0.114108
0.0384936,0.108921
0.0384936,0.114108
0.0384936,0.111807
0.0384936,0.108921
0.0384936,0.113317
0.0384936,0.114108
0.0384936,0.108921
0.0384936,0.114108
0.0384936,0.108921
0.0384936,0.110072
0.0384936,0.114108
0.0384936,0.114108
0.0384936,0.109712
0.0384936,0.110072
0.0384876,0.103734
0.0384659,0.105038
0.0384448,0.10698
0.0384141,0.108921
0.0383677,0.114108
0.0383167,0.113317
0.0382745,0.103734
0.0382193,0.107771
0.0381639,0.110863
0.0381193,0.111376
0.0380787,0.110863
0.038048,0.110503
0.038018,0.114108
0.0379843,0.114108
0.0379581,0.111016
0.0379229,0.109712
0.0378982,0.109712
0.0378786,0.108921
0.0378553,0.110863
0.0378418,0.116049
0.0378269,0.11684
0.0378148,0.109712
0.0378028,0.114108
0.0377885,0.110072
0.0377765,0.110863
0.037766,0.107617
0.037754,0.114108
0.0377465,0.10813
0.0377367,0.109712
0.0377261,0.116049
0.0377103,0.108921
0.037696,0.108921
0.0376794,0.108921
0.0376644,0.113317
0.0376508,0.108921
0.0376388,0.118504
0.0376276,0.114108
0.0376155,0.112166
0.0376012,0.108921
0.0375899,0.108921
0.0375801,0.108921
0.0375734,0.108921
0.0375682,0.108921
0.0375614,0.108921
0.0375472,0.119295
0.0375352,0.118504
0.0375233,0.108921
0.037515,0.108921
0.037509,0.114108
0.037503,0.110072
0.0374985,0.111222
0.037494,0.108921
0.0374879,0.105676
0.0374782,0.114108
0.0374684,0.107771
0.0374601,0.111653
0.0374504,0.112957
0.0374415,0.114108
0.0374355,0.103734
0.037431,0.10813
0.0374257,0.108921
0.0374167,0.110072
0.037407,0.10734
0.0373824,0.114108
0.0373704,0.108921
0.0373547,0.111376
0.0373368,0.108921
0.0373144,0.108921
0.0372875,0.108921
0.0372673,0.110072
0.0372597,0.108921
0.0372575,0.114108
0.0372575,0.118144
0.0372567,0.114108
0.0372567,0.116203
0.037256,0.108921
0.0372552,0.112166
0.0372552,0.106189
0.0372552,0.107771
0.0372552,0.108921
0.0372552,0.108921
0.0372552,0.102431
0.0372552,0.110072
0.0372552,0.114108
0.0372552,0.104525
0.0372545,0.108921
0.0372545,0.108921
0.0372538,0.108921
0.0372538,0.117353
0.0372538,0.114108
0.0372538,0.119295
0.0372538,0.119295
0.0372538,0.108921
0.0372515,0.110072
0.0372462,0.108921
0.0372349,0.114108
0.0372193,0.114108
0.0372067,0.105038
0.0371858,0.108921
0.0371602,0.118504
0.0371407,0.108921
0.0371142,0.109712
0.0370991,0.104885
0.037084,0.107771
0.0370742,0.108921
0.0370667,0.107771
0.0370629,0.110072
0.0370584,0.113317
0.0370562,0.110072
0.0370524,0.114108
0.0370486,0.112804
0.0370434,0.110225
0.0370389,0.114108
0.037033,0.114108
0.0370255,0.107771
0.0370141,0.110225
0.0370058,0.112957
0.0369975,0.112957
0.0369922,0.108921
0.0369877,0.114108
0.0369832,0.112957
0.0369802,0.114108
0.0369765,0.110225
0.0369742,0.106827
0.0369712,0.108921
0.0369644,0.103734
0.0369546,0.108921
0.0369396,0.103734
0.0369269,0.10698
0.0369127,0.108921
0.0369059,0.119295
0.0369014,0.108921
0.0368931,0.114108
0.0368833,0.114108
0.0368721,0.112526
0.0368563,0.108921
0.036842,0.114108
0.0368239,0.105829
0.0368111,0.115259
0.0368013,0.114108
0.0367953,0.119295
0.0367855,0.108921
0.0367772,0.115259
0.0367689,0.114108
0.0367622,0.112166
0.0367547,0.108921
0.0367457,0.120085
0.0367412,0.114108
0.0367367,0.114108
0.0367314,0.110863
0.0367262,0.108921
0.0367209,0.108921
0.0367134,0.113317
0.0367045,0.112804
0.0366902,0.114108
0.0366789,0.117713
0.0366728,0.108921
0.0366661,0.114108
0.0366616,0.114108
0.0366563,0.119295
0.0366466,0.114108
0.0366346,0.112957
0.0366262,0.110503
0.0366186,0.108921
0.0366066,0.108921
0.0365977,0.114108
0.0365895,0.114108
0.0365843,0.118504
0.0365769,0.116562
0.0365688,0.110072
0.036559,0.105829
0.0365507,0.108921
0.0365432,0.101793
0.0365395,0.10698
0.0365365,0.108921
0.0365335,0.108921
0.0365297,0.108921
0.036523,0.105676
0.0365148,0.109712
0.0365007,0.108921
0.0364901,0.114108
0.0364849,0.112526
0.0364803,0.116049
0.0364758,0.109712
0.0364713,0.110072
0.0364668,0.114108
0.0364601,0.114108
0.0364503,0.119295
0.0364428,0.114108
0.0364345,0.112957
0.0364286,0.114108
0.0364248,0.114108
0.0364226,0.114108
0.0364196,0.118144
0.0364144,0.112957
0.0364062,0.110863
0.0363964,0.119295
0.0363836,0.111376
0.0363724,0.114108
0.0363648,0.114108
0.0363588,0.115412
0.0363521,0.114108
0.0363431,0.106467
0.0363386,0.108921
0.0363341,0.111653
0.0363274,0.108921
0.0363191,0.108921
0.0363139,0.103734
0.0363072,0.109712
0.0363019,0.108921
0.0362967,0.114108
0.0362906,0.111653
0.0362838,0.113317
0.0362755,0.10734
0.0362694,0.111376
0.0362626,0.10662
0.0362536,0.111016
0.0362461,0.103734
0.0362348,0.114108
0.0362266,0.114108
0.03621,0.114899
0.0361994,0.114108
0.0361903,0.111376
0.0361842,0.114108
0.0361765,0.108921
0.0361719,0.112166
0.0361681,0.109712
0.0361666,0.114108
0.0361658,0.114108
0.0361636,0.114108
0.0361613,0.113317
0.036159,0.108921
0.0361537,0.114108
0.0361468,0.108921
0.03614,0.103734
0.0361317,0.108921
0.036121,0.108921
0.0361105,0.108921
0.0361,0.108921
0.0360879,0.114108
0.0360759,0.108921
0.0360593,0.108921
0.0360346,0.114108
0.0360151,0.110863
0.0359978,0.114108
0.0359798,0.114108
0.0359655,0.115259
0.0359491,0.106189
0.0359311,0.108921
0.0358972,0.106189
0.0358694,0.103734
0.0358422,0.114108
0.0358219,0.112013
0.0358047,0.114108
0.0357784,0.114108
0.0357656,0.108921
0.0357528,0.103734
0.0357453,0.108921
0.0357385,0.108921
0.0357326,0.110072
0.0357228,0.110225
0.0357093,0.108921
0.0356928,0.108921
0.035666,0.10734
0.0356503,0.10698
0.035642,0.103734
0.0356359,0.116562
0.0356344,0.115412
0.0356277,0.102944
0.035618,0.108921
0.0355895,0.108921
0.0355527,0.114108
0.0355232,0.114108
0.0354976,0.119295
0.0354719,0.114108
0.035453,0.108921
0.0354335,0.112957
0.0354087,0.110072
0.0353801,0.108921
0.0353449,0.106189
0.0352962,0.104885
0.0352603,0.112166
0.0352204,0.111653
0.0351904,0.114108
0.0351589,0.114108
0.0351201,0.109712
0.0350634,0.108921
0.0350063,0.108921
0.0349711,0.108921
0.034929,0.108921
0.0349267,0.10813
0.0349259,0.108921
0.0349244,0.107771
0.0349244,0.112957
0.0349236,0.114108
0.0349236,0.114108
0.0349229,0.114108
0.0349229,0.109712
0.0349222,0.118144
0.0349222,0.113317
0.0349221,0.114108
0.0349221,0.108921
0.0349221,0.10813
0.0349221,0.114108
0.0349221,0.111653
0.0349214,0.104885
0.0349214,0.108921
0.0349214,0.108921
0.0349214,0.108921
0.0349214,0.103734
0.0349168,0.114108
0.0348956,0.114108
