Position in z [a.u.],Voltage [V]
0.0282501,0.109712
0.0282497,0.108921
0.0282497,0.112957
0.0282501,0.114108
0.0282501,0.110863
0.0282501,0.118504
0.0282501,0.107617
0.0282497,0.108921
0.0282497,0.104885
0.0282497,0.102584
0.0282497,0.111653
0.0282497,0.102944
0.0282497,0.103734
0.0282501,0.108921
0.0282501,0.106189
0.0282497,0.110072
0.0282497,0.108921
0.0282497,0.114108
0.0282501,0.108921
0.0282497,0.108921
0.0282497,0.114108
0.0282497,0.107617
0.0282497,0.108921
0.0282501,0.103734
0.0282501,0.103734
0.0282501,0.103734
0.0282497,0.109712
0.0282501,0.108921
0.0282501,0.112013
0.0282501,0.107771
0.0282509,0.108921
0.0282509,0.108921
0.0282509,0.114108
0.0282509,0.114108
0.0282509,0.114108
0.0282509,0.108921
0.0282517,0.111376
0.0282517,0.108921
0.0282517,0.108921
0.0282517,0.105676
0.0282517,0.108921
0.0282524,0.106189
0.0282524,0.108921
0.0282529,0.109712
0.0282529,0.107617
0.0282536,0.10734
0.0282536,0.107771
0.0282536,0.107771
0.0282536,0.108921
0.0282544,0.114108
0.0282544,0.109712
0.0282544,0.112804
0.0282552,0.108921
0.028256,0.108921
0.028256,0.108921
0.028256,0.112013
0.028256,0.111016
0.028256,0.10813
0.0282568,0.10698
0.0282568,0.10698
0.0282568,0.108921
0.0282568,0.108921
0.0282568,0.109712
0.0282568,0.112804
0.0282572,0.108921
0.028258,0.109712
0.028258,0.113317
0.028258,0.112957
0.028258,0.105676
0.028258,0.104885
0.028258,0.108921
0.028258,0.112013
0.0282588,0.108921
0.0282588,0.111016
0.0282588,0.108921
0.0282588,0.106189
0.0282588,0.110072
0.0282592,0.108921
0.0282592,0.111376
0.0282592,0.105676
0.02826,0.10698
0.02826,0.116049
0.02826,0.119295
0.02826,0.108921
0.0282604,0.106467
0.0282604,0.106467
0.0282612,0.112526
0.0282612,0.114108
0.0282612,0.113317
0.0282612,0.108921
0.0282616,0.108921
0.0282616,0.108921
0.0282624,0.108921
0.0282624,0.114108
0.0282624,0.107617
0.0282624,0.104525
0.0282624,0.107617
0.0282624,0.115259
0.0282624,0.108921
0.0282624,0.108921
0.0282624,0.114108
0.0282624,0.111376
0.0282631,0.103734
0.0282631,0.108921
0.0282636,0.102944
0.0282636,0.112166
0.0282636,0.112166
0.0282636,0.104525
0.0282643,0.11684
0.0282643,0.112957
0.0282643,0.108921
0.0282643,0.114108
0.0282643,0.112166
0.0282648,0.111376
0.0282648,0.10813
0.0282655,0.109712
0.0282655,0.108921
0.0282655,0.114108
0.028266,0.114108
0.028266,0.109712
0.028266,0.107771
0.028266,0.112526
0.028266,0.108921
0.028266,0.109712
0.028266,0.108921
0.028266,0.107771
0.0282667,0.108921
0.0282667,0.112804
0.0282667,0.114108
0.0282667,0.108921
0.0282667,0.103734
0.0282667,0.108921
0.0282675,0.110503
0.0282675,0.112957
0.0282679,0.106467
0.0282679,0.110503
0.0282679,0.114108
0.0282679,0.103734
0.0282679,0.108921
0.0282687,0.111653
0.0282691,0.110225
0.0282691,0.109712
0.0282691,0.114108
0.0282691,0.114108
0.0282696,0.116562
0.0282703,0.111376
0.0282703,0.118144
0.0282703,0.107771
0.0282703,0.110863
0.0282703,0.103734
0.0282703,0.104525
0.0282703,0.110072
0.0282703,0.112804
0.0282711,0.112957
0.0282711,0.110863
0.0282711,0.110072
0.0282711,0.108921
0.0282723,0.108921
0.0282723,0.114108
0.0282727,0.108921
0.0282727,0.108921
0.0282727,0.103734
0.0282735,0.107771
0.0282735,0.103734
0.0282735,0.10813
0.0282735,0.103734
0.0282739,0.106189
0.0282747,0.102944
0.0282747,0.103734
0.0282747,0.114108
0.0282755,0.114108
0.0282755,0.108921
0.0282755,0.118504
0.0282755,0.106467
0.0282763,0.10813
0.0282771,0.113317
0.0282771,0.114899
0.0282771,0.108921
0.0282771,0.110072
0.0282771,0.108921
0.0282779,0.105676
0.0282779,0.10813
0.0282779,0.111653
0.0282779,0.106189
0.0282779,0.106189
0.0282779,0.115259
0.0282779,0.108921
0.0282791,0.110072
0.0282795,0.10698
0.0282795,0.106467
0.0282795,0.113317
0.0282803,0.108921
0.0282803,0.112957
0.0282803,0.111653
0.0282807,0.113317
0.0282807,0.113317
0.0282807,0.108921
0.0282807,0.108921
0.0282807,0.114108
0.0282815,0.103734
0.0282815,0.108921
0.0282815,0.100129
0.0282815,0.111653
0.0282815,0.110072
0.0282815,0.114108
0.0282827,0.103734
0.0282831,0.108921
0.0282831,0.112957
0.0282831,0.112166
0.0282831,0.102153
0.0282839,0.110072
0.0282839,0.106467
0.0282839,0.114899
0.0282839,0.111653
0.0282846,0.110225
0.0282851,0.10734
0.0282846,0.105316
0.0282846,0.100129
0.0282855,0.104885
0.0282855,0.106467
0.0282855,0.112804
0.0282855,0.108921
0.0282855,0.112526
0.0282862,0.108921
0.0282862,0.112957
0.0282862,0.106036
0.0282862,0.103734
0.0282862,0.107617
0.028287,0.112166
0.0282874,0.107771
0.0282874,0.10813
0.0282874,0.106467
0.0282874,0.108921
0.0282882,0.106467
0.0282886,0.112166
0.0282886,0.10813
0.0282886,0.105829
0.0282891,0.112526
0.0282898,0.110072
0.0282898,0.106189
0.0282898,0.113317
0.0282906,0.114108
0.0282906,0.102431
0.028291,0.10813
0.0282918,0.110225
0.0282922,0.110072
0.0282922,0.108921
0.0282922,0.106189
0.028293,0.111376
0.028293,0.108921
0.028293,0.111376
0.028293,0.114108
0.0282934,0.108921
0.0282934,0.112957
0.028293,0.108921
0.0282938,0.114108
0.0282946,0.114108
0.0282946,0.116203
0.0282946,0.110072
0.0282946,0.108921
0.0282946,0.110072
0.0282946,0.114108
0.0282946,0.119295
0.0282946,0.114108
0.0282954,0.103734
0.0282954,0.114108
0.0282954,0.108921
0.0282958,0.115259
0.0282958,0.108921
0.0282958,0.114899
0.0282958,0.110863
0.0282966,0.116562
0.028297,0.107617
0.028297,0.106467
0.028297,0.110225
0.0282982,0.119295
0.0282982,0.114108
0.0282982,0.114108
0.0282982,0.112957
0.0282982,0.107617
0.028299,0.110225
0.028299,0.10813
0.028299,0.106189
0.0282994,0.104525
0.0282994,0.110072
0.0283002,0.103734
0.0283006,0.102584
0.0283006,0.111653
0.0283006,0.108921
0.0283014,0.103734
0.0283014,0.114899
0.0283014,0.114108
0.0283018,0.114108
0.0283026,0.111376
0.028303,0.114899
0.028303,0.111376
0.028303,0.103734
0.0283038,0.108921
0.0283038,0.106467
0.0283038,0.103734
0.0283042,0.107771
0.0283046,0.114108
0.0283054,0.110863
0.0283054,0.102944
0.0283054,0.110225
