Position in z [a.u.],Voltage [V]
0.0293297,0.103734
0.0293297,0.108921
0.0293297,0.106189
0.0293297,0.106189
0.0293297,0.108921
0.0293293,0.108921
0.0293297,0.106189
0.0293297,0.103734
0.0293297,0.106189
0.0293301,0.105038
0.0293301,0.108921
0.0293301,0.108921
0.0293301,0.10813
0.0293301,0.110072
0.0293301,0.114899
0.0293301,0.105038
0.0293301,0.110225
0.0293301,0.112804
0.0293301,0.103734
0.0293301,0.114108
0.0293301,0.112957
0.0293301,0.108921
0.0293301,0.108921
0.0293301,0.108921
0.0293301,0.102584
0.0293301,0.10128
0.0293301,0.101002
0.0293301,0.10813
0.0293301,0.109712
0.0293301,0.110225
0.0293301,0.118504
0.0293301,0.108921
0.0293301,0.108921
0.0293301,0.108921
0.0293301,0.107617
0.0293301,0.111653
0.0293301,0.108921
0.0293301,0.108921
0.0293301,0.108921
0.0293301,0.10813
0.0293301,0.114108
0.0293301,0.108921
0.0293301,0.104885
0.0293301,0.105676
0.0293301,0.107617
0.0293301,0.114108
0.0293301,0.108921
0.0293301,0.116049
0.0293301,0.111653
0.0293301,0.108921
0.0293301,0.10813
0.0293301,0.103734
0.0293301,0.105038
0.0293301,0.108921
0.0293301,0.108921
0.0293301,0.108921
0.0293301,0.112166
0.0293301,0.109712
0.0293301,0.108921
0.0293301,0.111653
0.0293301,0.111376
0.0293301,0.108921
0.0293301,0.108921
0.0293301,0.108921
0.0293301,0.108921
0.0293301,0.108921
0.0293301,0.107617
0.0293301,0.112804
0.0293301,0.111376
0.0293301,0.110072
0.0293301,0.103734
0.0293301,0.107617
0.0293301,0.110072
0.0293301,0.103734
0.0293301,0.106467
0.0293301,0.112526
0.0293301,0.108921
0.0293301,0.10128
0.0293301,0.108921
0.0293301,0.104885
0.0293301,0.102584
0.0293301,0.103734
0.0293301,0.110072
0.0293301,0.103734
0.0293301,0.108921
0.0293301,0.114108
0.0293301,0.105676
0.0293301,0.111376
0.0293301,0.110072
0.0293301,0.103734
0.0293301,0.105316
0.0293301,0.103734
0.0293301,0.114108
0.0293301,0.112957
0.0293301,0.0993385
0.0293301,0.110072
0.0293301,0.107771
0.0293301,0.104525
0.0293301,0.110225
0.0293301,0.108921
0.0293301,0.114108
0.0293301,0.112166
0.0293301,0.104885
0.0293301,0.108921
0.0293301,0.108921
0.0293301,0.108921
0.0293301,0.113317
0.0293301,0.112013
0.0293301,0.108921
0.0293301,0.114108
0.0293301,0.108921
0.0293301,0.105316
0.0293301,0.103734
0.0293301,0.104885
0.0293301,0.10813
0.0293301,0.103734
0.0293301,0.111376
0.0293301,0.114108
0.0293301,0.114108
0.0293297,0.110863
0.029329,0.10698
0.029327,0.108921
0.0293246,0.111376
0.0293215,0.112804
0.0293187,0.114108
0.0293151,0.107617
0.0293112,0.100489
0.0293076,0.105676
0.0293057,0.108921
0.0293045,0.106467
0.0293041,0.109712
0.0293041,0.108921
0.0293041,0.104885
0.0293041,0.114899
0.0293041,0.107771
0.0293041,0.108921
0.0293041,0.111807
0.0293041,0.10698
0.0293041,0.110072
0.0293041,0.110863
0.0293041,0.108921
0.0293041,0.102584
0.0293041,0.108921
0.0293041,0.112526
0.0293033,0.103734
0.0293033,0.108921
0.0293021,0.114899
0.0293005,0.115259
0.0292978,0.114108
0.0292914,0.114108
0.0292863,0.114108
0.0292823,0.110225
