Position in z [m],Voltage [V]
0.0291375,0.244567
0.0291375,0.242472
0.0291375,0.246508
0.0291375,0.246508
0.0291379,0.242985
0.0291387,0.243776
0.0291387,0.240531
0.0291387,0.239893
0.0291387,0.241681
0.0291395,0.23974
0.0291395,0.248963
0.0291395,0.245717
0.0291395,0.244927
0.0291403,0.248963
0.0291407,0.250266
0.0291407,0.245871
0.0291415,0.241834
0.0291415,0.245717
0.0291419,0.244567
0.0291419,0.251695
0.0291419,0.254149
0.0291431,0.245717
0.0291431,0.247812
0.0291431,0.254149
0.0291439,0.252208
0.0291439,0.248963
0.0291439,0.242625
0.0291443,0.242625
0.0291447,0.248963
0.0291455,0.248172
0.0291455,0.243776
0.0291455,0.24508
0.0291455,0.243776
0.0291463,0.248963
0.0291467,0.24845
0.0291471,0.247381
0.0291471,0.250266
0.0291479,0.240531
0.0291479,0.247381
0.0291484,0.24623
0.0291491,0.248963
0.0291491,0.250266
0.0291496,0.248963
0.0291496,0.243776
0.0291503,0.238589
0.0291503,0.245717
0.0291503,0.247021
0.0291508,0.248172
0.0291516,0.247381
0.029152,0.241321
0.029152,0.24623
0.0291524,0.245717
0.0291532,0.249753
0.0291532,0.243776
0.0291532,0.240531
0.0291536,0.243776
0.0291548,0.243776
0.0291548,0.243776
0.0291548,0.241321
0.0291556,0.243776
0.0291556,0.245717
0.029156,0.24623
0.0291564,0.243776
0.0291572,0.242985
0.0291572,0.244567
0.0291572,0.247021
0.0291572,0.244927
0.029158,0.240531
0.0291589,0.247812
0.0291589,0.243776
0.0291596,0.24508
0.0291596,0.250544
0.0291601,0.245358
0.0291605,0.242625
0.0291613,0.244927
0.0291613,0.243776
0.0291613,0.238589
0.0291613,0.243776
0.0291621,0.24508
0.0291629,0.242625
0.0291629,0.254149
0.0291629,0.246077
0.0291637,0.244927
0.0291637,0.243776
0.0291637,0.240531
0.0291653,0.238589
0.0291653,0.24623
0.0291653,0.250904
0.0291653,0.243776
0.0291661,0.238589
0.029167,0.244927
0.029167,0.243776
0.0291677,0.24508
0.0291677,0.247659
0.0291677,0.242194
0.0291689,0.247021
0.0291694,0.252055
0.0291694,0.248963
0.0291694,0.240531
0.0291702,0.248963
0.0291702,0.244567
0.029171,0.250266
0.0291718,0.247812
0.0291718,0.252055
0.0291718,0.241834
0.0291726,0.245717
0.029173,0.245358
0.0291734,0.248963
0.0291734,0.248963
0.0291742,0.247812
0.0291742,0.247021
0.029175,0.246661
0.029175,0.242194
0.0291758,0.243776
0.0291758,0.244567
0.0291766,0.241321
0.0291766,0.241475
0.0291775,0.243776
0.0291775,0.242472
0.0291782,0.247381
0.0291782,0.242985
0.0291782,0.242625
0.0291799,0.243776
0.0291799,0.248963
0.0291799,0.252999
0.0291807,0.247812
0.0291807,0.238589
0.0291811,0.249476
0.0291815,0.246508
0.0291823,0.244927
0.0291823,0.244567
0.0291823,0.250904
0.0291831,0.252999
0.0291839,0.248963
0.0291839,0.243776
0.0291839,0.242625
0.0291847,0.245717
0.0291851,0.242625
0.0291855,0.238589
0.0291863,0.241321
0.0291863,0.248963
0.0291863,0.248963
0.0291872,0.248963
0.029188,0.243776
0.029188,0.248963
0.029188,0.248963
0.0291888,0.252846
0.0291892,0.246508
0.0291896,0.252208
0.0291904,0.251417
0.0291904,0.248172
0.0291904,0.250266
0.0291916,0.248963
0.0291916,0.254149
0.029192,0.249753
0.0291928,0.247381
0.0291928,0.248963
0.0291932,0.248963
0.0291932,0.243776
0.029194,0.247812
0.0291944,0.242472
0.0291948,0.246508
0.0291956,0.244567
0.0291956,0.243776
0.0291961,0.250113
0.0291968,0.244927
0.0291973,0.24623
0.0291973,0.243776
0.0291977,0.243776
0.0291985,0.248963
0.0291985,0.243776
0.0291989,0.248963
0.0291997,0.246508
0.0292001,0.248963
0.0292001,0.247812
0.0292009,0.242985
0.0292013,0.247812
0.0292013,0.243776
0.0292021,0.243776
0.0292025,0.250113
0.0292029,0.242985
0.0292037,0.248963
0.0292037,0.252055
0.0292037,0.254149
0.0292049,0.254149
0.0292054,0.251417
0.0292054,0.248963
0.0292061,0.247659
0.0292061,0.251695
0.0292066,0.251417
0.029207,0.254149
0.0292078,0.250904
0.0292078,0.247021
0.0292082,0.248963
0.0292094,0.248963
0.0292094,0.24508
0.0292094,0.243776
0.0292102,0.248172
0.0292102,0.248172
0.029211,0.245717
0.029211,0.254149
0.0292118,0.248963
0.0292118,0.246508
0.0292126,0.243776
0.0292134,0.24623
0.0292134,0.248963
0.0292134,0.246868
0.0292142,0.245717
0.0292147,0.24623
0.0292151,0.248963
0.0292159,0.249753
0.0292159,0.243776
0.0292159,0.243776
0.0292171,0.246508
0.0292175,0.249753
0.0292175,0.248963
0.0292175,0.243776
0.0292187,0.244567
0.0292191,0.248963
0.0292191,0.252846
0.0292199,0.249753
0.0292199,0.251695
0.0292203,0.248963
0.0292211,0.244927
0.0292215,0.250266
0.0292215,0.243776
0.0292227,0.243776
0.0292227,0.243776
0.0292227,0.243776
0.0292235,0.244567
0.0292244,0.248963
0.0292244,0.247659
0.0292252,0.248172
0.0292252,0.247659
0.0292252,0.248963
0.0292268,0.248963
0.0292268,0.247812
0.0292268,0.249753
0.0292276,0.252208
0.0292276,0.244927
0.0292284,0.241834
0.0292292,0.24623
0.0292292,0.243776
0.0292292,0.24623
0.0292308,0.245717
0.0292308,0.251695
0.0292308,0.243776
0.0292308,0.252208
0.0292316,0.246508
0.0292325,0.244927
0.0292325,0.248172
0.0292333,0.248963
0.0292333,0.250113
0.0292337,0.245717
0.0292349,0.241321
0.0292349,0.252055
0.0292349,0.248963
0.0292357,0.24508
0.0292361,0.243776
0.0292365,0.242985
0.0292373,0.247812
0.0292373,0.248172
0.0292373,0.250113
0.0292385,0.249753
0.0292385,0.248963
0.0292389,0.254149
0.0292397,0.248963
0.0292401,0.251848
0.0292401,0.248963
0.0292409,0.254149
0.0292413,0.256882
0.0292413,0.257395
0.0292418,0.2553
0.0292425,0.249753
0.0292425,0.254149
0.0292438,0.250113
0.0292438,0.254149
0.0292442,0.254149
0.029245,0.250113
0.029245,0.254149
0.029245,0.251417
0.0292466,0.254149
0.0292466,0.2553
0.0292466,0.254149
0.0292474,0.252846
0.0292474,0.254149
0.0292482,0.248963
0.029249,0.248963
0.029249,0.259336
0.029249,0.254149
0.0292502,0.254149
0.0292506,0.255731
0.0292506,0.253872
0.0292514,0.254149
0.0292514,0.257395
0.0292518,0.255453
0.0292531,0.259336
0.0292531,0.259336
0.0292531,0.263219
0.0292543,0.258545
0.0292543,0.259336
0.0292547,0.255453
0.0292555,0.259336
0.0292559,0.259336
0.0292567,0.264523
0.0292567,0.261791
0.0292567,0.265827
0.0292579,0.261278
0.0292583,0.267768
0.0292583,0.263219
0.0292591,0.26971
0.0292591,0.265673
0.0292591,0.264523
0.0292607,0.26971
0.0292607,0.268128
0.0292607,0.267768
0.0292615,0.268406
0.0292615,0.277198
0.0292624,0.264523
0.0292631,0.272164
0.0292631,0.274896
0.0292639,0.274896
0.0292643,0.28527
0.0292648,0.28527
0.0292656,0.28642
0.0292656,0.291247
0.0292663,0.293189
0.0292668,0.295643
0.0292672,0.298375
0.029268,0.298888
0.029268,0.30083
0.0292684,0.305226
