Position in z [m],Voltage [V]
0.0260765,0.0974522
0.0260765,0.0976458
0.0260765,0.0976458
0.0260765,0.0978698
0.0260765,0.0980725
0.0260765,0.0980725
0.0260765,0.098256
0.0260765,0.0984121
0.0260765,0.0984121
0.0260765,0.0985632
0.0260765,0.098633
0.0260765,0.098633
0.0260765,0.0978478
0.0260765,0.0978731
0.0260765,0.0978731
0.0260765,0.0980755
0.0260765,0.0982587
0.0260765,0.098348
0.0260765,0.098348
0.0260765,0.0977439
0.0260765,0.0971314
0.0260765,0.0964528
0.0260765,0.0964528
0.0260765,0.0958773
0.0260765,0.095318
0.0260765,0.095318
0.0260765,0.0952064
0.0260765,0.0953042
0.0260765,0.0953042
0.0260765,0.0957511
0.0260765,0.0961554
0.0260765,0.0961554
0.0260765,0.0965213
0.0260765,0.0968523
0.0260765,0.0970475
0.0260765,0.0971519
0.0260765,0.0974132
0.0260765,0.0974991
0.0260769,0.0974991
0.0260769,0.0970539
0.0260769,0.0964484
0.0260769,0.0964484
0.0260769,0.0958837
0.0260769,0.0953238
0.0260769,0.0953238
0.0260769,0.0948365
0.0260769,0.0945818
0.0260769,0.0945818
0.0260769,0.0950974
0.0260769,0.0953745
0.0260769,0.0958147
0.0260769,0.0958147
0.0260769,0.096213
0.0260769,0.0965254
0.0260769,0.0965254
0.0260769,0.0968187
0.0260769,0.0970647
0.0260769,0.0970647
0.0260769,0.097344
0.0260769,0.097625
0.0260769,0.097625
0.0260769,0.0976194
0.0260769,0.0978183
0.0260777,0.0978183
0.0260777,0.098026
0.0260777,0.0980989
0.0260777,0.0980989
0.0260777,0.0973282
0.0260777,0.0971214
0.0260777,0.0964633
0.0260777,0.0964633
0.0260777,0.0959049
0.0260777,0.0954746
0.0260777,0.0954746
0.0260777,0.0949906
0.0260777,0.0947539
0.0260777,0.0948202
0.0260777,0.0948202
0.0260777,0.0943712
0.0260777,0.0939552
0.0260777,0.0940119
0.0260777,0.0940119
0.0260777,0.0944307
0.0260777,0.0941688
0.0260777,0.0941688
0.0260777,0.0940053
0.0260777,0.0936335
0.0260777,0.0932878
0.0260777,0.0932878
0.0260777,0.0935905
0.0260781,0.0941909
0.0260781,0.0941909
0.0260781,0.094715
0.0260781,0.0951034
0.0260781,0.0951034
0.0260781,0.0955694
0.0260781,0.095991
0.0260781,0.095991
0.0260781,0.0963725
0.0260781,0.0967177
0.0260781,0.0967177
0.0260781,0.0970301
0.0260781,0.0973127
0.0260789,0.0975684
0.0260789,0.0975684
0.0260789,0.0977904
0.0260789,0.0979438
0.0260789,0.0979438
0.0260789,0.0981395
0.0260789,0.098335
0.0260789,0.098335
0.0260789,0.0984935
0.0260789,0.0986368
0.0260789,0.0986368
0.0260789,0.0987186
0.0260789,0.0986978
0.0260789,0.0986978
0.0260789,0.0988217
0.0260789,0.0989338
0.0260789,0.0989338
0.0260789,0.0990353
0.0260789,0.099155
0.0260789,0.0993222
0.0260796,0.0993222
0.0260796,0.0998128
0.0260796,0.0998306
0.0260796,0.0998306
0.0260796,0.0998371
0.0260796,0.0998526
0.0260796,0.0998527
0.0260796,0.0997693
0.0260796,0.0997815
0.0260796,0.0997928
0.0260796,0.0997928
0.0260796,0.0994033
0.02608,0.0993191
0.02608,0.0993839
0.02608,0.0993839
0.02608,0.0994425
0.02608,0.0994386
0.02608,0.0994386
0.02608,0.0994921
0.02608,0.0995404
0.02608,0.0995404
0.02608,0.0995841
0.02608,0.0996237
0.02608,0.0996237
0.02608,0.0996595
0.02608,0.0996919
0.02608,0.0996919
0.02608,0.0997212
0.02608,0.09968
0.0260808,0.09968
0.0260808,0.0997105
0.0260808,0.0996992
0.0260808,0.0993598
0.0260808,0.0993598
0.0260808,0.0993749
0.0260808,0.0994343
0.0260808,0.0994343
0.0260808,0.0992507
0.0260808,0.0993023
0.0260808,0.0993023
0.0260808,0.0992932
0.0260808,0.0993055
0.0260808,0.0993055
0.0260808,0.0992186
0.0260808,0.0992745
0.0260808,0.0993336
0.0260808,0.0993336
0.0260815,0.099265
0.0260815,0.0993349
0.0260815,0.0984466
0.0260815,0.0984466
0.0260815,0.0976614
0.0260815,0.0976614
0.0260815,0.0969324
0.0260815,0.0967068
0.0260815,0.0967068
0.0260815,0.0966818
0.0260815,0.0968078
0.0260815,0.0968078
0.026082,0.0971116
0.026082,0.0973865
0.026082,0.0973865
0.026082,0.0976352
0.026082,0.0978602
0.026082,0.0980638
0.026082,0.0980638
0.026082,0.0982481
0.0260824,0.0984148
0.0260824,0.0984148
0.0260824,0.0985657
0.0260824,0.0985657
0.0260824,0.0986156
0.0260824,0.0986631
0.0260824,0.0987231
0.0260824,0.0987231
0.0260831,0.0988446
0.0260831,0.0989546
0.0260831,0.0989546
0.0260831,0.0990541
0.0260831,0.0990541
0.0260831,0.0991441
0.0260831,0.0991787
0.0260831,0.0991787
0.0260831,0.0992568
0.0260831,0.0993275
0.0260831,0.0993275
0.0260831,0.0993915
0.0260831,0.0994494
0.0260831,0.0994339
0.0260831,0.0994339
0.0260831,0.0994691
0.0260831,0.0993476
0.0260831,0.0993476
0.0260831,0.0993912
0.0260831,0.0994492
0.0260839,0.0994492
0.0260839,0.0995016
0.0260839,0.0986447
0.0260839,0.0986447
0.0260839,0.097822
0.0260843,0.0970395
0.0260843,0.0963601
0.0260843,0.0963601
0.0260843,0.0957549
0.0260843,0.0952172
0.0260843,0.095205
0.0260843,0.0949443
0.0260843,0.0944639
0.0260843,0.0940391
0.0260847,0.0940391
0.0260847,0.0946063
0.0260847,0.0951196
0.0260847,0.0951196
0.0260847,0.0954589
0.0260847,0.0958911
0.0260847,0.0958911
0.0260847,0.0962821
0.0260855,0.0962821
0.0260855,0.0965784
0.0260855,0.096904
0.0260855,0.0971512
0.0260855,0.0971512
0.0260855,0.097413
0.0260855,0.0976592
0.0260855,0.0976592
0.0260855,0.0978634
0.0260855,0.0980667
0.0260855,0.0980667
0.0260855,0.0982507
0.0260855,0.0983895
0.0260855,0.0983895
0.0260855,0.0984762
0.0260855,0.0986212
0.0260855,0.0986212
0.0260855,0.0987524
0.0260855,0.0989088
0.0260855,0.0989088
0.0260867,0.0989297
0.0260867,0.0990315
0.0260867,0.0990315
0.0260867,0.0991237
0.0260867,0.0992071
0.0260867,0.099386
0.0260867,0.099386
0.0260867,0.0994538
0.0260867,0.0995058
0.0260867,0.0995058
0.0260867,0.0995528
0.0260871,0.0995954
0.0260871,0.0995954
0.0260871,0.0996339
0.0260871,0.0996687
0.0260871,0.0996687
0.0260871,0.0997003
0.0260871,0.099134
0.0260871,0.099134
0.0260871,0.0983028
0.0260871,0.0976139
0.0260875,0.0968893
0.0260883,0.0968893
0.0260883,0.0962337
0.0260883,0.0958997
0.0260883,0.0962612
0.0260883,0.0962612
0.0260883,0.096617
0.0260883,0.0969389
0.0260883,0.0969389
0.0260883,0.0972302
0.0260883,0.0974938
0.0260883,0.0974938
0.0260883,0.0977323
0.0260883,0.0979481
0.0260883,0.0979481
0.0260883,0.0980368
0.0260883,0.0974068
0.0260883,0.0975774
0.0260883,0.0975774
0.0260883,0.0977017
0.0260883,0.0978915
0.026089,0.0980921
0.026089,0.0980921
0.026089,0.0982737
0.026089,0.098438
0.026089,0.098438
0.026089,0.0985866
0.026089,0.0987211
0.0260895,0.0987211
0.0260895,0.0988428
0.0260895,0.0989529
0.0260895,0.0989529
0.0260895,0.0990526
0.0260895,0.0991427
0.0260895,0.0991427
0.0260899,0.0992243
0.0260899,0.0992981
0.0260899,0.0992981
0.0260899,0.0993649
