Position in z [m],Voltage [V]
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257485,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257492,0.1
0.0257496,0.1
0.0257496,0.1
0.0257496,0.1
0.0257496,0.1
0.0257496,0.1
0.0257496,0.1
0.0257496,0.1
0.0257496,0.1
0.0257496,0.1
0.0257496,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257504,0.1
0.0257508,0.1
0.0257508,0.1
0.0257508,0.1
0.0257508,0.1
0.0257508,0.1
0.0257508,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.0257516,0.1
0.025752,0.1
0.025752,0.1
0.025752,0.1
0.025752,0.1
0.025752,0.1
0.025752,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257527,0.1
0.0257535,0.1
0.0257535,0.1
0.0257535,0.1
0.0257535,0.1
0.0257535,0.1
0.0257535,0.1
0.0257535,0.1
0.0257535,0.1
0.0257535,0.1
0.0257535,0.1
0.0257539,0.1
0.0257539,0.1
0.0257539,0.1
0.0257539,0.1
0.0257539,0.1
0.0257539,0.1
0.0257539,0.1
0.0257539,0.1
0.0257539,0.1
0.0257539,0.1
0.0257547,0.1
0.0257547,0.1
0.0257547,0.1
0.0257547,0.1
0.0257547,0.1
0.0257547,0.1
0.0257547,0.1
0.0257547,0.1
0.0257547,0.1
0.0257547,0.1
0.0257547,0.1
0.0257547,0.1
0.0257547,0.1
0.0257547,0.1
0.0257547,0.1
0.0257551,0.1
0.0257551,0.1
0.0257551,0.1
0.0257551,0.1
0.0257551,0.1
0.0257551,0.1
0.0257551,0.1
0.0257551,0.1
0.0257551,0.1
0.0257551,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.0257563,0.1
0.025757,0.1
0.025757,0.1
0.025757,0.1
0.025757,0.1
0.025757,0.1
0.025757,0.1
0.025757,0.1
0.025757,0.1
0.025757,0.1
0.025757,0.1
0.0257574,0.1
0.0257574,0.1
0.0257574,0.1
0.0257574,0.1
0.0257574,0.1
0.0257574,0.1
0.0257574,0.1
0.0257574,0.1
0.0257579,0.1
0.0257579,0.1
0.0257579,0.1
0.0257579,0.1
0.0257579,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257586,0.1
0.0257594,0.1
0.0257594,0.1
0.0257594,0.1
0.0257594,0.1
0.0257594,0.1
0.0257594,0.1
0.0257594,0.1
0.0257594,0.1
0.0257594,0.1
0.0257598,0.1
0.0257598,0.1
0.0257598,0.1
