Position in z [m],Voltage [V]
0.0202703,0
0.0202703,0
0.0202703,0
0.0202703,0
0.0202703,0
0.0202711,0
0.0202711,0
0.0202711,0
0.0202711,0
0.020272,0
0.020272,0
0.020272,0
0.0202728,0
0.0202732,0
0.020274,0
0.020274,0
0.0202748,0
0.0202748,0
0.0202757,0
0.0202757,0
0.0202765,0
0.0202769,0
0.0202777,0
0.0202777,0
0.020279,0
0.020279,0
0.0202798,0
0.0202806,0
0.0202806,0
0.0202814,0
0.0202827,0
0.0202827,0
0.0202835,0
0.0202843,0
0.0202843,0
0.0202851,0
0.0202864,0
0.0202864,0
0.0202872,0
0.0202884,0
0.0202884,0
0.0202892,0
0.02029,0
0.0202913,0
0.0202917,0
0.0202925,0
0.0202934,0
0.0202942,0
0.020295,0
0.0202958,0
0.0202967,0
0.0202975,0
0.0202975,0
0.0202983,0
0.0202995,0
0.0202995,0
0.0203004,0
0.0203012,0
0.020302,0
0.0203032,0
0.0203045,0
0.0203045,0
0.0203053,0
0.0203061,0
0.0203074,0
0.0203082,0
0.0203082,0
0.0203094,0
0.0203102,0
0.0203115,0
0.0203123,0
0.0203131,0
0.0203139,-0
0.0203147,0
0.020316,0
0.0203164,0
0.0203172,0
0.020318,0
0.0203189,0
0.0203197,0
0.0203209,0
0.0203217,0
0.0203226,-0.000206454
0.0203226,-0.000206454
0.0203234,-0.000206454
0.0203246,-0.000206454
0.0203259,-0.000206454
0.0203267,0
0.0203275,0
0.0203283,0
0.0203296,0
0.0203296,0
0.0203304,0
0.0203316,0
0.0203324,0
0.0203333,0
0.0203337,0
0.0203345,0
0.0203353,0
0.0203361,0
0.020337,0
0.0203378,0
0.020339,0
0.0203403,0
0.0203411,0
0.0203419,0
0.0203427,0
0.0203435,0
0.020344,0
0.0203448,0
0.0203456,0
0.0203468,0
0.0203476,0
0.0203489,0
0.0203497,0
0.0203505,0
0.0203513,0
0.0203522,0
0.0203534,0
0.0203542,0
0.0203555,0
0.0203563,0
0.0203571,0
0.0203579,0
0.0203587,0
0.0203595,0
0.0203608,0.000201267
0.0203616,0.000201267
0.0203624,0.000201267
0.0203637,0.000201267
0.0203645,0.000201267
0.0203653,0.000411413
0.0203665,0.000411413
0.0203674,0.000411413
0.0203682,0.000411413
0.020369,0.000411413
0.0203698,0
0.0203702,0
0.0203715,0
0.0203723,0
0.0203731,0
0.0203739,0
0.0203748,0
0.0203756,0
0.0203768,0
0.0203781,0
0.0203789,0
0.0203789,0
0.0203797,0
0.0203805,0
0.0203818,0
0.0203826,0
0.0203826,0
0.0203834,0
0.0203846,0
0.0203854,0
0.0203867,0
0.0203875,0
0.0203883,0
0.0203883,0
0.0203891,0
0.0203908,0
0.0203916,0
0.0203924,0
0.0203933,0
0.0203941,0
0.0203949,0
0.0203961,0
0.0203961,0
0.020397,0
0.0203982,0
0.020399,0
0.0204003,0
0.0204011,0
0.0204019,0
0.0204027,0
0.0204035,0
0.0204052,0
0.0204052,0
0.020406,0
0.0204068,0
0.0204076,0
0.0204089,0
0.0204101,0
0.0204109,0
0.0204109,0
0.0204118,0
0.020413,0
0.0204138,0
0.0204146,0
0.0204155,0
0.0204167,0
0.0204179,0
0.0204188,0
0.0204196,0
0.0204204,0
0.0204204,0
0.0204216,0
0.0204229,0
0.0204237,0
0.0204245,0
0.0204253,0
0.0204266,0
0.0204266,0
0.0204274,0
0.0204282,0
0.0204295,0
0.0204307,0
0.0204315,0
0.0204323,0
0.0204331,0
0.0204348,0
0.0204356,0
0.0204365,0
0.0204373,0
0.0204385,0
0.0204385,0
0.0204398,0
0.020441,0
0.0204418,0
0.0204426,0
0.0204434,0
0.0204443,0
0.0204455,0
0.0204459,0
0.0204468,0
0.0204476,0
0.0204488,0
0.0204496,0
0.0204504,0
0.0204521,0
0.0204529,0
0.0204537,0
0.0204537,0
0.020455,0
0.0204562,0
0.0204571,0
0.0204579,0
0.0204587,0
0.0204604,0
0.0204612,0
0.020462,0
0.0204628,0
0.020464,0
0.020464,0
0.0204649,0
0.0204661,0
0.0204674,0
0.0204682,0
0.020469,0
0.0204698,0
0.0204715,0
0.0204723,0
0.0204731,0
0.0204731,0
0.0204748,0
0.0204756,0
0.0204764,0
0.0204777,0
0.0204785,0
0.0204797,0
0.0204797,0
0.020481,0
0.0204818,0
0.0204826,0
0.0204838,0
0.0204843,0
0.0204851,0
0.0204859,0
0.0204871,0
0.0204876,0
0.0204884,0
0.0204892,0
0.0204909,0
0.0204917,0
0.0204925,0
0.0204929,0
0.0204942,0
0.020495,0
0.0204962,0
0.0204975,0
0.0204983,0
0.0204995,0
0.0205003,0
0.0205016,0
0.0205028,0
0.0205028,0
0.0205036,0
0.0205049,0
0.0205061,0
0.0205069,0.000103996
0.0205078,0.000103996
0.0205086,0.000103996
0.0205094,0.000103996
0.0205111,0
0.0205119,0
0.0205127,0
0.020514,0
0.0205144,0
0.0205152,-0.000402457
0.0205165,-0.000402457
0.0205177,-0.000402457
0.0205177,-0.000402457
0.0205189,-0.000402457
0.0205202,0
0.020521,0
0.0205214,0
0.0205227,0
0.0205235,0
0.0205247,0
0.020526,0
0.020526,0
0.0205272,0
0.0205285,0
0.0205293,0
0.0205305,0
0.0205309,0
0.0205322,0
0.020533,0
0.0205342,0
0.0205355,0
0.0205367,0
0.0205375,0
0.0205388,0
0.0205392,0
0.0205405,0
0.0205417,0
0.0205425,0
0.0205438,0
0.020545,0
0.0205454,0
0.0205462,0
0.0205475,0
0.0205487,0
0.0205491,0
0.0205504,0
0.0205512,0
0.020552,0
0.0205529,0
0.0205537,0
0.0205554,0
0.0205562,0
0.0205574,0
0.0205578,0
0.0205587,0
0.0205603,0
0.0205611,0
0.0205624,0
0.0205628,0
0.0205636,0
0.0205653,0
0.0205661,0
0.020567,0
0.0205678,0
0.020569,0
0.0205694,0
0.0205707,0
0.0205719,0
0.0205724,0
0.0205736,0
0.0205748,0
0.0205761,0
0.0205773,0
0.0205773,0
0.020579,0
0.0205798,0
0.0205815,0
0.0205815,0
0.0205832,0
0.020584,0
0.0205848,0
0.0205856,0
0.0205865,0
0.0205877,0
0.020589,0
0.0205894,0
0.0205906,0
0.0205919,0
0.0205923,0
0.020594,0
0.0205948,0
0.0205956,0
0.0205965,0
0.0205981,0
0.0205986,0
0.0205998,0
0.020601,0
0.0206015,0
0.0206027,0
0.0206039,0
0.0206039,0
0.0206052,0
0.0206064,0
0.0206069,0
0.0206081,0
0.0206093,0
0.0206098,0
0.020611,0
0.0206122,0
0.0206127,0
0.0206139,0
0.0206152,0
0.0206156,0
0.0206173,0
0.0206181,0
0.0206197,0
0.0206197,0
0.0206214,0
0.0206222,0
0.0206231,0
0.0206239,0
0.0206251,0
0.0206256,0
0.0206264,0
0.0206272,0
0.020628,0
0.0206297,0
0.0206297,0
0.0206309,0
0.0206318,0
0.0206334,0
0.0206338,0
0.0206351,0
0.0206359,0
0.0206359,0
0.0206375,0
0.0206384,0
0.0206384,0
0.0206396,0
0.0206404,0
0.0206404,0
0.0206421,0
0.0206429,0
0.0206429,0
0.0206441,0
0.0206449,0
0.0206458,0
0.0206466,0
0.0206474,0
0.0206482,0
0.0206495,0
0.0206507,0
0.0206515,0
0.0206528,0
0.0206528,0
0.0206545,0
0.0206553,0
0.0206561,0
0.0206573,0
0.0206586,0
0.0206586,0
0.0206598,0
0.0206606,0
0.0206623,0
0.0206631,0
0.0206639,0
0.0206648,0
0.0206656,0
0.0206664,0
0.0206672,0
0.0206681,0
0.0206689,0
0.0206701,0
0.0206714,0
0.0206722,0
0.0206734,0
0.0206734,0
0.0206747,0
0.0206759,0
0.0206767,0
0.020678,0
0.0206784,0
0.0206792,0
0.0206809,0
0.0206817,0
0.0206817,0
0.0206834,0
0.0206842,0
0.0206854,0
0.0206859,0
0.0206867,0
0.0206879,0
0.0206883,0
0.0206896,0
0.0206904,0
0.0206921,0
0.0206921,0
0.0206933,0
0.0206945,0
0.0206954,0.000102859
0.0206958,0.000102859
0.020697,0.000102859
0.0206983,0.000102859
0.0206995,0.000102859
0.0207007,-0.000505426
0.0207016,-0.000505426
0.0207024,-0.000505426
0.0207032,-0.000505426
0.0207045,-0.000505426
0.0207057,0.000301848
0.020707,0.000301848
0.0207074,0.000301848
0.0207082,0.000301848
0.0207099,0
0.0207107,0
0.0207119,0
0.0207123,0
0.0207136,0
0.0207144,0
0.0207156,0
0.0207169,0
0.0207181,0
0.0207186,0
0.0207198,0
0.020721,0
0.0207219,0
0.0207231,0
0.0207235,0
0.0207248,0
0.0207256,0
0.0207268,0
0.0207281,0
0.0207285,0
0.0207297,0
