Position in z [m],Voltage [V]
0.0274662,0.02
0.0274658,0.02
0.0274658,0.02
0.0274658,0.02
0.0274658,0.02
0.0274658,0.02
0.0274658,0.02
0.0274662,0.02
0.0274662,0.02
0.0274666,0.02
0.0274674,0.02
0.0274678,0.02
0.0274678,0.02
0.0274678,0.02
0.0274678,0.02
0.0274686,0.02
0.0274686,0.02
0.0274686,0.02
0.0274691,0.02
0.0274703,0.02
0.0274703,0.02
0.0274703,0.02
0.0274703,0.02
0.0274711,0.02
0.0274711,0.02
0.0274715,0.02
0.0274715,0.02
0.0274715,0.02
0.0274727,0.02
0.0274727,0.02
0.0274727,0.02
0.0274727,0.02
0.0274739,0.02
0.0274743,0.02
0.0274743,0.02
0.0274743,0.02
0.0274751,0.02
0.0274751,0.02
0.0274756,0.02
0.0274764,0.02
0.0274768,0.02
0.0274768,0.02
0.0274768,0.02
0.0274776,0.02
0.0274776,0.02
0.0274776,0.02
0.0274784,0.02
0.0274792,0.02
0.0274792,0.02
0.0274792,0.02
0.02748,0.02
0.0274804,0.02
0.0274808,0.02
0.0274808,0.02
0.0274816,0.02
0.0274816,0.02
0.0274821,0.02
0.0274821,0.02
0.0274833,0.02
0.0274833,0.02
0.0274833,0.02
0.0274833,0.02
0.0274845,0.02
0.0274845,0.02
0.0274849,0.02
0.0274849,0.02
0.0274857,0.02
0.0274857,0.02
0.0274861,0.02
0.0274873,0.02
0.0274873,0.02
0.0274873,0.02
0.0274873,0.02
0.0274881,0.02
0.0274886,0.02
0.027489,0.02
0.0274898,0.02
0.0274898,0.02
0.0274898,0.02
0.0274902,0.02
0.027491,0.02
0.0274914,0.02
0.0274914,0.02
0.0274922,0.02
0.0274922,0.02
0.0274926,0.02
0.0274926,0.02
0.0274938,0.02
0.0274938,0.02
0.0274938,0.02
0.0274943,0.02
0.0274951,0.02
0.0274955,0.02
0.0274955,0.02
0.0274963,0.02
0.0274963,0.02
0.0274967,0.02
0.0274967,0.02
0.0274979,0.02
0.0274979,0.02
0.0274979,0.02
0.0274991,0.02
0.0274991,0.02
0.0274995,0.02
0.0275003,0.02
0.0275003,0.02
0.0275008,0.02
0.0275012,0.02
0.027502,0.02
0.027502,0.02
0.027502,0.02
0.0275024,0.02
0.0275032,0.02
0.0275036,0.02
0.0275036,0.02
0.0275044,0.02
0.0275044,0.02
0.0275048,0.02
0.027506,0.02
0.027506,0.02
0.027506,0.02
0.0275068,0.02
0.0275072,0.02
0.0275077,0.02
0.0275077,0.02
0.0275077,0.02
0.0275084,0.02
0.0275089,0.02
0.0275093,0.02
0.0275101,0.02
0.0275101,0.02
0.0275101,0.02
0.0275109,0.02
0.0275113,0.02
0.0275117,0.02
0.0275117,0.02
0.0275125,0.02
0.0275125,0.02
0.0275134,0.02
0.0275141,0.02
0.0275141,0.02
0.0275141,0.02
0.0275149,0.02
0.0275153,0.02
0.0275158,0.02
0.0275158,0.02
0.0275166,0.02
0.0275166,0.02
0.027517,0.02
0.0275182,0.02
0.0275182,0.02
0.0275182,0.02
0.0275182,0.02
0.0275194,0.02
0.0275198,0.02
0.0275198,0.02
0.0275206,0.02
0.0275206,0.02
0.027521,0.02
0.0275223,0.02
0.0275223,0.02
0.0275223,0.02
0.0275231,0.02
0.0275235,0.02
0.0275239,0.02
0.0275247,0.02
0.0275247,0.02
0.0275247,0.02
0.0275247,0.02
0.0275263,0.02
0.0275263,0.02
0.0275263,0.02
0.0275271,0.02
0.0275271,0.02
0.027528,0.02
0.0275288,0.02
0.0275288,0.02
0.0275288,0.02
0.0275292,0.02
0.0275304,0.02
0.0275304,0.02
0.0275304,0.02
0.0275312,0.02
0.0275316,0.02
0.027532,0.02
0.0275328,0.02
0.0275328,0.02
0.0275332,0.02
0.027534,0.02
0.0275345,0.02
0.0275345,0.02
0.0275353,0.02
0.0275357,0.02
0.0275357,0.02
0.0275365,0.02
0.0275369,0.02
0.0275369,0.02
0.0275373,0.02
0.0275381,0.02
0.0275381,0.02
0.0275385,0.02
0.0275393,0.02
0.0275397,0.02
0.0275397,0.02
0.027541,0.04
0.027541,0.04
0.0275414,0.04
0.0275422,0.04
0.0275422,0.04
0.0275422,0.03
0.0275434,0.03
0.0275438,0.03
0.0275438,0.03
0.0275446,0.03
0.0275446,0.02
0.0275454,0.02
0.0275462,0.02
0.0275462,0.02
0.0275462,0.02
0.027547,0.02
0.0275479,0.02
0.0275479,0.02
0.0275479,0.02
0.0275487,0.02
0.0275487,0.02
0.0275495,0.02
0.0275503,0.02
0.0275503,0.02
0.0275503,0.02
0.0275511,0.02
0.0275515,0.02
0.0275527,0.02
0.0275527,0.02
0.0275527,0.02
0.0275539,0.02
0.0275544,0.02
0.0275544,0.02
0.0275544,0.02
0.0275555,0.02
0.0275555,0.02
0.027556,0.02
0.0275568,0.02
0.0275568,0.02
0.0275572,0.02
0.027558,0.02
0.027558,0.02
0.0275584,0.02
0.0275596,0.02
0.0275596,0.02
0.0275596,0.02
0.0275608,0.02
0.0275608,0.02
0.0275612,0.02
0.027562,0.02
0.027562,0.02
0.0275625,0.02
0.0275637,0.02
0.0275637,0.02
0.0275645,0.02
0.0275645,0.02
0.0275653,0.02
0.0275661,0.02
0.0275661,0.02
0.0275661,0.02
0.0275669,0.02
0.0275673,0.02
0.0275677,0.02
0.0275685,0.02
0.0275685,0.02
0.0275689,0.02
0.0275702,0.02
0.0275702,0.02
0.0275702,0.02
0.0275706,0.02
0.0275714,0.02
0.0275718,0.02
0.0275726,0.02
0.0275726,0.02
0.0275738,0.02
0.0275738,0.02
0.0275742,0.02
0.027575,0.02
0.027575,0.02
0.0275754,0.02
0.0275762,0.02
0.0275762,0.02
0.0275775,0.02
0.0275775,0.02
0.0275779,0.02
0.0275786,0.02
0.0275786,0.02
0.0275791,0.02
0.0275803,0.02
0.0275803,0.02
0.0275803,0.02
0.0275811,0.02
0.0275815,0.02
0.0275819,0.02
0.0275827,0.02
0.0275827,0.02
