Position in z [a.u.],Voltage [V]
18467,41
26500,6334
15724,19169
29358,11478
24464,26962
28145,5705
16827,23281
491,9961
11942,2995
5436,4827
14604,32391
153,3902
12382,292
18716,17421
19895,19718
21726,5447
11538,14771
19912,1869
26299,25667
9894,17035
23811,28703
30333,31322
4664,17673
7711,15141
6868,28253
27644,25547
32757,32662
12859,20037
9741,8723
778,27529
3035,12316
1842,22190
30106,288
8942,9040
22648,19264
23805,27446
6729,15890
15350,24370
31101,15006
3548,24393
12623,19629
19954,24084
11840,18756
7376,4966
26308,13931
32439,16944
11323,24626
21538,5537
2082,16118
16541,22929
31115,4833
29658,4639
9930,22704
2306,13977
22386,31673
28745,5021
19072,26924
5829,6270
15573,26777
16512,5097
13290,23986
18636,9161
24767,22355
15574,23655
12052,4031
1150,27350
21724,16941
3430,13966
30191,31107
11337,18007
12287,15457
10383,27753
8909,14945
9758,32209
18588,24221
24946,6422
13030,27506
29168,16413
32591,900
1655,18762
6359,17410
20537,27624
6483,21548
4041,27595
24350,3602
30836,10291
11020,9374
24021,4596
23199,27348
24484,19668
4734,8281
1999,53
27938,26418
3788,6900
467,18127
14893,3728
22483,24648
2421,17807
6617,14310
9514,22813
7616,14309
17451,18935
5249,20600
31556,16519
30303,22798
11008,6224
32609,5844
32702,14989
20485,3195
14343,3093
1587,30523
9503,29314
25200,7448
6618,13458
19796,20580
15281,14798
20798,19589
27157,28009
23622,20472
12292,18538
24179,6038
29657,18190
6191,7958
22888,19815
11511,19156
2634,16202
20055,24272
22646,20328
4886,26362
28433,18875
20142,29869
1416,23844
31998,21881
18651,10322
5699,10021
28476,3557
24389,27892
10712,5075
2510,2600
26869,21003
14688,17861
9789,13401
16423,15255
10585,5002
10285,24182
31426,27088
23757,28617
30932,9832
2154,4169
17189,25721
31329,19976
28692,2368
10555,21425
16549,3434
9512,7441
18060,30145
3753,21718
12423,16139
25996,16279
12529,16687
17437,22549
12949,19866
23195,193
20416,3297
16105,28286
16282,24488
25734,12455
11701,18114
20671,31316
12263,5786
24355,4313
20053,31185
10808,912
20945,1832
27756,4313
19558,28321
27982,23646
4144,481
20222,23196
2161,7129
20450,5535
10466,11173
21659,12044
26439,26292
20024,17253
29510,26154
20649,4745
8313,13186
28022,4474
14018,2168
9905,18787
7391,17958
3625,10202
4414,26477
25824,9314
25874,29334
20159,24372
28070,11833
28297,7487
8177,7518
32270,17773
2668,1763
13985,17192
8480,3102
7627,29213
4099,4802
2625,30527
1924,1543
29972,11023
14181,13061
27432,31003
27593,17505
13031,22725
142,8492
31286,17222
7900,13064
8360,19187
30974,22413
29170,14270
30833,235
25760,19711
